Pessoa;Empr.;Bco;Agência;Espécie;Título;Série;Parc;Depositário;Dt. Emissão;Dt. Movimento;Vencimento Programado;Prazo Efetivo;SC;SJ;Dias de Atraso;DV;Multa;Juros;% Desc. Financeiro;% Desc. Acordo;Desconto;Taxa Adm.;Vlr Original;Valor Aberto;Valor Líquido;A;P;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;1;900;CARTEIRA;CARDEB;200145;01;1;1 - Contas a Receber;30/01/2026;02/02/2026;02/02/2026;3;L;N;77;3;0,00;0,00;0,00;0,00;0,00;0,00;1652,93;1652,93;1652,93;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;2101225;02;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;41430,54;41430,54;41430,54;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;3;900;CARTEIRA;CARDEB;202115;03;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;70421,22;70421,22;70421,22;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;4;900;CARTEIRA;CARDEB;202125;04;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;25417,01;25417,01;25417,01;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;5;900;CARTEIRA;CARDEB;20116556;05;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;20239,28;20239,28;20239,28;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;2020154;06;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;36419,66;36419,66;36419,66;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;7;900;CARTEIRA;CARDEB;2254;07;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;17767,28;17767,28;17767,28;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;11;900;CARTEIRA;CARDEB;20212656;011;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;49039,68;49039,68;49039,68;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;201256;012;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;42689,49;42689,49;42689,49;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;202016;013;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;14899,17;14899,17;14899,17;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20220155;014;1;1 - Contas a Receber;31/01/2026;02/02/2026;02/02/2026;2;L;N;77;2;0,00;0,00;0,00;0,00;0,00;0,00;28240,19;28240,19;28240,19;;;;
