DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMPRESA;STATUS;EMBL_TRANSFERENCIA;ESTOQUE;PEDIDOS_PENDENTES;ESTOQUE_MINIMO;DATA_CADASTRO_PRODUTO;DIAS_DESDE_CADASTRO
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;4;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;5;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;6;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;7;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;8;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;11;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;12;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;13;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;14;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;15;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;16;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;17;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;18;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;50;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;1;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;2;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;3;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;4;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;5;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;6;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;7;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;8;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;11;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;12;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;13;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;14;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;15;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;16;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;17;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;18;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38151;SANDUICHE PEITO DE FRANGO UN;50;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;1;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;2;ATIVO;1;0;0;0;11/04/2026;30
PERECIVEIS;38041;TIRINHAS AURORA FGO 900G;3;ATIVO;1;0;0;0;11/04/2026;30
