CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBALAGEM_VENDA;QTD_LOJAS_COM_CUSTO;PRECO_VENDA_NORMAL;PRECO_VENDA_PRATICADO;CUSTO_NF_BRUTO;CUSTO_IPI;CUSTO_ICMS_ST;CUSTO_DESP_NF;CUSTO_DESP_FORA_NF;CREDITO_ICMS;CREDITO_PIS;CREDITO_COFINS;DESCONTO_FORA_NF;DESCONTO_VERBA;CUSTO_LIQUIDO;ALIQ_ICMS_VENDA;ALIQ_PIS_VENDA;ALIQ_COFINS_VENDA;ALIQ_IMPOSTOS_TOTAL;VALOR_IMPOSTOS_VENDA;PRECO_VENDA_LIQUIDO;LUCRO_VALOR;MARGEM_REALIZADA;MARGEM_OBJETIVA;PRECO_SUGERIDO
20310;M USO LUDICO STITCH;1;13;9,99;9,99;4,64;0;0;0;0;0;0;0;0;0;4,64;17;1,65;7,6;26,25;2,6224;7,3676;2,7276;27,3;35;11,97
20311;MAC CUP NOODLES 68PARMEGIANA;1;14;4,98;4,98;4,26;0;0;0;0;,5112;0;0;0;0;3,713;12;0;0;12;,5976;4,3824;,6694;13,44;28;6,19
20316;MACARRAO INST GERMANI 63G CARNE;1;15;1,19;1,19;,8119;0;0;0;0;,0974;0;0;0;0;,721;12;0;0;12;,1428;1,0472;,3262;27,41;28;1,2
20317;MACARRAO INST GERMANI 63G GALINHA CAIPIRA;1;15;1,19;1,19;,8165;0;0;0;0;,098;0;0;0;0;,7212;12;0;0;12;,1428;1,0472;,326;27,39;28;1,2
20318;MACARRAO INST GERMANI 63G GALINHA;1;15;1,19;1,19;,8003;0;0;0;0;,0959;0;0;0;0;,7201;12;0;0;12;,1428;1,0472;,3271;27,49;28;1,2
20319;MACARRAO INST GERMANI 63G PICANHA;1;15;1,19;1,19;,7922;0;0;0;0;,0951;0;0;0;0;,7214;12;0;0;12;,1428;1,0472;,3258;27,38;28;1,2
20320;MAC INST ISABELA 70G CAR ZR FRITU;1;14;1,99;1,99;1,34;0;0;0;0;,1608;0;0;0;0;1,1953;12;0;0;12;,2388;1,7512;,5559;27,93;28;1,99
20321;MAC INST ISABELA 70G GAL CA ZR FRIT;1;14;1,99;1,99;1,3398;0;0;0;0;,1607;0;0;0;0;1,1988;12;0;0;12;,2388;1,7512;,5524;27,76;28;2
20322;MAC INST ISABELA 70G GAL ZR FRITURA;1;12;1,99;1,99;1,34;0;0;0;0;,1608;0;0;0;0;1,1808;12;0;0;12;,2388;1,7512;,5704;28,66;28;1,97
20336;MAC INST NISSIN CHICO BENTO 75G CALDINHO FJAO;1;9;3,19;3,19;2,205;0;0;0;0;,2646;0;0;0;0;1,9593;12;0;0;12;,3828;2,8072;,8479;26,58;28;3,27
20337;MAC INST NISSIN CHICO BENTO 75G CANJA GAL;1;14;3,19;3,19;2,244;0;0;0;0;,2693;0;0;0;0;1,9559;12;0;0;12;,3828;2,8072;,8513;26,69;28;3,26
20338;MAC INST NISSIN CHICO BENTO 75G GAL C TOM;1;14;3,19;3,19;2,2499;0;0;0;0;,27;0;0;0;0;1,964;12;0;0;12;,3828;2,8072;,8432;26,43;28;3,27
20339;MAC INST NISSIN CHICO BENTO 75G SUAV MILH MANT;1;14;3,19;3,19;2,2355;0;0;0;0;,2683;0;0;0;0;1,9711;12;0;0;12;,3828;2,8072;,8361;26,21;28;3,29
20341;MAC INST NISSIN 85G BACON;1;10;2,79;2,79;2,1559;0;0;0;0;,2587;0;0;0;0;1,8902;12;0;0;12;,3348;2,4552;,565;20,25;27;3,1
20343;MAC INST NISSIN 85G CARNE;1;15;2,79;2,79;2,1537;0;0;0;0;,257;0;0;0;0;1,905;12;0;0;12;,3348;2,4552;,5502;19,72;27;3,12
20344;MAC INST NISSIN 85G CARNE TOMATE;1;10;2,79;2,79;2,1365;0;0;0;0;,2563;0;0;0;0;1,8818;12;0;0;12;,3348;2,4552;,5734;20,55;27;3,08
20347;MAC INST NISSIN 85G GAL CAIP;1;15;2,48;2,48;2,1515;0;0;0;0;,2581;0;0;0;0;1,9057;12;0;0;12;,2976;2,1824;,2767;11,16;27;3,12
20348;MAC INST NISSIN 85G GAL CAIP PICANT;1;14;2,48;2,48;2,1735;0;0;0;0;,2607;0;0;0;0;1,9314;12;0;0;12;,2976;2,1824;,251;10,12;27;3,17
20351;MAC INST NISSIN 85G GALINHA;1;15;2,48;2,48;2,146;0;0;0;0;,2575;0;0;0;0;1,9111;12;0;0;12;,2976;2,1824;,2713;10,94;27;3,13
20353;MAC INST NISSIN 85G LEGUMES;1;14;2,48;2,48;2,1432;0;0;0;0;,2571;0;0;0;0;1,907;12;0;0;12;,2976;2,1824;,2754;11,1;27;3,13
20354;MAC INST NISSIN MONICA 85G CARNE;1;15;3,19;3,19;2,2262;0;0;0;0;,2671;0;0;0;0;1,976;12;0;0;12;,3828;2,8072;,8312;26,06;28;3,29
20355;MAC INST NISSIN MONICA 85G GALINHA;1;15;3,19;3,19;2,2127;0;0;0;0;,2654;0;0;0;0;1,9773;12;0;0;12;,3828;2,8072;,8299;26,02;28;3,3
20356;MAC INST NISSIN MONICA 85G TOMATE;1;15;3,19;3,19;2,2496;0;0;0;0;,2699;0;0;0;0;1,9778;12;0;0;12;,3828;2,8072;,8294;26;28;3,3
20357;MAC INST NISSIN 85G PICANHA;1;14;2,48;2,48;2,1783;0;0;0;0;,2614;0;0;0;0;1,9082;12;0;0;12;,2976;2,1824;,2742;11,06;27;3,13
20363;MAC INST NISSIN C 6 L P GAL CAIP;1;15;16,39;16,2;11,7557;0;0;0;0;1,4104;0;0;0;0;10,4097;12;0;0;12;1,944;14,256;3,8463;23,74;26;16,79
20364;MAC INST NISSIN TALH 99G BOLON;1;14;3,89;3,89;2,6821;0;0;0;0;,3219;0;0;0;0;2,4127;12;0;0;12;,4668;3,4232;1,0105;25,98;28;4,02
20365;MAC INST NISSIN TALH 99G FGO;1;14;3,89;3,89;2,6911;0;0;0;0;,3228;0;0;0;0;2,4;12;0;0;12;,4668;3,4232;1,0232;26,3;28;4
20367;INAT MAC INST RENATA 85G GAL;1;0;,5;,5;0;0;0;0;0;0;0;0;0;0;0;12;0;0;12;,06;,44;,44;88;24;0
20368;INAT MAC INST RENATA 85G GAL CAIPIRA;1;0;,5;,5;0;0;0;0;0;0;0;0;0;0;0;12;0;0;12;,06;,44;,44;88;24;0
20370;MAC INST UFO 96G CURRY;1;10;7,49;7,49;6,3876;0;0;0;0;,7665;0;0;0;0;5,4959;12;0;0;12;,8988;6,5912;1,0953;14,62;28;9,16
20371;MAC INST YAKISSOBA UFO 97G GAL CAIP;1;14;7,49;7,49;6,3963;0;0;0;0;,7676;0;0;0;0;5,2072;12;0;0;12;,8988;6,5912;1,384;18,48;28;8,68
20372;MAC INST YAKISSOBA UFO 97G LEGUMES;1;14;7,49;7,49;5,1271;0;0;0;0;,6152;0;0;0;0;4,6446;12;0;0;12;,8988;6,5912;1,9466;25,99;28;7,74
20374;MAC INST YAKISSOBA UFO 97G CARNE;1;14;7,49;7,49;5,6947;0;0;0;0;,682;0;0;0;0;5,0422;12;0;0;12;,8988;6,5912;1,549;20,68;28;8,4
20381;MAIONESE HELLMANNS PET SUPREME 330G;1;11;16,99;16,99;11,0352;0;0;0;0;1,2386;,1499;,6903;0;0;9,3701;17;1,65;7,6;26,25;4,4599;12,5301;3,16;18,6;24;18,83
20400;MALA ANGLE ABS 20 BEGE;1;1;149,9;149,9;168,69;0;0;0;0;0;0;0;0;0;168,69;17;1,65;7,6;26,25;39,3488;110,5513;-58,1388;-38,79;28;368,72
20401;MALA CARIOCA ABS 20 AZUL;1;1;149,9;149,9;168,69;0;0;0;0;0;0;0;0;0;168,69;17;1,65;7,6;26,25;39,3488;110,5513;-58,1388;-38,79;28;368,72
20402;MALA CLEOPATRA ABS 20 DOURADA;1;1;149,9;149,9;168,69;0;0;0;0;0;0;0;0;0;168,69;17;1,65;7,6;26,25;39,3488;110,5513;-58,1388;-38,79;28;368,72
