NUMERONF;SERIENF;EMPRESA;DTAEMISSAO;DTAENTRADA;VLRTOTALNF;VLR_BONIFICADO;SITUACAO_DESC;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SEQPESSOA;FORNECEDOR;STATUSCARGA;USUARIORF;NFECHAVEACESSO;CODGERALOPER;CFOP_FORNECEDOR;CFOP_INTERNO;ITENS_CODIGO;ITENS_DESCRICAO;ITENS_QUANTIDADE
134179;1;005-BAKLIZI;30/04/2026;14/05/2026;433,16;433,16;RECEBIDA;I;;164180;12150;12150 - BRASMART INDUSTRIA DO VESTUARI;L;;42260404011349000180550010001341791498457383;100;6910 / 6949;2910;38362 / 38370 / 38428;KIT 3 MEIAS ESPORT PT BC CZ 39 44 / CONS EXPOSITOR CIA DA MEIA / CONS EXPOSITOR BALCAO P MEIA CALCA;12 / 2 / 2
6822;1;011-BAKLIZI;07/05/2026;14/05/2026;126,00;126,00;RECEBIDA;I;;163800;3894;3894 - ANTUNES DISTRIBUIDORA DE GAS L;L;;43260504171851000310550010000068221759521200;100;5910;1910;36155;VALE GAS GLP 13 SUP GAS BRAS ITAQUI;1
16144;10;015-CD;07/05/2026;14/05/2026;483,38;483,38;RECEBIDA;I;;164245;5666;5666 - RITTER ALIMENTOS S.A.;L;;43260590286139000136550100000161441041037737;100;5910;1910;3405 / 3414;BARRA CEREAL RITTER 22G BRIGADEIRO / BARRA CEREAL RITTER 22G CAST PARA;192 / 192
25955;6;002-BAKLIZI;28/02/2026;15/05/2026;16,00;16,00;RECEBIDA;I;;165081;9079;9079 - HIPERSUL PRODUTOS DE LIMPEZA;L;;43260205922293000188550060000259551182110094;100;5910;1910;38072;CONS DOSADOR DILUIDOR TRON DE LIQ;1
133674;1;002-BAKLIZI;29/04/2026;15/05/2026;433,16;433,16;RECEBIDA;I;;165098;12150;12150 - BRASMART INDUSTRIA DO VESTUARI;L;;42260404011349000180550010001336741500927384;100;6910 / 6949;2910;38362 / 38370 / 38428;KIT 3 MEIAS ESPORT PT BC CZ 39 44 / CONS EXPOSITOR CIA DA MEIA / CONS EXPOSITOR BALCAO P MEIA CALCA;12 / 2 / 2
1124106;1;002-BAKLIZI;24/04/2026;15/05/2026;204,85;194,90;RECEBIDA;I;;165363;17032;17032 - DINAMICA;L;;43260427243746000182550010011241061450042022;100;5910;1910;34809;MP SUNSET GLAZE KG;5
233432;1;003-BAKLIZI;07/05/2026;15/05/2026;1000,90;1000,90;RECEBIDA;I;;164726;6539;6539 - INDUSTRIA E COMERCIO DE MASSAS;L;;43260590712449000175550010002334321423314562;1;5910;1102;20619 / 20631 / 20666 / 20667 / 20668 / 20669 / 20671 / 34983 / 36298;MAS FRESCA DITALIA ME 500G / MAS LASANHA DITALIA 500G / MASSA PASTEL DITALIA COLONIAL 900G / MAS PASTEL DITALIA COLONIAL 400G DLC / MASSA PASTEL DITALIA DG 500G / MASSA PASTEL DITALIA DL 500G / MAS PASTEL DITALIA DP 200G / MASSA PASTEL DITALIA COLONIAL 2KG QUADRADA / MASSA DITALIA ROLO 2KG;5 / 15 / 28 / 60 / 23 / 15 / 10 / 6 / 5
497706;1;003-BAKLIZI;24/04/2026;15/05/2026;816,90;816,90;RECEBIDA;I;;164751;11898;11898 - PANIFICIO MALLET LTDA.;L;;43260402753746000100550010004977061878127692;100;5910;1910;12057 / 12058 / 12059;TORTA MALLET CONG 700G BRIGADEIRO / TORTA MALLET CONG 700G DOIS AMORES / TORTA MALLET CONG 700G MARTA ROCHA;5 / 5 / 5
841383;3;003-BAKLIZI;24/04/2026;15/05/2026;47,45;47,45;RECEBIDA;I;;164744;16038;16038 - TRIVIALY ALIMENTOS;L;;43260402291422000199550030008413831341547436;100;5910;1910;22066;PIZZA TRIVIALY 470G CALABRESA;12
1017535;0;003-BAKLIZI;07/05/2026;15/05/2026;3161,97;3161,97;RECEBIDA;I;;164748;10511;10511 - MARQUESPAN ALIMENTOS LTDA;L;;43260507272443000180550000010175351841459374;1;5910;1102;11427;MASSA CONG MARQU PAO FRANCES KG;441
