CODIGO_PRODUTO;DESCRICAO;VALOR_CUSTO_NF;ALIQUOTA_PIS;ALIQUOTA_COFINS;PIS_COFINS_GRAVADO;PIS_COFINS_CALCULADO;PIS_COFINS_PADRAO;CFOP;CST_PIS;CST_COFINS;GERA_CREDITO_PIS;GERA_CREDITO_COFINS;NUMERO_NF;SERIE_NF;DTA_ENTRADA;NRO_EMPRESA
2911;ACHOC LIQ ITALAC 200ML;,89;1,65;7,6;0;,0823;,0823;1102;73;73;;;211402;1;03/06/2026;15
2913;ACHOC LIQ NESCAU 180ML ACTIC GO;,0645;1,65;7,6;0;,006;,006;1102;73;73;;;3314035;1;17/04/2026;15
2915;ACHOC LIQ NESCAU 180ML ZERO LACTOSE;,0761;1,65;7,6;0;,007;,007;1102;73;73;;;3358352;1;02/06/2026;15
2916;ACHOC LIQ NESQUIK 180ML MORANGO;,0746;1,65;7,6;0;,0069;,0069;1102;73;73;;;3314035;1;17/04/2026;15
2923;ACHOC LIQ SHOWKINHO 1L;,3083;1,65;7,6;0;,0285;,0285;1102;73;73;;;91355;8;15/04/2026;15
2909;ACHOC LIQ SHOWKINHO 200ML;,0296;1,65;7,6;0;,0027;,0027;1102;73;73;;;91355;8;15/04/2026;15
2920;ACHOC LIQ TODDYNHO 200ML;,0795;1,65;7,6;0;,0074;,0074;1102;73;73;;;205158;1;12/06/2026;15
2919;ACHOC LIQ TODDYNHO 200ML LEVINHO;,0795;1,65;7,6;0;,0074;,0074;1102;73;73;;;205158;1;12/06/2026;15
12228;ACUCAR CRISTAL DOCESUCAR 5KG;1,7639;1,65;7,6;0;,1632;,1632;2102;73;73;;;54473;103;26/02/2026;15
746;ACUCAR CRISTAL GASPARIN 1KG;,255;1,65;7,6;0;,0236;,0236;1102;73;73;;;96145;1;08/05/2026;15
747;ACUCAR CRISTAL GASPARIN 2KG;,3178;1,65;7,6;0;,0294;,0294;1102;73;73;;;96454;1;30/05/2026;15
750;ACUCAR CRISTAL GASPARIN 5KG;1,9722;1,65;7,6;0;,1824;,1824;1102;73;73;;;96534;1;03/06/2026;15
757;ACUCAR CRISTAL SAO JOAO 1KG;,0761;1,65;7,6;0;,007;,007;2102;73;73;;;65;3;27/04/2026;15
760;ACUCAR CRISTAL SAO JOAO 2KG;,3;1,65;7,6;0;,0278;,0278;2102;73;73;;;65;3;27/04/2026;15
763;ACUCAR CRISTAL SAO JOAO 5KG;1,8472;1,65;7,6;0;,1709;,1709;2102;73;73;;;65;3;27/04/2026;15
12233;ACUCAR DEMERARA GASPARIN 1KG;,35;1,65;7,6;0;,0324;,0324;1102;73;73;;;96226;1;14/05/2026;15
2974;ACUCAR DEMERARA UNIAO 1KG;,489;1,65;7,6;0;,0452;,0452;1102;73;73;;;3034480;1;15/04/2026;15
2991;ACUCAR MASCAVO CBS 500G;,276;1,65;7,6;0;,0255;,0255;1102;73;73;;;1663431;0;02/06/2026;15
33213;ACUCAR MASCAVO GASPARIN 1KG;,72;1,65;7,6;0;,0666;,0666;1102;73;73;;;96226;1;14/05/2026;15
2982;ACUCAR MASCAVO ST ANTONIO 500G;,216;1,65;7,6;0;,02;,02;1102;73;73;;;347293;1;09/06/2026;14
2986;ACUCAR MASCAVO STO ANTONIO 400G ORGANICO;,2304;1,65;7,6;0;,0213;,0213;1102;73;73;;;347293;1;09/06/2026;14
12237;ACUCAR REFINADO GASPARIN 1KG;,305;1,65;7,6;0;,0282;,0282;1102;73;73;;;96145;1;08/05/2026;15
10510;AGRIAO HIDROPON EST DA FIGUEIRA;3,5;1,65;7,6;0;,3238;,3238;1102;73;73;;;136030;1;12/06/2026;18
12272;AGUA COLONIA POMPOM 100G;,3785;1,65;7,6;0;,035;,035;2403;70;70;;;836630;1;18/05/2026;15
59;AGUA GASEIFICADA CRYSTAL PET 510ML FRUTAS VERMELHA;1,79;1,65;7,6;0;,1656;,1656;1403;70;70;;;2437003;2;08/06/2026;2
60;AGUA GASEIFICADA CRYSTAL PET 510ML LIMAO;,2983;1,65;7,6;0;,0276;,0276;1403;70;70;;;2437042;2;08/06/2026;6
62;AGUA GASEIFICADA CRYSTAL PET 510ML MELANCIA;1,79;1,65;7,6;0;,1656;,1656;1403;70;70;;;2437003;2;08/06/2026;2
57;AGUA GASEIFICADA CRYSTAL PET 510ML SPARK;,2983;1,65;7,6;0;,0276;,0276;1403;70;70;;;1583489;4;03/06/2026;18
12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;2,5683;1,65;7,6;0;,2376;,2376;1102;73;73;;;59020;2;06/05/2026;15
13;AGUA MIN CRYSTAL PET 1 5L C GAS;2,9;1,65;7,6;0;,2683;,2683;1102;73;73;;;2437105;2;08/06/2026;7
16;AGUA MIN CRYSTAL PET 1 5L S GAS;2,59;1,65;7,6;0;,2396;,2396;1102;73;73;;;2437074;2;06/06/2026;4
36;AGUA MIN CRYSTAL PET 500ML C GAS;,1175;1,65;7,6;0;,0109;,0109;1102;73;73;;;2439431;2;10/06/2026;15
43;AGUA MIN CRYSTAL PET 500ML S GAS;,1075;1,65;7,6;0;,0099;,0099;1102;73;73;;;2431459;2;28/05/2026;15
51;AGUA MIN CRYSTAL PET 5L S GAS;3,48;1,65;7,6;0;,3219;,3219;1102;73;73;;;2437042;2;08/06/2026;6
54;AGUA MIN DA PEDRA LT 350ML ABACAXI E HORTE;,1551;1,65;7,6;0;,0144;,0144;1403;73;73;;;60949;2;21/05/2026;15
12273;AGUA MIN DA PEDRA LT 350ML BER CAPIM LIM;,1551;1,65;7,6;0;,0144;,0144;1403;73;73;;;60949;2;21/05/2026;15
12274;AGUA MIN DA PEDRA LT 350ML BLUEBER LIM;,1551;1,65;7,6;0;,0143;,0143;1403;73;73;;;60949;2;21/05/2026;15
55;AGUA MIN DA PEDRA LT 350ML FTAS VRM;,1551;1,65;7,6;0;,0143;,0143;1403;73;73;;;60949;2;21/05/2026;15
56;AGUA MIN DA PEDRA LT 350ML LIM E ALE;1,8616;1,65;7,6;0;,1722;,1722;1403;73;73;;;59020;2;06/05/2026;15
12275;AGUA MIN DA PEDRA LT 350ML PESSEGO;,1551;1,65;7,6;0;,0143;,0143;1403;73;73;;;60949;2;21/05/2026;15
25;AGUA MIN DA PEDRA PET 2L C GAS;3,53;1,65;7,6;0;,3265;,3265;1102;73;73;;;59020;2;06/05/2026;15
66;AGUA MIN DA PEDRA PET 350ML C GAS;,1017;1,65;7,6;0;,0094;,0094;1102;73;73;;;60949;2;21/05/2026;15
67;AGUA MIN DA PEDRA PET 350ML S GAS;,0958;1,65;7,6;0;,0089;,0089;1102;73;73;;;60949;2;21/05/2026;15
34;AGUA MIN DA PEDRA PET 500ML C GAS;1,34;1,65;7,6;0;,124;,124;1102;73;73;;;59020;2;06/05/2026;15
35;AGUA MIN DA PEDRA PET 500ML S GAS;1,28;1,65;7,6;0;,1184;,1184;1102;73;73;;;59020;2;06/05/2026;15
50;AGUA MIN DA PEDRA PET 5L S GAS;1,4075;1,65;7,6;0;,1302;,1302;1102;73;73;;;60949;2;21/05/2026;15
68;AGUA MIN FLORESTA ATIVA SQ 710ML S GAS;,3326;1,65;7,6;0;,0308;,0308;1102;73;73;;;1420535;2;26/02/2026;15
48;AGUA MIN FLORESTA PET 500ML C GAS;,0742;1,65;7,6;0;,0069;,0069;1102;73;73;;;1425101;2;04/05/2026;15
49;AGUA MIN FLORESTA PET 500ML S GAS;,0658;1,65;7,6;0;,0061;,0061;1102;73;73;;;1431665;2;09/06/2026;15
52;AGUA MIN FLORESTA PET 5L S GAS;1,3538;1,65;7,6;0;,1252;,1252;1102;73;73;;;1431138;2;08/06/2026;15
37956;AGUA MIN FONTE DA MATA 500ML C GAS;,0658;1,65;7,6;0;,0061;,0061;1102;73;73;;;1425784;2;07/04/2026;15
53;AGUA MIN SARANDI 5L S GAS;5,415;1,65;7,6;0;,5009;,5009;1102;73;73;;;1429377;2;12/05/2026;15
74;AGUA MIN SARANDI CP 200ML S GAS;,0128;1,65;7,6;0;,0012;,0012;1102;73;73;;;1429361;2;12/05/2026;15
73;AGUA MIN SARANDI FITTING PET 510ML S GAS;2,3917;1,65;7,6;0;,2212;,2212;1102;73;73;;;1423279;2;19/03/2026;15
32;AGUA MIN SARANDI PET 2L C GAS;,4191;1,65;7,6;0;,0388;,0388;1102;73;73;;;1426876;2;20/04/2026;15
33;AGUA MIN SARANDI PET 2L S GAS;,3991;1,65;7,6;0;,0369;,0369;1102;73;73;;;1426878;2;20/04/2026;15
6828;AGUA SABORIZ H2OH 500ML LIMONETO;,2668;1,65;7,6;0;,0247;,0247;1403;70;70;;;756922;34;05/06/2026;15
14;AGUA SABORIZ H2OH PET 1 5L LIMAO;1,0423;1,65;7,6;0;,0964;,0964;1403;70;70;;;284277;34;30/05/2026;15
15;AGUA SABORIZ H2OH PET 1 5L LIMONETO;1,0423;1,65;7,6;0;,0964;,0964;1403;70;70;;;284292;34;30/05/2026;15
78;AGUA SABORIZ H2OH PET 500ML LIMAO;,2668;1,65;7,6;0;,0247;,0247;1403;70;70;;;289043;34;10/06/2026;15
81;AGUA TONICA ANTARCTICA LT 350ML;,2353;1,65;7,6;0;,0218;,0218;1403;70;70;;;289053;34;10/06/2026;15
80;AGUA TONICA ANTARCTICA LT 350ML ZR;,2353;1,65;7,6;0;,0218;,0218;1403;73;73;;;289052;34;10/06/2026;15
83;AGUA TONICA ANTARCTICA PET 1L ZR;5,9569;1,65;7,6;0;,551;,551;1403;70;70;;;748085;34;21/05/2026;15
82;AGUA TONICA ANTARTICA PET 1L;,9416;1,65;7,6;0;,0871;,0871;1403;70;70;;;725285;34;13/04/2026;15
84;AGUA TONICA FRUKI LT 350ML;,1677;1,65;7,6;0;,0155;,0155;1403;70;70;;;60949;2;21/05/2026;15
18;AGUA TONICA FRUKI PET 1 5L;,7481;1,65;7,6;0;,0692;,0692;1403;70;70;;;60949;2;21/05/2026;15
3955;AGUA TONICA FYS LT 350ML;,2026;1,65;7,6;0;,0187;,0187;1403;70;70;;;824645;1;16/04/2026;11
12294;AGUA TONICA QUININO 1 5L ZERO;,7481;1,65;7,6;0;,0692;,0692;1403;70;70;;;60949;2;21/05/2026;15
12295;AGUA TONICA QUININO 350ML ZERO;,1677;1,65;7,6;0;,0155;,0155;1403;70;70;;;60949;2;21/05/2026;15
88;AGUA TONICA SARANDI LT 350ML;,1507;1,65;7,6;0;,0139;,0139;1403;70;70;;;1417803;2;18/02/2026;15
871;AGUA TONICA SCHWEPPES LT 350ML;2,2243;1,65;7,6;0;,2058;,2058;1403;70;70;;;2437064;2;06/06/2026;4
90;AGUA TONICA SCHWEPPES LT 350ML SA;2,2244;1,65;7,6;0;,2058;,2058;1403;70;70;;;2436980;2;08/06/2026;2
10515;AIPIM KG;,1388;1,65;7,6;0;,0128;,0128;1102;73;73;;;2108;6;14/05/2026;18
38189;ALBUM BROCHURA FIFA WORLD CUP 2026;,96;1,65;7,6;0;,0888;,0888;2102;73;73;;;9199864;1;09/06/2026;15
10527;ALCATRA S OSSO KG PAI;42,5;1,65;7,6;0;3,9312;3,9312;2403;73;73;;;342363;1;09/06/2026;16
35696;ALCOOL COPERALCOOL 500ML TRADICIONAL;,5247;1,65;7,6;0;,0485;,0485;1102;70;70;;;2440683;1;01/06/2026;15
3969;ALCOOL GEL SUPER VALE 450G;,4838;1,65;7,6;0;,0447;,0447;2102;70;70;;;74890;2;22/04/2026;15
10533;ALFACE AMERICANA EST DA FIGUEIRA;5;1,65;7,6;0;,4625;,4625;1102;73;73;;;135975;1;11/06/2026;14
10535;ALFACE HIDROPON EST DA FIGUEIRA;3,3;1,65;7,6;0;,3053;,3053;1102;73;73;;;136030;1;12/06/2026;18
10538;ALFACE HIDROPONICA OURO VERDE SAO BORJA;3;1,65;7,6;0;,2775;,2775;1102;73;73;;;40220002;26;05/02/2026;12
10532;ALFACE UN ITAQUI;,2847;1,65;7,6;0;,0263;,0263;1102;73;73;;;856;6;04/03/2026;4
36940;ALFACE UN URUGUAIANA;3;1,65;7,6;0;,2775;,2775;1102;73;73;;;110520001;26;14/05/2026;18
10546;ALHO 100G;240;1,65;7,6;0;22,2;22,2;1102;73;73;;;709;6;21/02/2026;11
36699;ALHO 200G;2,3;1,65;7,6;0;,2128;,2128;1102;73;73;;;430;6;03/03/2026;2
10544;ALHO KG;1,8;1,65;7,6;0;,1665;,1665;1102;73;73;;;2157;6;14/05/2026;18
10545;ALHO PORO UN;,2986;1,65;7,6;0;,0276;,0276;1102;73;73;;;2058;6;12/05/2026;14
10548;ALM RADICHE HIDR EST DA FIGUEIRA;3,5;1,65;7,6;0;,3238;,3238;1102;73;73;;;136030;1;12/06/2026;18
10553;AMEIXA KG;1,8519;1,65;7,6;0;,1713;,1713;1102;73;73;;;2108;6;14/05/2026;18
10555;AMEIXA UNIAGRO PTA C CAROCO KG;21,6;1,65;7,6;0;1,998;1,998;1102;73;73;;;118617;1;21/03/2026;15
10556;AMEIXA UNIAGRO PTA S CAROCO KG;29,7;1,65;7,6;0;2,7473;2,7473;1102;73;73;;;118740;1;01/04/2026;15
4230;AMPOLA PANTENE 45ML 3UN TRAT HIDRATA;23,57;1,65;7,6;0;2,1802;2,1802;1403;70;70;;;362063;5;28/04/2026;15
4231;AMPOLA PANTENE 45ML 3UN TRAT RESTAURA;23,57;1,65;7,6;0;2,1802;2,1802;1403;70;70;;;358447;5;31/03/2026;15
6161;AP ODOR BOM AR C RF 250ML DOCE LAVANDA;30,99;1,65;7,6;0;2,8666;2,8666;1102;70;70;;;2440297;1;11/05/2026;15
8863;AROMAT CENTRALSUL GEL 60G LAVANDA;8,7686;1,65;7,6;0;,8111;,8111;1102;70;70;;;354874;1;24/04/2026;15
4281;AROMAT CENTRALSUL GEL 60G MARINE;8,7686;1,65;7,6;0;,8111;,8111;1102;70;70;;;354874;1;24/04/2026;15
4283;AROMAT CENTRALSUL GEL 60G TUTTI FRUTTI;8,7685;1,65;7,6;0;,8111;,8111;1102;70;70;;;354874;1;24/04/2026;15
9920;AROMAT CENTRALSUL GEL 60G V8;8,7686;1,65;7,6;0;,8111;,8111;1102;70;70;;;354874;1;24/04/2026;15
12578;AROMAT REDCAR 3GR CAPIM LIMAO;5,13;1,65;7,6;0;,4745;,4745;2102;70;70;;;82904;1;26/02/2026;15
12579;AROMAT REDCAR 3GR CARRO NOVO;5,13;1,65;7,6;0;,4745;,4745;2102;70;70;;;82904;1;26/02/2026;15
12580;AROMAT REDCAR 3GR FLOR CEREJEIRA;5,13;1,65;7,6;0;,4745;,4745;2102;70;70;;;82904;1;26/02/2026;15
12581;AROMAT REDCAR 3GR LAVANDA INGLESA;5,13;1,65;7,6;0;,4745;,4745;2102;70;70;;;82904;1;26/02/2026;15
12582;AROMAT REDCAR 3GR MELANC;5,13;1,65;7,6;0;,4745;,4745;2102;70;70;;;82904;1;26/02/2026;15
12583;AROMAT REDCAR 3GR MOR SILV;5,13;1,65;7,6;0;,4745;,4745;2102;70;70;;;82904;1;26/02/2026;15
12584;AROMAT REDCAR 3GR T FRUTTI;5,13;1,65;7,6;0;,4745;,4745;2102;70;70;;;82904;1;26/02/2026;15
12585;AROMAT REDCAR 3GR VANILLA;5,13;1,65;7,6;0;,4745;,4745;2102;70;70;;;82904;1;26/02/2026;15
2043;ARROZ ARBOREO ITAL PRATO FINO 500G;,6344;1,65;7,6;0;,0587;,0587;1102;73;73;;;496213;0;15/05/2026;15
2046;ARROZ ARBOREO PILECCO 1KG;1,2281;1,65;7,6;0;,1136;,1136;1102;73;73;;;371698;1;21/05/2026;15
2161;ARROZ BCO ALEGRETE TP1 5KG;1,9583;1,65;7,6;0;,1811;,1811;1102;73;73;;;371698;1;21/05/2026;15
36813;ARROZ BCO BOM DE PANELA TP1 5KG;2,0278;1,65;7,6;0;,1876;,1876;1102;73;73;;;107913;1;11/06/2026;12
3848;ARROZ BCO BOM GOSTO TP1 5KG BOM GOSTO;1,9722;1,65;7,6;0;,1824;,1824;1102;73;73;;;6744;1;10/06/2026;15
2175;ARROZ BCO CAAL TP1 5KG;13,3333;1,65;7,6;0;1,2333;1,2333;1102;73;73;;;311688;2;03/06/2026;18
12594;ARROZ BCO FINOS GRAOS 5K;2,5556;1,65;7,6;0;,2364;,2364;1102;73;73;;;6700;1;27/05/2026;15
2136;ARROZ BCO JATAI TP3 5KG;2,0833;1,65;7,6;0;,1927;,1927;1102;73;73;;;16105;1;05/06/2026;15
2098;ARROZ BCO OESTE TP1 2KG;,3911;1,65;7,6;0;,0362;,0362;1102;73;73;;;16105;1;05/06/2026;15
2089;ARROZ BCO ORYZA TP1 1KG;,1022;1,65;7,6;0;,0095;,0095;1102;73;73;;;107781;1;02/06/2026;12
2095;ARROZ BCO ORYZA TP1 2KG;,4222;1,65;7,6;0;,0391;,0391;1102;73;73;;;107894;1;11/06/2026;12
2127;ARROZ BCO ORYZA TP1 5KG;2,6389;1,65;7,6;0;,2441;,2441;1102;73;73;;;107894;1;11/06/2026;12
2058;ARROZ BCO PAMPEANO TP1 1KG;,0844;1,65;7,6;0;,0078;,0078;1102;73;73;;;47648;1;11/05/2026;15
2128;ARROZ BCO PAMPEANO TP1 5KG;2,1111;1,65;7,6;0;,1953;,1953;1102;73;73;;;47648;1;11/05/2026;15
2110;ARROZ BCO PILECCO NOBRE TP1 2KG;,536;1,65;7,6;0;,0496;,0496;1102;73;73;;;370442;1;24/04/2026;15
2057;ARROZ BCO PILECCO SUP ECCO TP1 1KG;,1011;1,65;7,6;0;,0093;,0093;1102;73;73;;;370442;1;24/04/2026;15
2106;ARROZ BCO PILECCO SUPER ECCO TP1 2K;,4042;1,65;7,6;0;,0374;,0374;1102;73;73;;;370442;1;24/04/2026;15
2165;ARROZ BCO PILECCO SUPER ECCO TP1 5K;2,5264;1,65;7,6;0;,2337;,2337;1102;73;73;;;370442;1;24/04/2026;15
2169;ARROZ BCO PILECCO TP1 5KG;3,3269;1,65;7,6;0;,3077;,3077;1102;73;73;;;371698;1;21/05/2026;15
2192;ARROZ BCO PITANGUEIRA OURO TP1 5K;2,5319;1,65;7,6;0;,2342;,2342;1102;73;73;;;21484;1;11/06/2026;11
2092;ARROZ BCO PRATO FINO TP1 1KG;,4533;1,65;7,6;0;,0419;,0419;1102;73;73;;;496213;0;15/05/2026;15
2104;ARROZ BCO PRATO FINO TP1 2KG;1,8132;1,65;7,6;0;,1677;,1677;1102;73;73;;;496213;0;15/05/2026;15
2155;ARROZ BCO PRATO FINO TP1 5KG;3,7778;1,65;7,6;0;,3494;,3494;1102;73;73;;;496213;0;15/05/2026;15
2084;ARROZ BCO REQUINTE TP1 1KG;,1244;1,65;7,6;0;,0115;,0115;1102;73;73;;;34695;1;27/04/2026;15
2101;ARROZ BCO REQUINTE TP1 2KG;,4978;1,65;7,6;0;,046;,046;1102;73;73;;;34695;1;27/04/2026;15
2150;ARROZ BCO REQUINTE TP1 5KG;3,1111;1,65;7,6;0;,2878;,2878;1102;73;73;;;34695;1;27/04/2026;15
2060;ARROZ BCO SABOROSO TP1 1KG;,0833;1,65;7,6;0;,0077;,0077;1102;73;73;;;311750;002;05/06/2026;15
2118;ARROZ BCO SABOROSO TP1 2KG;,3333;1,65;7,6;0;,0308;,0308;1102;73;73;;;311750;002;05/06/2026;15
2177;ARROZ BCO SABOROSO TP1 5KG;2,0833;1,65;7,6;0;,1927;,1927;1102;73;73;;;311750;002;05/06/2026;15
2100;ARROZ BCO SANO OURO TP1 2KG;,4622;1,65;7,6;0;,0428;,0428;1102;73;73;;;16074;1;28/05/2026;15
2134;ARROZ BCO SANO OURO TP1 5KG;2,8889;1,65;7,6;0;,2672;,2672;1102;73;73;;;16074;1;28/05/2026;15
2074;ARROZ BCO SANO TP1 1KG;,1056;1,65;7,6;0;,0098;,0098;1102;73;73;;;16074;1;28/05/2026;15
2096;ARROZ BCO SANO TP1 2KG;,4133;1,65;7,6;0;,0382;,0382;1102;73;73;;;16105;1;05/06/2026;15
2140;ARROZ BCO SANO TP1 5KG;2,5833;1,65;7,6;0;,239;,239;1102;73;73;;;16105;1;05/06/2026;15
33980;ARROZ BCO STRECK GOLD 5KG;2,3611;1,65;7,6;0;,2184;,2184;1102;73;73;;;106049;1;16/02/2026;12
2056;ARROZ BCO TRIVIAL TP2 1KG;,0771;1,65;7,6;0;,0071;,0071;1102;73;73;;;370442;1;24/04/2026;15
2115;ARROZ BCO TRIVIAL TP2 2KG;,3084;1,65;7,6;0;,0285;,0285;1102;73;73;;;370442;1;24/04/2026;15
2158;ARROZ BCO TRIVIAL TP2 5KG;1,9167;1,65;7,6;0;,1773;,1773;1102;73;73;;;371698;1;21/05/2026;15
2203;ARROZ INTEG ORYZA 1KG;,1222;1,65;7,6;0;,0113;,0113;1102;73;73;;;107539;1;14/05/2026;12
2210;ARROZ INTEG PRATO FINO 1KG;,43;1,65;7,6;0;,0398;,0398;1102;73;73;;;496213;0;15/05/2026;15
2045;ARROZ ORIENTAL PRATO FINO TP1 1KG;,687;1,65;7,6;0;,0635;,0635;1102;73;73;;;496213;0;15/05/2026;15
12610;ARROZ P CAES KI KAO SANO 5K;1,8056;1,65;7,6;0;,167;,167;1102;73;73;;;16074;1;28/05/2026;15
2212;ARROZ PARBO PRATO FINO TP1 1KG;,43;1,65;7,6;0;,0398;,0398;1102;73;73;;;496213;0;15/05/2026;15
2227;ARROZ PARBO PRATO FINO TP1 2KG;1,72;1,65;7,6;0;,1591;,1591;1102;73;73;;;496213;0;15/05/2026;15
2240;ARROZ PARBO PRATO FINO TP1 5KG;3,5833;1,65;7,6;0;,3315;,3315;1102;73;73;;;496213;0;15/05/2026;15
2217;ARROZ PARBO RAROZ TP1 1KG;,0867;1,65;7,6;0;,008;,008;1102;73;73;;;129898;1;03/06/2026;15
2242;ARROZ PARBO RAROZ TP1 5KG;2,1667;1,65;7,6;0;,2004;,2004;1102;73;73;;;129898;1;03/06/2026;15
2215;ARROZ PARBO SABOROSO TP1 1KG;,0833;1,65;7,6;0;,0077;,0077;1102;73;73;;;311750;002;05/06/2026;15
2244;ARROZ PARBO SABOROSO TP1 5KG;2,0833;1,65;7,6;0;,1927;,1927;1102;73;73;;;311750;002;05/06/2026;15
33915;ARROZ SABOROSO PARB 1KG INTEGRAL;2,7333;1,65;7,6;0;,2528;,2528;1102;73;73;;;311688;2;03/06/2026;18
10572;ASSADO MATURATTA EM TIRAS KG;38,6;1,65;7,6;0;3,5705;3,5705;2403;73;73;;;168432;8;26/03/2026;16
10575;ATEMOIA;15;1,65;7,6;0;1,3875;1,3875;1102;73;73;;;1260;6;23/03/2026;2
936;AZEIT DENDE TRISANTI 200ML;1,1917;1,65;7,6;0;,1102;,1102;2102;73;73;;;61686;1;10/06/2026;15
940;AZEIT OLIV BORGES EXT VG 250ML;,9877;1,65;7,6;0;,0914;,0914;2102;73;73;;;46687;50;16/03/2026;15
945;AZEIT OLIV GALLO EXT VG VD 500ML;26,99;1,65;7,6;0;2,4966;2,4966;1102;73;73;;;2449675;1;08/06/2026;15
942;AZEITE OLIV BORGES EXT VG 500ML;1,8808;1,65;7,6;0;,174;,174;2102;73;73;;;883811;50;18/03/2026;15
12739;BAC STA CLARA CUBOS S PELE 200G R72060;10,71;1,65;7,6;0;,9907;,9907;1403;73;73;;;2809139;1;12/06/2026;17
10660;BACALHAU SEARA LOMBO 600G;8,198;1,65;7,6;0;,7583;,7583;1102;73;73;;;1401902;1;18/02/2026;11
10663;BACON MILAN KG;26,1798;1,65;7,6;0;2,4216;2,4216;1403;73;73;;;41403;1;02/06/2026;16
10667;BACON PERDIGAO DEF VACUO KG;25,3604;1,65;7,6;0;2,3458;2,3458;1403;73;73;;;6424369;1;28/05/2026;5
10670;BACON SADIA KG INT;22,9361;1,65;7,6;0;2,1216;2,1216;1403;73;73;;;6472828;1;12/06/2026;17
10673;BACON STA CLARA KG INT;33,8001;1,65;7,6;0;3,1265;3,1265;1403;73;73;;;2799175;1;03/06/2026;4
10674;BANANA CATURRA KG;,325;1,65;7,6;0;,0301;,0301;1102;73;73;;;2121;6;14/05/2026;18
10675;BANANA DA TERRA KG;115;1,65;7,6;0;10,6375;10,6375;1102;73;73;;;780;6;23/02/2026;17
10676;BANANA PRATA KG;,62;1,65;7,6;0;,0574;,0574;1102;73;73;;;2121;6;14/05/2026;18
33273;BARRIGA SUINA APERIT REZENDE 800G;12,136;1,65;7,6;0;1,1226;1,1226;1403;73;73;;;1513886;1;08/06/2026;16
10687;BATATA DOCE BRANCA KG;,22;1,65;7,6;0;,0204;,0204;1102;73;73;;;2108;6;14/05/2026;18
10691;BATATA DOCE ROSA E ROXA KG;,1875;1,65;7,6;0;,0173;,0173;1102;73;73;;;2108;6;14/05/2026;18
37168;BATATA INGLESA BCA PIRULITO 5KG;,34;1,65;7,6;0;,0315;,0315;1102;73;73;;;848;6;06/03/2026;8
10694;BATATA INGLESA MONALISA BCA KG;,256;1,65;7,6;0;,0237;,0237;1102;73;73;;;2108;6;14/05/2026;18
10696;BATATA INGLESA ROSA KG;,264;1,65;7,6;0;,0244;,0244;1102;73;73;;;2108;6;14/05/2026;18
13136;BATOM DI HELLEN BL 03;8,46;1,65;7,6;0;,7826;,7826;1403;70;70;;;76049;1;23/03/2026;15
3560;BEB 3 CORACOES POWER WHEY 250ML CHOC;,4606;1,65;7,6;0;,0426;,0426;1102;73;73;;;733073;1;03/06/2026;15
3562;BEB 3 CORACOES POWER WHEY 250ML CLASSICO;,4606;1,65;7,6;0;,0426;,0426;1102;73;73;;;733073;1;03/06/2026;15
3568;BEB 3 CORACOES POWER WHEY 250ML COOKIES;,4606;1,65;7,6;0;,0426;,0426;1102;73;73;;;733073;1;03/06/2026;15
