COD_PONTO_EXTRA;NOME_PONTO_EXTRA;LOJA;COMPRADOR;COD_PRODUTO;DESCRICAO_PRODUTO;MINIMO_PONTO_EXTRA;MAXIMO_PONTO_EXTRA;INICIO_VIGENCIA;FIM_VIGENCIA;STATUS_ITEM_EMP;SITUACAO_VIGENCIA
121;Pontas fixas;12;NICOLAS;10;REFRIG COCA COLA PET 2L;2400;3000;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;795;REFRIG COCA COLA PET 2L ZERO;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;806;REFRIG FANTA LARANJA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;824;REFRIG PEPSI PET 2L BLACK;168;216;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;13;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;13;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;13;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;13;NICOLAS;156;CERV BUDWEISER LT 473ML;840;1320;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;13;NICOLAS;213;CERV SKOL PILSEN LT 473ML;2640;3432;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;13;NICOLAS;790;REFRIG CHARRUA GUARANA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;13;NICOLAS;10;REFRIG COCA COLA PET 2L;1800;2400;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;13;NICOLAS;795;REFRIG COCA COLA PET 2L ZERO;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;13;NICOLAS;824;REFRIG PEPSI PET 2L BLACK;320;416;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;14;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;14;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;14;NICOLAS;145;CERV ANTARCTICA SUBZERO LT 473ML;840;1320;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;14;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;14;NICOLAS;156;CERV BUDWEISER LT 473ML;840;1320;10/06/2026;31/12/2026;A;VIGENTE
