"Código Produto";"Produto";"CGO";"Quantidade";"Valor Bruto";"Valor Liquido"
"8350";"SH SEDA 325ML PRETOS LUMINOSO";"800";"211,000";"2.524,77";"2.496,27"
"33703";"SH SEDA 425ML CACHOS DEFINIDO";"800";"25,000";"274,75";"274,75"
"33705";"SH SEDA 425ML CERAMIDAS";"800";"137,000";"1.506,14";"1.506,14"
"33706";"SH SEDA 425ML CHA VERD E CITR";"800";"2,000";"21,98";"21,98"
"33707";"SH SEDA 425ML COCO RESTAURA";"800";"37,000";"406,63";"406,63"
"33710";"SH SEDA 425ML LUMINOSO";"800";"1,000";"10,99";"10,99"
"33702";"SH SEDA 425ML PRETO LUMINOSOS";"800";"19,000";"208,81";"208,81"
"24358";"SH SEDA ANT CASP HIDRATACAO DIARIA 325ML";"800";"335,000";"4.007,25";"3.943,40"
"8376";"SH TRESEMME 400ML BLIND ANT FRIZZ";"800";"7,000";"165,83";"165,83"
"8380";"SH TRESEMME 400ML HIDRAT PROFUN";"800";"23,000";"548,89";"548,89"
"8382";"SH TRESEMME 400ML RECONS E FORCA";"800";"28,000";"679,90";"679,90"
"8383";"SH TRESEMME 400ML TRESPLEX";"800";"33,000";"781,32";"781,32"
"36376";"SH TRESEMME BLIND ANTIUMIDADE 400ML";"800";"10,000";"264,90";"264,90"
"8394";"SH VINI LADY 190ML SILVERHAIR";"800";"18,000";"347,28";"347,28"
"8397";"SH VINI LADY 325ML BRILHO INTENSO";"800";"66,000";"591,34";"580,34"
"8398";"SH VINI LADY 325ML COCO";"800";"41,000";"368,83";"365,83"
"8399";"SH VINI LADY 325ML FORCA TTL";"800";"7,000";"55,93";"55,93"
"8405";"SH VINI LADY 325ML LISO INTENSO";"800";"103,000";"917,97";"908,97"
"8407";"SH VINI LADY 325ML ONDAS E CACHOS";"800";"30,000";"268,70";"265,70"
"8408";"SH VINI LADY 325ML PRETO ABSOLUTO";"800";"76,000";"683,24";"678,24"
"8409";"SH VINI LADY 325ML REPARACAO TOTAL";"800";"72,000";"647,28";"633,28"
"8403";"SH VINI LADY 330ML KIDS MAGIA DO UNICOR";"800";"52,000";"622,31";"622,31"
"36313";"SH VINI LADY KIDS ALOE VERA 330ML MALVA";"800";"35,000";"271,25";"271,25"
"8423";"SH300 COND PANTENE 150ML BIOTINAMINA";"800";"8,000";"263,92";"263,92"
"8425";"SH350 COND PANTENE 175ML HIDRATACAO";"800";"4,000";"132,76";"132,76"
"8426";"SH350 COND PANTENE 175ML HIDROCAUTER";"800";"28,000";"929,32";"929,32"
"8427";"SH350 COND PANTENE 175ML LISO";"800";"69,000";"2.290,11";"2.290,11"
"8428";"SH350 COND PANTENE 175ML RESTAURACAO";"800";"183,000";"6.073,77";"6.073,77"
"8437";"SHAKEIRA PLASUTIL 580ML MICKEY 6582";"800";"1,000";"17,99";"17,99"
"24332";"SHAMPOO MONANGE 325ML DETOX TERAPIA";"800";"121,000";"1.082,45";"1.082,45"
"8266";"SHAMPOO PALMOLIVE 350ML CERAMIDAS FORCE";"800";"25,000";"301,57";"301,57"
"8268";"SHAMPOO PALMOLIVE 350ML CUIDADO ABSOLUT";"800";"30,000";"364,14";"364,14"
"8276";"SHAMPOO PALMOLIVE 350ML NEUTRO";"800";"24,000";"296,31";"296,31"
