"Código Produto";"Produto";"Quantidade Disponível"
"15181";"CAFE SOL NESCAFE MATINAL VD L160GP144G";"0,000"
"15184";"CAFE SOL NESCAFE ORIG L200P180G";"0,000"
"15186";"CAFE SOL NESCAFE ORIG SH L40P36G";"0,000"
"15187";"CAFE SOL NESCAFE ORIG VD 200G";"107,000"
"15188";"CAFE SOL NESCAFE ORIG VD L160GP144";"0,000"
"2097";"CAFE SOL NESCAFE SH 40G DOLCA";"59,000"
"2108";"CAFE SOL NESCAFE SH 40G MATINAL SUAVE";"4,000"
"2109";"CAFE SOL NESCAFE SH 40G ORIGINAL";"48,000"
"2107";"CAFE SOL NESCAFE SH 40G TRADICAO FORTE";"209,000"
"2119";"CAFE SOL NESCAFE SH40G DESCAF";"30,000"
"15192";"CAFE SOL NESCAFE TRAD L200P180G";"0,000"
"15194";"CAFE SOL NESCAFE TRAD SH L40P36G";"0,000"
"15195";"CAFE SOL NESCAFE TRAD VD L160GP144";"0,000"
"38146";"CAFE SOL NESCAFE VD 160G GTS 10G TRAD";"2,000"
"2141";"CAFE SOL NESCAFE VD 160G MATINAL";"24,000"
"2142";"CAFE SOL NESCAFE VD 160G ORIGINAL";"63,000"
"2139";"CAFE SOL NESCAFE VD 160G TRADICAO FORTE";"25,000"
"38145";"CAFE SOL NESCAFE VD 200G GTS 10G TRAD";"14,000"
"2148";"CAFE SOL NESCAFE VD 200G TRADICAO";"1.481,000"
"38902";"CAPSULA DOLCE GUSTO CHOCOCINO C10 150G";"12,000"
"3037";"CEREAL MAT NESTLE CX 210G NESCAU";"30,000"
"3042";"CEREAL MAT NESTLE CX210G NESCAU DUO";"35,000"
"38835";"CEREAL MAT NESTLE NESFIT CX 220G";"24,000"
"3028";"CEREAL MAT NESTLE SH 120G NESCAU";"28,000"
"3027";"CEREAL MAT NESTLE SH 120G SNOW FLAKES";"21,000"
"37797";"CEREAL MATINAL NESTLE NESCAU 170G";"0,000"
"1280";"CHOC BARRA GAROTO 80G AO LEITE";"32,000"
"1271";"CHOC BARRA GAROTO 80G CROCANTE";"32,000"
"15961";"CHOC BARRA GAROTO 80G CRUNCH";"26,000"
"1276";"CHOC BARRA GAROTO 80G MEIO AMARGO";"0,000"
"1278";"CHOC BARRA GAROTO CAJU 80G CAJU PASSAS";"72,000"
"1274";"CHOC BARRA GAROTO CAJU 80G CAST CAJU";"82,000"
"1272";"CHOC BARRA GAROTO CHOC BCO 80G";"16,000"
"1279";"CHOC BARRA GAROTO CHOC BCO 80G NEGRESCO";"0,000"
"37860";"CHOC BARRA GAROTO RECH BATON 90G";"27,000"
"1294";"CHOC BARRA NESTLE 80G AO LEITE";"38,000"
"1288";"CHOC BARRA NESTLE 80G CLASSIC DUO";"206,000"
"1297";"CHOC BARRA NESTLE 80G CRUNCH";"301,000"
"1295";"CHOC BARRA NESTLE 80G DIPLOMATA";"131,000"
"1296";"CHOC BARRA NESTLE 80G GALAK GALAK";"84,000"
"1292";"CHOC BARRA NESTLE 80G MEIO AMARGO";"75,000"
"1289";"CHOC BARRA NESTLE 80G PRESTIGIO";"80,000"
"1286";"CHOC BARRA NESTLE 80G SUFLAIR";"96,000"
"36101";"CHOC BARRA NESTLE ALPINO 80G AO LEITE";"24,000"
"38000";"CHOC BARRA NESTLE RECH 90G GALAK";"0,000"
"37997";"CHOC BARRA NESTLE RECH 90G SERENATA AMOR";"0,000"
"1298";"CHOC BARRA NESTLE SUFLAIR DUO 80G";"0,000"
"1353";"CHOC BATON GAROTO 16G AO LEITE";"9,000"
"1354";"CHOC BATON GAROTO 16G BRANCO";"123,000"
