CODIGO_PRODUTO;DESCRICAO;DEPARTAMENTO;PULMAO_EMB;PULMAO_LASTRO;PULMAO_ALTURA;SELECAO_EMB;SELECAO_LASTRO;SELECAO_ALTURA
2777;ACUCAR CONFEITEIRO CBS 500G;MERCEARIA;FD 6;10;5;FD 6;10;5
12228;ACUCAR CRISTAL DOCESUCAR 5KG;MERCEARIA;FD 6;55;6;FD 6;55;6
746;ACUCAR CRISTAL GASPARIN 1KG;MERCEARIA;FD 10;10;10;FD 10;10;10
747;ACUCAR CRISTAL GASPARIN 2KG;MERCEARIA;FD 15;5;6;FD 15;5;6
750;ACUCAR CRISTAL GASPARIN 5KG;MERCEARIA;FD 6;5;6;FD 6;5;6
757;ACUCAR CRISTAL SAO JOAO 1KG;MERCEARIA;FD 30;5;6;FD 30;5;6
760;ACUCAR CRISTAL SAO JOAO 2KG;MERCEARIA;FD 15;5;6;FD 15;5;6
763;ACUCAR CRISTAL SAO JOAO 5KG;MERCEARIA;FD 6;5;6;FD 6;5;6
2974;ACUCAR DEMERARA UNIAO 1KG;MERCEARIA;FD 10;10;11;FD 10;10;11
3041;ACUCAR MAGRO LIGHT 400G;MERCEARIA;FD 20;9;9;FD 20;9;9
3049;ACUCAR MAGRO LIGHT C STEVIA 400G;MERCEARIA;FD 20;10;15;FD 20;10;15
2991;ACUCAR MASCAVO CBS 500G;MERCEARIA;FD 20;9;5;FD 20;9;5
12237;ACUCAR REFINADO GASPARIN 1K;MERCEARIA;FD 10;12;10;FD 10;12;10
33463;ADITIVO RADIADOR BARDAHL 1L;PERFUMARIA E LIMPEZA;CX 12;4;3;CX 12;4;3
33972;ADITIVO RADIADOR MIL MILHAS 1L RS;PERFUMARIA E LIMPEZA;CX 12;11;7;CX 12;11;7
12254;ADITIVO RADIADOR TECBRIL 1L AZL;PERFUMARIA E LIMPEZA;;0;0;;0;0
12255;ADITIVO RADIADOR TECBRIL 1L RSA;PERFUMARIA E LIMPEZA;;0;0;;0;0
12256;ADITIVO RADIADOR TECBRIL 1L RSA;PERFUMARIA E LIMPEZA;;0;0;;0;0
12257;ADITIVO RADIADOR TECBRIL 1L VDE;PERFUMARIA E LIMPEZA;;0;0;;0;0
36820;ADITIVO RADIADOR TECBRIL MONT 1L AZ;PERFUMARIA E LIMPEZA;;0;0;;0;0
2996;ADOCANTE ADOCYL 100ML;MERCEARIA;CX 12;20;3;CX 12;20;3
3019;ADOCANTE ADOCYL 200ML;MERCEARIA;CX 12;28;6;CX 12;28;6
3029;ADOCANTE ADOCYL STEVIA 80ML;MERCEARIA;CX 12;8;4;CX 12;8;4
3001;ADOCANTE LOWCUCAR DIET 100ML TRAD;MERCEARIA;CX 12;9;9;CX 12;9;9
3010;ADOCANTE LOWCUCAR DIET 200ML TRAD;MERCEARIA;CX 12;9;9;CX 12;9;9
3004;ADOCANTE LOWCUCAR MAGRO DIET 100ML;MERCEARIA;CX 12;9;9;CX 12;9;9
3052;ADOCANTE LOWCUCAR SOSTEVIA 65ML;MERCEARIA;CX 12;9;9;CX 12;9;9
3016;ADOCANTE MAGRO 200ML;MERCEARIA;CX 12;10;5;CX 12;10;5
3021;ADOCANTE MAGRO DIET C STEVIA 65ML;MERCEARIA;CX 12;10;5;CX 12;10;5
3013;ADOCANTE MAGRO DIET SUCRALOSE 65ML;MERCEARIA;CX 12;9;9;CX 12;9;9
3024;ADOCANTE ZERO CAL 100ML;MERCEARIA;CX 12;7;5;CX 12;7;5
3046;ADOCANTE ZERO CAL 200ML;MERCEARIA;CX 12;10;3;CX 12;10;3
8805;AERO JIMO MATA BARATAS 300ML;PERFUMARIA E LIMPEZA;CX 12;10;2;CX 12;10;2
10510;AGRIAO HIDROPON EST DA FIGUEIRA;PERECIVEIS;;0;0;;0;0
10511;AGRIAO HIDROPONICO OURO VERDE SAO BORJA;PERECIVEIS;;0;0;;0;0
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;CX 12;10;5;CX 12;10;5
952;AGUA COCO DUCOCO TP 200ML;BEBIDAS;CX 27;18;10;CX 27;18;10
954;AGUA COCO KERO COCO TP 1L;BEBIDAS;CX 12;17;5;CX 12;17;5
956;AGUA COCO KERO COCO TP 200ML;BEBIDAS;CX 27;5;4;CX 27;5;4
12272;AGUA COLONIA POMPOM 100G;PERFUMARIA E LIMPEZA;CX 12;22;7;CX 12;22;7
36842;AGUA DE COCO NATURAL 1L;PERECIVEIS;;0;0;;0;0
36840;AGUA DE COCO NATURAL 500ML;PERECIVEIS;;0;0;;0;0
3941;AGUA MICELAR LOREAL 200ML 5 EM 1;PERFUMARIA E LIMPEZA;FD 6;10;10;FD 6;10;10
3940;AGUA MICELAR LOREAL 200ML HIALURON;PERFUMARIA E LIMPEZA;;0;0;;0;0
54;AGUA MIN AGUA DA PEDRA LT 350ML ABACAXI C HORT;BEBIDAS;FD 12;20;5;FD 12;20;5
12273;AGUA MIN AGUA DA PEDRA LT 350ML BERGA CAPIM LIM;BEBIDAS;FD 12;30;22;FD 12;30;22
12274;AGUA MIN AGUA DA PEDRA LT 350ML BLUEBER LIM;BEBIDAS;FD 12;22;7;FD 12;22;7
55;AGUA MIN AGUA DA PEDRA LT 350ML FTAS VRM;BEBIDAS;FD 12;10;3;FD 12;10;3
56;AGUA MIN AGUA DA PEDRA LT 350ML LIM C ALECRIM;BEBIDAS;FD 12;8;4;FD 12;8;4
12275;AGUA MIN AGUA DA PEDRA LT 350ML PESSEGO;BEBIDAS;FD 12;8;3;FD 12;8;3
12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;BEBIDAS;FD 6;25;5;FD 6;25;5
25;AGUA MIN AGUA DA PEDRA PET 2L C GAS;BEBIDAS;FD 6;20;5;FD 6;20;5
66;AGUA MIN AGUA DA PEDRA PET 350ML C GAS;BEBIDAS;FD 12;9;9;FD 12;9;9
34;AGUA MIN AGUA DA PEDRA PET 500ML C GAS;BEBIDAS;FD 12;25;7;FD 12;25;7
50;AGUA MIN AGUA DA PEDRA PET 5L S GAS;BEBIDAS;FD 4;50;4;FD 4;50;4
48;AGUA MIN FLORESTA 500ML C GAS;BEBIDAS;FD 12;24;7;FD 12;24;7
49;AGUA MIN FLORESTA 500ML S GAS;BEBIDAS;FD 12;150;7;FD 12;150;7
52;AGUA MIN FLORESTA 5L S GAS;BEBIDAS;FD 4;12;4;FD 4;12;4
53;AGUA MIN SARANDI 5L S GAS;BEBIDAS;FD 4;12;4;FD 4;12;4
74;AGUA MIN SARANDI COPO 200ML S GAS;BEBIDAS;CX 48;80;8;CX 48;80;8
73;AGUA MIN SARANDI FITTING 510ML S GAS;BEBIDAS;FD 12;26;3;FD 12;26;3
33;AGUA MIN SARANDI PET 2 L S GAS;BEBIDAS;FD 8;20;5;FD 8;20;5
32;AGUA MIN SARANDI PET 2L C GAS;BEBIDAS;;0;0;;0;0
3945;AGUA MIN VALLE VITA 500ML S GAS;BEBIDAS;;0;0;;0;0
35;AGUA MINER AGUA DA PEDRA 500ML S GAS;BEBIDAS;FD 12;24;10;FD 12;24;10
67;AGUA MINER AGUA DA PEDRA PET 350ML S GAS;BEBIDAS;FD 12;20;8;FD 12;20;8
36;AGUA MINERAL CRYSTAL C G 500ML;BEBIDAS;FD 12;24;14;FD 12;24;14
43;AGUA MINERAL CRYSTAL S G 500ML;BEBIDAS;CX 12;24;7;CX 12;24;7
51;AGUA MINERAL CRYSTAL S G 5L S GAS;BEBIDAS;FD 2;15;5;FD 2;15;5
12278;AGUA OXIG BUTTERF 20V 100ML;PERFUMARIA E LIMPEZA;CX 12;22;6;CX 12;22;6
12279;AGUA OXIG BUTTERF 30V 100ML;PERFUMARIA E LIMPEZA;FD 12;12;5;FD 12;12;5
12280;AGUA OXIG BUTTERF 40V 100ML;PERFUMARIA E LIMPEZA;UN 1;10;5;UN 1;10;5
78;AGUA SABORIZ H2OH LIMAO PET 500ML;BEBIDAS;FD 12;10;3;FD 12;10;3
14;AGUA SABORIZADA H2OH PET 1 5L LIMAO;BEBIDAS;FD 6;20;5;FD 6;20;5
15;AGUA SABORIZADA H2OH PET 1 5L LIMONETO;BEBIDAS;FD 6;20;5;FD 6;20;5
8807;AGUA SANIT BRILHANTE MULTIUSO 2L;PERFUMARIA E LIMPEZA;;0;0;;0;0
8806;AGUA SANIT GIRANDO SOL 2L;PERFUMARIA E LIMPEZA;CX 6;10;6;CX 6;10;6
3948;AGUA SANIT GOTA LIMPA 1L;PERFUMARIA E LIMPEZA;CX 12;14;5;CX 12;14;5
12289;AGUA SANIT IMPERIAL 1L;PERFUMARIA E LIMPEZA;FD 12;15;4;FD 12;15;4
12290;AGUA SANIT IMPERIAL 2L;PERFUMARIA E LIMPEZA;FD 6;15;5;FD 6;15;5
12291;AGUA SANIT IMPERIAL 5L;PERFUMARIA E LIMPEZA;FD 4;55;3;FD 4;55;3
3950;AGUA SANIT Q BOA 1L;PERFUMARIA E LIMPEZA;CX 12;14;5;CX 12;14;5
3951;AGUA SANIT Q BOA 2L;PERFUMARIA E LIMPEZA;CX 6;13;5;CX 6;13;5
3952;AGUA SANIT Q BOA 5L;PERFUMARIA E LIMPEZA;CX 3;14;4;CX 3;14;4
3953;AGUA SANIT YPE 1L;PERFUMARIA E LIMPEZA;CX 12;14;5;CX 12;14;5
3954;AGUA SANIT YPE 2L;PERFUMARIA E LIMPEZA;CX 6;13;5;CX 6;13;5
12293;AGUA SANIT ZAVASKI 5L;PERFUMARIA E LIMPEZA;CX 4;10;4;CX 4;10;4
37433;AGUA SANITARIA SUPREMA 1 L;PERFUMARIA E LIMPEZA;CX 12;15;10;CX 12;15;10
37437;AGUA SANITARIA SUPREMA 2 L;PERFUMARIA E LIMPEZA;CX 6;15;5;CX 6;15;5
37429;AGUA SANITARIA SUPREMA 5 L;PERFUMARIA E LIMPEZA;CX 3;14;4;CX 3;10;5
81;AGUA TONICA ANTARCTICA LT 350ML;BEBIDAS;FD 12;22;10;FD 12;22;10
80;AGUA TONICA ANTARCTICA LT 350ML ZR;BEBIDAS;FD 12;45;10;FD 12;45;10
83;AGUA TONICA ANTARCTICA PET 1L ZR;BEBIDAS;FD 6;12;3;FD 6;12;3
82;AGUA TONICA ANTARTICA PET 1L;BEBIDAS;FD 6;30;2;FD 6;30;2
84;AGUA TONICA FRUKI LT 350ML;BEBIDAS;FD 12;22;9;FD 12;22;9
18;AGUA TONICA FRUKI PET 1 5L;BEBIDAS;FD 6;20;5;FD 6;20;5
12294;AGUA TONICA QUININO ZERO 1 5ML;BEBIDAS;FD 6;20;7;FD 6;20;7
12295;AGUA TONICA QUININO ZERO 350ML;BEBIDAS;FD 12;20;7;FD 12;20;7
88;AGUA TONICA SARANDI LT 350ML;BEBIDAS;FD 12;40;5;FD 12;40;5
385;AGUARDENTE 51 965ML;BEBIDAS;CX 12;15;5;CX 12;15;5
411;AGUARDENTE KIKANA 580ML;BEBIDAS;CX 12;15;5;CX 12;15;5
413;AGUARDENTE KIKANA 790ML;BEBIDAS;FD 12;22;15;FD 12;22;15
418;AGUARDENTE TAIMBE 900ML;BEBIDAS;FD 12;17;5;FD 12;17;5
422;AGUARDENTE VELHO BARREIRO 600ML;BEBIDAS;CX 12;15;5;CX 12;15;5
424;AGUARDENTE VELHO BARREIRO 910ML ADO;BEBIDAS;CX 12;15;5;CX 12;15;5
366;AGUARDENTE VELHO BARREIRO 910ML CAFE;BEBIDAS;CX 6;20;5;CX 6;20;5
367;AGUARDENTE VELHO BARREIRO 910ML GOLD;BEBIDAS;CX 6;6;2;CX 6;6;2
374;AGUARDENTE VELHO BARREIRO 910ML LIMAO;BEBIDAS;CX 6;26;5;CX 6;26;5
10512;AGULHA RESERVA BOV BDJ;PERECIVEIS;;0;0;;0;0
10513;AGULHA RESERVA BOV C OSSO KG;PERECIVEIS;;0;0;;0;0
10514;AGULHA RESERVA BOV CENTRO BDJ;PERECIVEIS;;0;0;;0;0
10517;AIPIM FRACION VACUO S CASCA;PERECIVEIS;;0;0;;0;0
3961;AIPIM HENICKA DESC VACUO CONG 1KG;PERECIVEIS;;0;0;;0;0
12300;AIPIM HENICKA PRE COZIDA 1K;PERECIVEIS;;0;0;;0;0
10515;AIPIM KG;PERECIVEIS;;0;0;;0;0
3762;AJI SAL 1KG P CHURRASCO;MERCEARIA;CX 12;10;4;CX 12;10;4
2318;ALCAPARRAS CONSERVA JUREIA 200G;MERCEARIA;CX 6;9;10;CX 6;9;10
2316;ALCAPARRAS UNIAGRO GOUMERT SH 80G;MERCEARIA;CX 12;10;5;CX 12;10;5
34538;ALCATRA BOV FRIBOI KG BDJ;PERECIVEIS;;0;0;;0;0
34540;ALCATRA BOV FRIBOI KG BIFE BDJ;PERECIVEIS;;0;0;;0;0
34539;ALCATRA BOV FRIBOI KG PEDACO;PERECIVEIS;;0;0;;0;0
25581;ALCATRA BOV RES KG;PERECIVEIS;;0;0;;0;0
10524;ALCATRA RESERVA GRILL;PERECIVEIS;;0;0;;0;0
10655;ALCATRA S OSSO KG BABY BEEF;PERECIVEIS;;0;0;;0;0
10657;ALCATRA S OSSO KG BABY BEEF PORC;PERECIVEIS;;0;0;;0;0
10521;ALCATRA S OSSO KG BIFE;PERECIVEIS;;0;0;;0;0
10777;ALCATRA S OSSO KG BOMBOM ALCATRA;PERECIVEIS;;0;0;;0;0
10526;ALCATRA S OSSO KG CARN STROGONOFF;PERECIVEIS;;0;0;;0;0
10523;ALCATRA S OSSO KG ESPECIAL;PERECIVEIS;;0;0;;0;0
10522;ALCATRA S OSSO KG MEDALHAO;PERECIVEIS;;0;0;;0;0
10520;ALCATRA S OSSO KG MOIDA;PERECIVEIS;;0;0;;0;0
10527;ALCATRA S OSSO KG PAI;PERECIVEIS;;0;0;;0;0
10525;ALCATRA S OSSO KG PEDACO;PERECIVEIS;;0;0;;0;0
