CODIGO_EMPRESA;NUMERO_ACORDO;NUMERO_PROCESSO;CODIGO_FORNECEDOR;FORNECEDOR;DESCRICAO_ACORDO;DATA_EMISSAO;COMPRADOR;STATUS_ACORDO;SITUACAO_FINANCEIRA;TIPO_ACORDO;CODIGO_PRODUTO;QTD_UTILIZADA_VERBA;DATA_FINAL_VERBA;PROXIMO_VENCIMENTO;ULTIMO_RECEBIMENTO;NUMERO_NF;NUMERO_PEDIDO_SUPRIMENTO;VALOR_ACORDO;VLR_EM_ABERTO;VLR_FIN_VENCIDO;VLR_JA_QUITADO;VALOR_SALDO_ACORDO;VALOR_UTILIZADO_PRODUTO;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_PENDENTES
11;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6879;16;12/07/2026;03/09/2026;;;;R$ 8,00;R$ 8,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 8,00;1;0;1
12;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6865;2;12/07/2026;03/09/2026;;;;R$ 1,00;R$ 1,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1,00;1;0;1
13;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6865;12;12/07/2026;03/09/2026;;;;R$ 6,00;R$ 6,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 6,00;1;0;1
14;20;9687;4434;QUIMICA AMPARO LTDA.;ACORDO RF.VERBA SEM ACORDO 25/07/2026;25/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;5694;33;05/07/2026;22/08/2026;;;;R$ 43,12;R$ 43,12;R$ 0,00;R$ 0,00;R$ 35,86;R$ 7,26;1;0;1
14;20;9687;4434;QUIMICA AMPARO LTDA.;ACORDO RF.VERBA SEM ACORDO 25/07/2026;25/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;5695;70;05/07/2026;22/08/2026;;;;R$ 43,12;R$ 43,12;R$ 0,00;R$ 0,00;R$ 27,72;R$ 15,40;1;0;1
14;20;9687;4434;QUIMICA AMPARO LTDA.;ACORDO RF.VERBA SEM ACORDO 25/07/2026;25/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;5696;46;05/07/2026;22/08/2026;;;;R$ 43,12;R$ 43,12;R$ 0,00;R$ 0,00;R$ 33,00;R$ 10,12;1;0;1
14;20;9687;4434;QUIMICA AMPARO LTDA.;ACORDO RF.VERBA SEM ACORDO 25/07/2026;25/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;5698;47;05/07/2026;22/08/2026;;;;R$ 43,12;R$ 43,12;R$ 0,00;R$ 0,00;R$ 32,78;R$ 10,34;1;0;1
16;20;7309;16491;JBS S A;ACORDO REF. PEDIDO: 16/58602/L;30/04/2026;LAURINDO;EM ANDAMENTO;QUITADO;SELL-IN;;;;;25/06/2026;340268, 340269;58602;R$ 8.626,66;R$ 0,00;R$ 0,00;R$ 8.626,66;R$ 0,00;R$ 0,00;1;1;0
17;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6870;3;12/07/2026;03/09/2026;;;;R$ 3,00;R$ 3,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3,00;1;0;1
18;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6878;4;12/07/2026;03/09/2026;;;;R$ 3,00;R$ 3,00;R$ 0,00;R$ 0,00;R$ 1,00;R$ 2,00;1;0;1
