SEQPRODUTO;SEQFAMILIA;COMPLEMENTO;DESCCOMPLETA;DESCREDUZIDA;REFFABRICANTE;ESPECIFICDETALHADA;DESCCOMPOSICAO;PZOVALIDADEDIA;INDPROCFABRICACAO;QTDFABRICADALOTE;SEQPRODUTOBASE;PERCACRESPRECO;INDPRECOZEROBALANCA;FATORCONVERSAO;SEQPRODUTOINSUMO;DTAHORINCLUSAO;USUARIOINCLUSAO;DTAHORALTERACAO;USUARIOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;PZOVALIDADEMES;NROREGMINSAUDE;CODPRODFISCAL;DESCGENERICA;PROPQTDPRODUTOBASE;NRODIASADVERRECBTO;PERCALTPRECRELAC;NROITEMFIXO;GERALIVROCPROD;INDUSANFDESPESA;SEQBULARIO;SEQPRODUTOTMP;INDEMITECODPRODFISCALNFE;PERCDIASADVERRECBTO;CODIGOANP;CODIGOIF;INDINTEGRAECOMMERCE;QTDLIMITEPROMOCECOMMERCE;YOUTUBECODEECOMMERCE;DATAHORINTEGRACAOECOMMERCE;INDRES3166;DTAHORALTERACARGAPDV;IMPDATAVALIDADEBALANC;IMPDATAEMBBALANC;SEQINFNUTRICPROD;INDREPLICAINFOFORNEC;TITULOECOMMERCE;DESCECOMMERCE;PALAVRACHAVEECOMMERCE;URLECOMMERCE;PERCGASNATURAL;INDPARTCOTATAC;PERCACRESCCUSTORELAC;PERCACRESCCUSTORELACVIG;INDEMITEETQHORT;QTDMULTIPLOVDAECOMMERCE;INDCONTROLATEMPERATURA;PERSIMILIARECOMMERCE;DATAHORINTEGRACAOECOMMERCEESTQ;PZOVALIDLOTE;SEQPRODRELACLOTE;ALIQADJUD;INDCALCFLEXPOSITIVO;SEQPRODUTOSECUNDARIO;CENTROCUSTOPROD;SEQPRODUTOBASEANTIGO;INDCALCCOMISINDICEMGM;SEQPRODUTOEMBALAGEM;CODIMAGEM;INDACTFAIXATOLERANCIACARGAREC;INDCADASTROATIVO;PZOVALIDADENATIMORTO;PROPQTDPERDAAUTO;DESCRICAOANP;PZOVALIDADEDIASAIDA;INDGERARESSARCICMSSTPRODINSUMO;PERCGASNATURALNACIONAL;PERCGASNATURALIMPORTADO;VLRPARTIDAGLP;NRODIASVALPRODRESFRIADO;NRODIASVALPRODABERTO;TEMPIDEALMIN;TEMPIDEALMAX;DESCENCARTE;NOMEPRODUTOECOMM;MOTIVOISENCAOMINSAUDE;OBSENCARTE;INDESCRITURAPRODUTOBASE;SEQPRODUTOIMPORTACAOERP;URLECOMMALTERNATIVA;INDPRODTRIBUTMONOICMS;PERCALIQADREM;PERCINDMISTBIODIESEL;NRODIASADVERMAXRECBTO;NROBASEEXPORTACAOERP
3697;2703;GALETO;TEMP EXTREMO SABOR 230G GALETO;TEMP EXTR SABOR 230G GAL;67;;;;S;;;;N;;;2024-12-31-10.10.35.000000;MYGOMES;2025-09-10-09.12.02.000000;MYGOMES;S;;;;3697;TEMP EXTREMO SABOR 230G GALETO;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;
3706;2700;FLORES NEGRAS;MIST P BOLO APTI 400G FLORES NEGRAS;MIST P BOLO APTI 400G FL;;;;0;S;;;;N;;;2024-12-31-10.42.24.000000;JORSALDA;2026-08-24-20.01.53.000000;ALSOARES;S;;;;3706;MIST P BOLO APTI 400G FLORES NEGRAS;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3711;2700;MILHO;MIST P BOLO APTI 400G MILHO;MIST P BOLO APTI 400G MI;;;;0;S;;;;N;;;2024-12-31-10.56.11.000000;JORSALDA;2026-08-24-20.02.32.000000;ALSOARES;S;;;;3711;MIST P BOLO APTI 400G MILHO;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3712;2700;QUATRO LEITES;MIST P BOLO APTI 400G QUATRO LEITES;MIST P BOLO APTI 400G QU;;;;0;S;;;;N;;;2024-12-31-10.59.55.000000;JORSALDA;2026-08-24-20.02.45.000000;ALSOARES;S;;;;3712;MIST P BOLO APTI 400G QUATRO LEITES;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3718;2707;BANANA INTEGRAL;MIST P BOLO APTI PREMIUM 400G BANANA INTEGRAL;MIST P BOLO APTI PREMIUM;;;;0;S;;;;N;;;2024-12-31-11.29.49.000000;JORSALDA;2026-07-07-09.55.24.000000;CVELOSO;S;;;;3718;MIST P BOLO APTI PREMIUM 400G BANANA INTEGRAL;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3727;2713;ALHO SAL;TEMP SABOR AMI 300G ALHO SAL;TEMP SABOR AMI 300G ALHO;6209;;;0;S;;;;N;;;2024-12-31-11.57.11.000000;MYGOMES;2026-07-29-18.11.49.000000;ALSOARES;S;;;;3727;TEMP SABOR AMI 300G ALHO SAL;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3733;2048;CHOCMOUSSE;MIST P BOLO FLEISCHMANN 400G CHOCMOUSSE;MIST P BOLO FLEISCHMANN;815101;;;0;S;;;;N;;;2025-01-02-08.20.49.000000;JORSALDA;2026-08-24-20.03.42.000000;ALSOARES;S;;;;3733;MIST P BOLO FLEISCHMANN 400G CHOCMOUSSE;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3734;2715;MASSAS;TEMP SAZON 60G MASSAS;TEMP SAZON 60G MASSAS;6217;;;0;S;;;;N;;;2025-01-02-08.21.26.000000;MYGOMES;2026-07-29-18.12.19.000000;ALSOARES;S;;;;3734;TEMP SAZON 60G MASSAS;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3736;2714;COCO;MIST P BOLO FLEISCHMANN 390G COCO;MIST P BOLO FLEISCHMANN;;;;0;S;;;;N;;;2025-01-02-08.27.00.000000;JORSALDA;2026-07-07-10.08.55.000000;CVELOSO;S;;;;3736;MIST P BOLO FLEISCHMANN 390G COCO;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3741;2716;;TEMP KITANO 40G CEBOLA ALHO SALSA;TEMP KITAN 40G CEB AL SA;8063;;;;S;;;;N;;;2025-01-02-08.40.12.000000;MYGOMES;2026-08-13-16.57.35.000000;ALSOARES;S;;;;3741;TEMP KITANO 40G CEBOLA ALHO SALSA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3746;2719;;TEMP KITANO 300G ALHO SAL;TEMP KITANO 300G ALH SAL;;;;0;S;;;;N;;;2025-01-02-09.02.22.000000;MYGOMES;2026-04-02-19.12.47.000000;ALSOARES;S;;;;3746;TEMP KITANO 300G ALHO SAL;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3752;2724;GRIL;TEMP MAGGI 120G GRIL;TEMP MAGGI 120G GRIL;415012;;;0;S;;;;N;;;2025-01-02-09.34.12.000000;MYGOMES;2026-08-24-20.04.41.000000;ALSOARES;S;;;;3752;TEMP MAGGI 120G GRIL;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3754;2726;;TEMP COMPLETO CAMPERO 90G C PIMENTA;TEMP COMP CAMPER 90G C P;;;;0;S;;;;N;;;2025-01-02-09.43.49.000000;MYGOMES;2026-08-13-16.59.20.000000;ANDNEVES;S;;;;3754;TEMP COMPLETO CAMPERO 90G C PIMENTA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3757;2728;;ALHO PICADO ALHOSTIN 1 01KG;ALHO PICADO ALHOSTIN 1KG;8;;;0;S;;;;N;;;2025-01-02-09.51.42.000000;MYGOMES;2026-08-24-20.05.21.000000;ALSOARES;S;;;;3757;ALHO PICADO ALHOSTIN 1 01KG;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3758;2729;MALAGUETA;TEMP EXTREMO SABOR 145G PIMENTA MALAGUETA;TEMP EXT SAB 145G PIM MA;240;;;;S;;;;N;;;2025-01-02-09.57.49.000000;MYGOMES;2025-09-10-09.12.02.000000;MYGOMES;S;;;;3758;TEMP EXTREMO SABOR 145G PIMENTA MALAGUETA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;
3760;2730;;TEMP TOQUE CHEF 120G GRELHADOS;TEMP TOQUE CHEF 120G GRE;8081;;;0;S;;;;N;;;2025-01-02-10.03.39.000000;MYGOMES;2026-08-13-17.00.21.000000;ALSOARES;S;;;;3760;TEMP TOQUE CHEF 120G GRELHADOS;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
