CODIGO_PRODUTO;DESCRICAO_PRODUTO;QTD_INCINERADA;CODIGO_FORNECEDOR;FORNECEDOR
17322;DET LIQ APYCE SUPERAC SH 800ML;26;5894;UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A
794;REFRIG COCA COLA E SPRITE 2L;26;15441;SPAL IND BRAS BEBIDAS AS
2201;ARROZ INTEG MANINHO GRAO CURTO 1KG;26;3475;COMERCIAL DE CEREAIS MANINHO LTDA
3621;TEMP CRAVO INDIA KITANO 40G;26;3528;FABIANO ZAFFALON E CIA.
803;KETCHUP ODERICH SH 1K;26;15520;CONSERVAS ODERICH SA
2442;POPCORN YOKI MICRO 160G COBERTURA CHOC;26;3528;FABIANO ZAFFALON E CIA.
1504;BISC ISABELA TORTINHAS 140G TRUFA C GELEIA;26;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
13611;BOLA FUTEBOL CAMPO XH N5 ELITE;26;17022;T.E.C. XAVIER - COMERCIO TRANSP. E SERV.
103;REFRE PO FRISCO 18G ABACAXI;25;8702;CAFE TRES CORACOES S.A
1367;BISC CEREALE INTEG 147G LAR DAMASCO;25;15497;PANDURATA ALIMENTOS LTDA
3562;BEB 3 CORACOES POWER WHEY 250ML CLASSICO;25;8702;CAFE TRES CORACOES S.A
2188;CAPSULA 3C 80G C 10 ESPRESSO PLENO;25;8702;CAFE TRES CORACOES S.A
3654;LEITE COCO MENINA VD 200ML;25;3380;NLS ALIMENTOS LTDA
1443;CHOC TWIX 40G CHOC CARAMELO;25;9274;DISBAL RS DISTRIBUIDORA BALESTRIN LTDA
1184;BISC COOKIE PIRAQUE 80G BAUNILHA;25;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
6689;LAVA ROUPA ARIEL 700ML CLASSIC REF;25;6644;ONIZ DISTRIBUID LTDA SCJ
634;SUCO DEL VALLE LT 290ML MANGA;25;15441;SPAL IND BRAS BEBIDAS AS
1389;BISC NESFIT INTEG 160G BAN AVEIA CAN;25;15134;NESTLE BRASIL LTDA
1458;CHOC TABLETE 1891 SUPREME BCO 90G SUPREME BCO;25;6703;VONPAR ALIMENTOS S.A
17386;DET PO APYCE SH 400G AZUL;25;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
80;AGUA TONICA ANTARCTICA LT 350ML ZR;25;9638;CRBS AS CDD PELOTAS
2187;CAPSULA 3C 80G C 10 ESPRESSO ATENTO;25;8702;CAFE TRES CORACOES S.A
15757;CERV IMPERIO PILSEN LT 473ML PURO MALTE;24;14067;DIST BEBIDAS BORTOLAZZO LTDA
33265;REFRIG FRUKI GUAR ZR PET 3L GUARANA ZERO;24;6424;BEBIDAS FRUKI LTDA
2480;KETCHUP FUGINI SH 300G TRAD;24;5791;FUGINI ALIMENTOS LTDA
181;REFRE PO GLUP 15G ABACAXI;24;4968;ENOVA FOODS AS
5251;CR DENT CLOSE UP 70G TRIPLE MENTA;24;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
1391;BISC NESFIT INTEG 160G LAR CENOURA;24;15134;NESTLE BRASIL LTDA
2082;CHA REAL MULTIERVAS 15G VERDE;24;6364;MOINHOS UNIDOS BRASIL MATE S.A
12290;AGUA SANIT IMPERIAL 2L;24;5695;SABAO IMPERIAL LTDA
400;ENERG ELEV LT 269ML ENERGY DRINK;24;6424;BEBIDAS FRUKI LTDA
2886;MOLHO STROGONOFF FUGINI SH 300G;24;5791;FUGINI ALIMENTOS LTDA
3260;GERGELIM PRETO EQUIL SAUDAVEL 100G;24;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
3075;MOLHO ODERICH 220G CHEDDAR;24;15520;CONSERVAS ODERICH SA
5191;CR DEN COLGATE LUMIN WHITE 140G CARVAO ATIVADO;24;15318;PODAL IND E COM DE ALIMENTOS LTDA
186;REFRE PO GLUP 15G MARACUJA;24;4968;ENOVA FOODS AS
3695;TEMP KITANO COLORIFICO 80G;24;3528;FABIANO ZAFFALON E CIA.
2762;FARINHA TRIGO MARIA INES 5KG PASTEL;24;6560;ANTONIAZZI & CIA LTDA
20635;MAS MACARRAO BOM GOSTO SEMOLA 400G;24;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
595;SUCO COM TEM LARANJA VD 1L;24;6424;BEBIDAS FRUKI LTDA
