SEQFAMILIA;SEQFORNECEDOR;PRINCIPAL;INDREPLICACAO;INDGEROUREPLICACAO;NROSEGFORNEC;INDINDENIZAVARIA;TIPFORNECEDORFAM;PADRAOEMBCOMPRAFORNEC;CALCDESCSUFRAMAPISCOFINS;INDCONTROLAFLEX;INDMEDIDAMETADISTRIB;NROBASEEXPORTACAO;EMBPADRAOIMPXML;USUARIOALTERACAO;INDBUSCANFAUTODEVFORNEC;FATORCONVEMBXML;INDCONTROLAPRINC;INDCOBRAIPIRECEB;DATAHORAALTERACAO;INDCONSIDTIPFORNCGO;NROBASEEXPORTACAOERP
17846;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
18175;5783;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
18429;6962;N;S;;;;;;S;;;5618649;;AD_AJUSTE;;;;;2026-08-28-18.48.39.000000;;0
18464;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
26140;8487;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
18616;8309;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
18634;6694;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
18635;7194;N;S;;;;;;S;;;4934344;;AD_AJUSTE;;;;;2025-10-03-14.10.05.000000;;
26191;7194;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
18799;8309;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
18822;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
18898;12543;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
26350;14523;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
18936;16670;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
18993;4304;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
26458;12822;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
19074;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
19091;5844;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
26477;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
26497;5844;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
19107;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
26501;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
26502;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
19108;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
19109;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
19110;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
19111;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
19114;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
26511;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
19115;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.42.000000;;
