OWNER;TABLE_NAME;COLUMN_NAME;DATA_TYPE;DATA_LENGTH
CONSINCO;MACV_PSITEMRECEBER;DTARECEBTO;DATE;7
CONSINCO;MACV_PSITEMRECEBER;DTARECEBTOITEM;DATE;7
CONSINCO;MACV_PSITEMRECEBER;DTARECEBTOPED;DATE;7
CONSINCO;MACV_PSITEMRECEBER;DTAULTRECEBTO;DATE;7
CONSINCO;MACV_PSITEMRECEBER;ID_PEDIDOSUPRIM;ROWID;10
CONSINCO;MACV_PSITEMRECEBER;ID_PSITEMRECEBER;ROWID;10
CONSINCO;MACV_PSITEMRECEBER;NROPEDFORNECEDOR;VARCHAR2;10
CONSINCO;MACV_PSITEMRECEBER;NROPEDFORNECEDORNUM;NUMBER;22
CONSINCO;MACV_PSITEMRECEBER;NROPEDIDOBONIF;NUMBER;22
CONSINCO;MACV_PSITEMRECEBER;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_PSITEMRECEBER;QTDRECEBIDA;NUMBER;22
CONSINCO;MACV_PSITEMRECEBER;SEQNROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_PSITEMRECEBER;SEQPSITEMRECEBIDO;NUMBER;22
CONSINCO;MACV_PSITEMRECEBER;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MACV_PSITEMRECEBER;VLRTOTPEDIDO;NUMBER;22
CONSINCO;MACV_PSITEMRECEBER;VLRTOTRECEBIDO;NUMBER;22
CONSINCO;MACX_GERCOMPRAITEM;DTARECEBPEDIDO;DATE;7
CONSINCO;MACX_GERCOMPRAITEM;PROXDTARECEBTO;DATE;7
CONSINCO;MACX_GERCOMPRAITEM;QTDRESERVADARECEB;NUMBER;22
CONSINCO;MACX_GERCOMPRAITEM;SETORPEDIDO;VARCHAR2;12
CONSINCO;MACX_GERCOMPRAITEMPED;NROPEDIDO;NUMBER;22
CONSINCO;MACX_GERCOMPRAPED;DTARECEBIMENTO;DATE;7
CONSINCO;MACX_GERCOMPRAPED;NROPEDIDO;NUMBER;22
CONSINCO;MACX_IMPABASTECIMENTO;DTAPROCPEDIDO;DATE;7
CONSINCO;MACX_IMPABASTECIMENTO;NROPEDGERADO;NUMBER;22
CONSINCO;MACX_IMPABASTECIMENTO;NROPEDORIGEM;VARCHAR2;30
CONSINCO;MACX_IMPITEMLOTECOMPRA;NROPEDIDOORIGEM;NUMBER;22
CONSINCO;MACX_PEDABASTEC;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MAC_AUXGERCOMPRASUGESTAO;DTAHORAPEDIDO;DATE;7
CONSINCO;MAC_CCLIMCOMPRA;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MAC_CCLIMCOMPRALOG;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MAC_CCLIMCOMPRAREG;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MAC_CENTRALPRODINCONSIST;SETORPEDIDO;VARCHAR2;12
CONSINCO;MAC_CUSTOFORNECLOG;ALTERAPCOVALIDRECEBTO;VARCHAR2;1
CONSINCO;MAC_CUSTOFORNECLOG;NROEMPRESAPEDIDO;NUMBER;22
CONSINCO;MAC_GERCOMPRA;ADVRECEBIMENTO;VARCHAR2;240
CONSINCO;MAC_GERCOMPRA;CONSIDERASLDPENDARECEBERPEXTRA;VARCHAR2;1
CONSINCO;MAC_GERCOMPRA;DTAGERPEDIDO;DATE;7
CONSINCO;MAC_GERCOMPRA;DTALIMITERECEBTO;DATE;7
CONSINCO;MAC_GERCOMPRA;INDCONSIDERASLDPENDARECEBER;VARCHAR2;1
CONSINCO;MAC_GERCOMPRA;INDCONSSLDPENDARECEBERLOJA;VARCHAR2;1
CONSINCO;MAC_GERCOMPRA;INDEMPPEDIDOFORMAABASTEC;VARCHAR2;1
CONSINCO;MAC_GERCOMPRA;INDQTDDTARECEBDIFITEM;VARCHAR2;1
CONSINCO;MAC_GERCOMPRA;INDTIPDTARECEBDIF;VARCHAR2;1
CONSINCO;MAC_GERCOMPRA;SETORPEDIDO;VARCHAR2;12
CONSINCO;MAC_GERCOMPRA;TIPOLIMRECEBTOEM;VARCHAR2;60
CONSINCO;MAC_GERCOMPRA;TIPORECEBTOEM;VARCHAR2;60
CONSINCO;MAC_GERCOMPRA;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MAC_GERCOMPRA;USUGERPEDIDO;VARCHAR2;12
CONSINCO;MAC_GERCOMPRAEMPREGIAO;VLRTOTPEDIDO;NUMBER;22
CONSINCO;MAC_GERCOMPRAFORN;DTARECEBIMENTO;DATE;7
CONSINCO;MAC_GERCOMPRAFORN;QTDDIASLIMRECEB;NUMBER;22
CONSINCO;MAC_GERCOMPRAFORN;QTDDIASRECEB;NUMBER;22
CONSINCO;MAC_GERCOMPRAITEM;DTARECEBPEDIDO;DATE;7
CONSINCO;MAC_GERCOMPRAITEM;INDQTDDTARECEBDIFITEM;VARCHAR2;1
CONSINCO;MAC_GERCOMPRAITEM;NROEMPRESAPEDIDO;NUMBER;22
CONSINCO;MAC_GERCOMPRAITEM;NROPEDIDOORIGEMMACX;NUMBER;22
CONSINCO;MAC_GERCOMPRAITEM;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MAC_GERCOMPRAITEM;PROXDTARECEBTO;DATE;7
CONSINCO;MAC_GERCOMPRAITEM;QTDRESERVADARECEB;NUMBER;22
CONSINCO;MAC_GERCOMPRAITEM;SETORPEDIDO;VARCHAR2;12
CONSINCO;MAC_GERCOMPRAITEMPED;DTALIMRECEBTO;DATE;7
CONSINCO;MAC_GERCOMPRAITEMPED;NROPEDIDO;NUMBER;22
CONSINCO;MAC_GERCOMPRAPED;DTARECEBIMENTO;DATE;7
CONSINCO;MAC_GERCOMPRAPED;NROPEDIDO;NUMBER;22
CONSINCO;MAC_GERCOMPRAPREEXP;SEQPREPEDIDO;NUMBER;22
CONSINCO;MAC_GERCOMPRAPREPED;DTARECEBTO;DATE;7
CONSINCO;MAC_GERCOMPRAPREPED;SEQPREPEDIDO;NUMBER;22
CONSINCO;MAC_GERCOMPRAPREPED;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MAC_GERCOMPRAPREREC;DTARECEBIMENTO;DATE;7
CONSINCO;MAC_GERCOMPRAPREREC;SEQPREPEDIDO;NUMBER;22
CONSINCO;MAC_GERCOMPRARECEBTO;DTALIMRECEBTO;DATE;7
CONSINCO;MAC_GERCOMPRARECEBTO;PERRECEBTO;NUMBER;22
CONSINCO;MAC_GERENCOMENDA;DTAPEDIDO;DATE;7
CONSINCO;MAC_INCONSLIMCOMPRA;VLRPEDIDO;NUMBER;22
CONSINCO;MAC_LIMITEFLUXOLOG;VLRTOTPEDIDO;NUMBER;22
CONSINCO;MAC_MEMCALCVALOR;QTDPENDRECEBCORTE;NUMBER;22
CONSINCO;MAC_MEMCALCVALOR;QTDPENDRECEBER;NUMBER;22
CONSINCO;MAC_MOB_COMPRAITENSH;NROPEDCOMPRA;NUMBER;22
CONSINCO;MAC_PARAMLIMCOMPRA;PDDTAVENCTOPEDIDO;DATE;7
CONSINCO;MAC_PEDTRANSF;NROCARGARECEB;NUMBER;22
CONSINCO;MAC_PEDTRANSF;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MAC_PEDTRANSF;NROPEDVENDA;NUMBER;22
CONSINCO;MAC_PEDTRANSF_LOG;NROCARGARECEB;NUMBER;22
CONSINCO;MAC_PEDTRANSF_LOG;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MAC_PEDTRANSF_LOG;NROPEDVENDA;NUMBER;22
CONSINCO;MAC_PRODUTOEMPRESARECEBER;SEQPRODUTOEMPRESARECEBER;NUMBER;22
CONSINCO;MAC_TMP_MOB_COMPRAITENS;NROPEDCOMPRA;NUMBER;22
CONSINCO;MADVEDI_DAG;ID_PEDIDOSUPRIM;ROWID;10
CONSINCO;MADVEDI_DAG;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MADVEDI_DANONE01;NUMEROPEDIDO;VARCHAR2;15
CONSINCO;MADVEDI_DANONE01;RAZAOPEDIDO;VARCHAR2;3
CONSINCO;MADVEDI_DANONE01;SISTEMAPEDIDO;VARCHAR2;5
CONSINCO;MADVEDI_DANONE02;NUMEROPEDIDO;VARCHAR2;15
CONSINCO;MADVEDI_DANONE03;NUMEROPEDIDO;VARCHAR2;15
CONSINCO;MADVEDI_DANONE04;NUMEROPEDIDO;VARCHAR2;15
CONSINCO;MADVEDI_DANONE05;NUMEROPEDIDO;VARCHAR2;15
CONSINCO;MADVEDI_DANONE09;NUMEROPEDIDO;VARCHAR2;15
CONSINCO;MADVEDI_DANONE09;VLRTOTPEDIDO;VARCHAR2;17
CONSINCO;MADVEDI_DANONE11;NUMEROPEDIDO;VARCHAR2;15
CONSINCO;MADVEDI_MERCADOR_ORDER;ID_PEDIDOSUPRIM;ROWID;10
CONSINCO;MADVEDI_MERCADOR_ORDER;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MADV_AJUSTEEMBALAGEM;ORIGEMPEDIDO;VARCHAR2;1
CONSINCO;MADV_APIPEDVENDA;NRO_PEDIDO_AFV;NUMBER;22
CONSINCO;MADV_APIPEDVENDA;NRO_PEDIDO_VENDA;NUMBER;22
CONSINCO;MADV_APIPEDVENDA;ORIGEM_PEDIDO;VARCHAR2;1
CONSINCO;MADV_APIPEDVENDA;SITUACAO_PEDIDO;VARCHAR2;1
CONSINCO;MADV_APISITPEDVENDA;NRO_PEDIDO_AFV;NUMBER;22
CONSINCO;MADV_APISITPEDVENDA;NRO_PEDIDO_VENDA;NUMBER;22
CONSINCO;MADV_APISITPEDVENDA;NUMERO_EMPRESA_PEDIDO;NUMBER;22
CONSINCO;MADV_APISITPEDVENDA;OBSERVACOES_PEDIDO;VARCHAR2;240
CONSINCO;MADV_APISITPEDVENDA;ORIGEM_PEDIDO;VARCHAR2;1
CONSINCO;MADV_APISITPEDVENDA;PEDIDO_ID;VARCHAR2;50
CONSINCO;MADV_APISITPEDVENDA;SITUACAO_PEDIDO;VARCHAR2;1
CONSINCO;MADV_APISITPEDVENDA;TIPO_PEDIDO;VARCHAR2;1
CONSINCO;MADV_APISITPEDVENDANOTA;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_AVALIAPEDVENDA;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEANALISECRED;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEANALISECRED;OBSPEDIDO;VARCHAR2;240
CONSINCO;MADV_BASEANALISECRED;VLRPEDIDO;NUMBER;22
CONSINCO;MADV_BASEANALISEROTA;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEANALISEROTA;ROWID_PEDIDO;ROWID;10
CONSINCO;MADV_BASECARGADIVERGAVARIA;NROCARGARECEB;NUMBER;22
CONSINCO;MADV_BASECARGADIVERGAVARIA;QTDRECEBIDA;NUMBER;22
CONSINCO;MADV_BASEEDIDOCTO;NROPEDIDO;NUMBER;22
CONSINCO;MADV_BASEEDIITEM;NROPEDIDO;NUMBER;22
CONSINCO;MADV_BASEFATURAMENTO;NROEMPRESAPEDIDO;NUMBER;22
CONSINCO;MADV_BASEFATURAMENTO;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEFATURAMENTO;ORIGEMPEDIDO;VARCHAR2;1
CONSINCO;MADV_BASEFATURAMENTO;ORIGEMPEDIDOMAX;VARCHAR2;1
CONSINCO;MADV_BASEFATURAMENTOHC;NROEMPRESAPEDIDO;NUMBER;22
CONSINCO;MADV_BASEFATURAMENTOHC;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEFATURAMENTOHC;ORIGEMPEDIDO;VARCHAR2;1
CONSINCO;MADV_BASEFATURAMENTOREMMERC;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEFATURAMENTOREMMERC;ORIGEMPEDIDO;VARCHAR2;1
CONSINCO;MADV_BASEFLEXITEMPED;NROPEDVENDA;VARCHAR2;0
CONSINCO;MADV_BASEPEDVENDAIND;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEQUEBRANFPEDIDO;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASERESUMOCARGA;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASERESUMOCARGA;PESOBRUTOPEDIDO;NUMBER;22
CONSINCO;MADV_BASERESUMOCARGA;ROWID_PEDIDO;ROWID;10
CONSINCO;MADV_BASERESUMOCARGA;VOLUMEPEDIDO;NUMBER;22
CONSINCO;MADV_BASEROTERIZADORPED;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEROTERIZADORTRUCKNOVA;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEROTPEDIDO;INDCRITICAPEDIDO;VARCHAR2;1
CONSINCO;MADV_BASEROTPEDIDO;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASEROTPEDIDO;ROWID_PEDIDO;ROWID;10
CONSINCO;MADV_BASESEPARAPEDIDO;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_BASESEPARAPEDIDO;ROWID_PEDIDO;ROWID;10
CONSINCO;MADV_CARGADIVERGAUTO;NROCARGARECEB;NUMBER;22
CONSINCO;MADV_CARGADIVERGAUTO;TIPPEDIDOCOMPRA;VARCHAR2;1
CONSINCO;MADV_CARGADIVERGAVARFORNNFREF;NROCARGARECEBDEVOL;NUMBER;22
CONSINCO;MADV_CARGADIVERGAVARIA;NROCARGARECEB;NUMBER;22
CONSINCO;MADV_CARGADIVERGAVARIAFORNEC;NROCARGARECEBDEVOL;NUMBER;22
CONSINCO;MADV_CARGADIVERGAVARIANFREF;NROCARGARECEB;NUMBER;22
CONSINCO;MADV_CARGADIVERGENCIA;NROCARGARECEB;NUMBER;22
CONSINCO;MADV_CARGADIVERGENCIA;TIPPEDIDOCOMPRA;VARCHAR2;1
CONSINCO;MADV_CARGADIVERGENCIANFREF;NROCARGARECEB;NUMBER;22
CONSINCO;MADV_CARGADIVERGENCIANFREF;TIPPEDIDOCOMPRA;VARCHAR2;1
CONSINCO;MADV_CARGADIVERGFORNEC;NROCARGARECEBDEVOL;NUMBER;22
CONSINCO;MADV_CARGADIVERGFORNECNFREF;NROCARGARECEBDEVOL;NUMBER;22
CONSINCO;MADV_CARGADIVERGNF;NROCARGARECEB;NUMBER;22
CONSINCO;MADV_CARGADIVERGNF;TIPPEDIDOCOMPRA;VARCHAR2;1
CONSINCO;MADV_CARGARECEBPEDTRANSF;NROCARGARECEB;NUMBER;22
CONSINCO;MADV_CLIENTEREPAGENDA;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_CLIENTEREPAGENDA;ORIGEMPEDIDO;VARCHAR2;1
CONSINCO;MADV_COLETAPEDIDOS;NUMEROPEDIDOCLIENTE;VARCHAR2;32
CONSINCO;MADV_COMPOSICAORESERVASELINV;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_COMPOSICAORESERVAVDA;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_CONFEREFATITEM;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_CONSULTAPEDVENDA;DESCCRITICAPEDIDO;VARCHAR2;18
CONSINCO;MADV_CONSULTAPEDVENDA;DESCORIGEMPEDIDO;VARCHAR2;13
CONSINCO;MADV_CONSULTAPEDVENDA;DESCTIPPEDIDO;VARCHAR2;16
CONSINCO;MADV_CONSULTAPEDVENDA;INDCRITICAPEDIDO;VARCHAR2;1
CONSINCO;MADV_CONSULTAPEDVENDA;NROPEDCLIENTE;VARCHAR2;60
CONSINCO;MADV_CONSULTAPEDVENDA;NROPEDIDOAFV;NUMBER;22
CONSINCO;MADV_CONSULTAPEDVENDA;NROPEDVENDA;NUMBER;22
CONSINCO;MADV_CONSULTAPEDVENDA;NROPEDVENDABASE;NUMBER;22
CONSINCO;MADV_CONSULTAPEDVENDA;NROPEDVENDAORIGEM;NUMBER;22
CONSINCO;MADV_CONSULTAPEDVENDA;OBSPEDIDO;VARCHAR2;240
CONSINCO;MADV_CONSULTAPEDVENDA;ORIGEMPEDIDO;VARCHAR2;1
CONSINCO;MADV_CONSULTAPEDVENDA;ROWIDPEDIDO;ROWID;10
CONSINCO;MADV_CONSULTAPEDVENDA;TIPPEDIDO;VARCHAR2;1
CONSINCO;MADV_CONSULTAPEDVENDA;TOTALPESOBRUTOPEDIDO;NUMBER;22
