DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMPRESA;STATUS;EMBL_TRANSFERENCIA;ESTOQUE;PEDIDOS_PENDENTES;ESTOQUE_MINIMO;DATA_CADASTRO_PRODUTO;DIAS_DESDE_CADASTRO
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;18;ATIVO;6;0;0;6;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;50;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;1;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;2;ATIVO;6;0;0;6;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;3;ATIVO;6;0;0;6;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;4;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;5;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;6;ATIVO;6;0;0;6;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;7;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;8;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;11;ATIVO;6;0;0;6;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;12;ATIVO;6;0;0;6;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;13;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;14;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;15;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;16;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;17;ATIVO;6;0;0;6;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;18;ATIVO;6;0;0;6;29/04/2026;15
MERCEARIA;38270;ALHO PICADO SABOR CASEIRO 1 01KG;50;ATIVO;6;0;0;0;29/04/2026;15
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;2;ATIVO;18;-2;0;18;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;3;ATIVO;18;0;0;36;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;6;ATIVO;18;0;0;18;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;8;ATIVO;18;0;0;18;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;11;ATIVO;18;18;18;18;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;12;ATIVO;18;0;0;18;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;13;ATIVO;18;0;0;18;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;14;ATIVO;18;0;0;18;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;15;ATIVO;18;0;0;0;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;17;ATIVO;18;0;0;18;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;18;ATIVO;18;0;0;18;16/04/2026;28
MERCEARIA;38141;AVEIA FLOCOS NESTLE 450G;50;ATIVO;18;0;0;0;16/04/2026;28
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;1;ATIVO;1;0;0;0;20/04/2026;24
MERCEARIA;38172;BALA STICK BRUXOLITA Q PINTA 12 3G;2;ATIVO;1;0;0;0;20/04/2026;24
