DEPARTAMENTO;SECAO;GRUPO;SUBGRUPO;NIVEL5;NIVEL6;COMPRADOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS;MARGEM_OBJETIVA
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;60;AGUA GASEIFICADA CRYSTAL PET 510ML LIMAO;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;62;AGUA GASEIFICADA CRYSTAL PET 510ML MELANCIA;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;57;AGUA GASEIFICADA CRYSTAL PET 510ML SPARK;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;6828;AGUA SABORIZ H2OH 500ML LIMONETO;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;14;AGUA SABORIZ H2OH PET 1 5L LIMAO;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;15;AGUA SABORIZ H2OH PET 1 5L LIMONETO;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;25574;AGUA SABORIZ H2OH PET 500ML CITRUS;I;23
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;78;AGUA SABORIZ H2OH PET 500ML LIMAO;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;32707;SODA SARANDI LT 350ML LIM GENG CAN;I;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;24421;SODA SARANDI LT 350ML MACA VERDE;I;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;24422;SODA SARANDI LT 350ML MOR LIM HORT;I;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;81;AGUA TONICA ANTARCTICA LT 350ML;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;80;AGUA TONICA ANTARCTICA LT 350ML ZR;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;83;AGUA TONICA ANTARCTICA PET 1L ZR;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;82;AGUA TONICA ANTARTICA PET 1L;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;84;AGUA TONICA FRUKI LT 350ML;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;18;AGUA TONICA FRUKI PET 1 5L;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;3955;AGUA TONICA FYS LT 350ML;A;18
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;12294;AGUA TONICA QUININO 1 5L ZERO;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;12295;AGUA TONICA QUININO 350ML ZERO;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;88;AGUA TONICA SARANDI LT 350ML;A;19
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;871;AGUA TONICA SCHWEPPES LT 350ML;A;18
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA TONICA;;NICOLAS;90;AGUA TONICA SCHWEPPES LT 350ML SA;A;20
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;333;BEB ADES SEEDS TP 1L AMENDOAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;331;BEB ADES SEEDS TP 1L AMENDOAS BAU;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;332;BEB ADES SEEDS TP 1L AMENDOAS SA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;334;BEB ADES SEEDS TP 1L COCO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;319;BEB ADES TP 1L ABACAXI;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;320;BEB ADES TP 1L LARANJA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;321;BEB ADES TP 1L MACA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;322;BEB ADES TP 1L PESSEGO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;323;BEB ADES TP 1L SOJA;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA;;NICOLAS;325;BEB ADES TP 1L UVA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA 200ML;;NICOLAS;327;BEB ADES TP 200ML ABACAXI;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA 200ML;;NICOLAS;329;BEB ADES TP 200ML LARANJA;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA 200ML;;NICOLAS;326;BEB ADES TP 200ML MACA;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA 200ML;;NICOLAS;328;BEB ADES TP 200ML PESSEGO;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS BASE SOJA 200ML;;NICOLAS;330;BEB ADES TP 200ML UVA;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;342;CHA BRAZO VD 350ML FTA VRM C LIMAO;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;343;CHA BRAZO VD 350ML HIBISCO PESSEGO;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;344;CHA BRAZO VD 350ML MATE C LIMAO;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;346;CHA BRAZO VD 350ML VRD C TANGERINA;A;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;336;CHA ICE TEA LEAO PET 1 5L LIMAO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;337;CHA ICE TEA LEAO PET 1 5L LIMAO ZERO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;339;CHA ICE TEA LEAO PET 1 5L PESSEGO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;340;CHA ICE TEA LEAO PET 1 5L PESSEGO ZERO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;348;CHA ICE TEA LEAO PET 450ML LIMAO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;3873;CHA ICE TEA LEAO PET 450ML LIMAO ZERO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;349;CHA ICE TEA LEAO PET 450ML PESSEGO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;3869;CHA ICE TEA LEAO PET 450ML PESSEGO ZERO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;353;CHA MATTE LEAO CP 300ML GUARANA C ACAI;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;357;CHA MATTE LEAO PET 1 5L LIMAO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;358;CHA MATTE LEAO PET 1 5L NATURAL;A;0
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;354;CHA MATTE LEAO PET 450ML GUARANA C ACAI;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;360;CHA VERDE LEAO PET 1 5L LIMAO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;BEBIDAS, CHAS E XAROPES;;NICOLAS;355;CHA VERDE LEAO PET 450ML LIMAO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;GELADINHO;;MODELO;36235;GELADINHO AMERICANO C 10 ZERO ACUCAR;I;28
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;GELADINHO;;NICOLAS;3836;GELADINHO AMERICANO C 40;A;28
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;GELADINHO;;NICOLAS;577;GELADINHO MANIA;A;28
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA;;NICOLAS;634;SUCO DEL VALLE LT 290ML MANGA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA;;NICOLAS;635;SUCO DEL VALLE LT 290ML MARACUJA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA;;NICOLAS;637;SUCO DEL VALLE LT 290ML PESSEGO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA;;NICOLAS;639;SUCO DEL VALLE LT 290ML UVA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA;;NICOLAS;24493;SUCO DEL VALLE UVA VD 300ML;I;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA;;MODELO;32745;SUCO THOPHY 1 5L LAR;I;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA;;MODELO;32746;SUCO THOPHY 1 5L LIMONADA;I;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA;;MODELO;32747;SUCO THOPHY 1 5L UVA;I;26
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET GRANDE;;NICOLAS;382;BEB MISTA TAMPICO PET 2L FRUTAS CITRICAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET GRANDE;;NICOLAS;368;REFRE FRUKITO PET 2L FRUTAS CITRICAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET GRANDE;;NICOLAS;369;REFRE FRUKITO PET 2L LIMAO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET GRANDE;;NICOLAS;371;REFRE FRUKITO PET 2L UVA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET GRANDE;;NICOLAS;643;SUCO DEL VALLE FRUT PET 1 5L FRUTAS CITRICAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET GRANDE;;NICOLAS;645;SUCO DEL VALLE FRUT PET 1 5L LARANJA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET GRANDE;;NICOLAS;3868;SUCO DEL VALLE FRUT PET 1 5L LIMAO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET GRANDE;;NICOLAS;646;SUCO DEL VALLE FRUT PET 1 5L UVA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;384;BEB MISTA TAMPICO PET 450ML FRUTAS CITRICAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;378;REFRE FRUKITO PET 200ML FRUTAS CITRICAS;A;30
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;379;REFRE FRUKITO PET 200ML LIMAO;A;30
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;715;REFRE FRUKITO PET 200ML UVA;A;30
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;373;REFRE FRUKITO PET 500ML FRUTAS CITRICAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;375;REFRE FRUKITO PET 500ML LIMAO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;376;REFRE FRUKITO PET 500ML UVA;I;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;641;SUCO DEL VALLE FRESH PET 250ML LIMAO;I;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;621;SUCO DEL VALLE FRUT PET 450ML CITRUS;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;8523;SUCO DEL VALLE FRUT PET 450ML LARANJA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;624;SUCO DEL VALLE FRUT PET 450ML UVA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;684;SUCO MAGUARY CONCENTRADO PET 500ML MARACUJA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;8530;SUCO SKINKA 450ML FRUTAS CITRICAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;8531;SUCO SKINKA 450ML FRUTAS VERMELHA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA PET PEQUENO;;NICOLAS;8532;SUCO SKINKA 450ML UVA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;33871;REFRE HAPPY TP 200ML ABACAXI;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;33869;REFRE HAPPY TP 200ML LARANJA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;33870;REFRE HAPPY TP 200ML MORANGO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;33872;REFRE HAPPY TP 200ML PESSEGO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;33868;REFRE HAPPY TP 200ML UVA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;24484;SUCO CBS 200ML PESSEGO MISTO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;589;SUCO COM TEM TP 200ML LARANJA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;590;SUCO COM TEM TP 200ML MACA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;592;SUCO COM TEM TP 200ML UVA E MACA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;618;SUCO DEL VALLE 100PC INT TP 200ML MACA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;615;SUCO DEL VALLE TP 200ML PESSEGO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;619;SUCO DEL VALLE TP 200ML UVA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;659;SUCO KAPO TP 200ML ABACAXI;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;660;SUCO KAPO TP 200ML FRUTAS CITRICAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;661;SUCO KAPO TP 200ML LARANJA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;662;SUCO KAPO TP 200ML MACA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;34951;SUCO KAPO TP 200ML MELANCIA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;663;SUCO KAPO TP 200ML MORANGO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;664;SUCO KAPO TP 200ML UVA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;698;SUCO NECTAR CBS TP 200ML ABACAXI;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;700;SUCO NECTAR CBS TP 200ML LARANJA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;701;SUCO NECTAR CBS TP 200ML MANGA;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;702;SUCO NECTAR CBS TP 200ML MORANGO;A;24
BEBIDAS;BEBIDA;BEBIDAS;BEBIDAS E SUCOS;SUCO DE FRUTA TP 200ML;;NICOLAS;703;SUCO NECTAR CBS TP 200ML UVA;A;24
