LOJA;DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;CUSTO_BRUTO;CUSTO_LIQUIDO;CODIGO_TRANSICAO
15;A CLASSIFICAR;35840;CONS CARTAZ A5V OFERTA;A;0;0;1000104
15;A CLASSIFICAR;35842;CONS CARTAZ A6H APROVEITE;A;0;0;1000110
15;A CLASSIFICAR;35898;CONS CARTAZ A6H LANCAMENTO;A;0;0;1000084
15;A CLASSIFICAR;35849;CONS CARTAZ A6H OFERTA;A;0;0;1000111
15;A CLASSIFICAR;35852;CONS CARTAZ A6V OFERTA;A;0;0;1000091
15;A CLASSIFICAR;30079;CONS CARTAZ BARBIE SAPATILHAS MAGICAS;A;0;0;3306062
15;A CLASSIFICAR;35854;CONS CARTAZ CLUBE MAIS PROD PARTIC;A;0;0;1005383
15;A CLASSIFICAR;35911;CONS CARTAZ SUPER A3V APROVEITE;A;0;0;1000181
15;A CLASSIFICAR;36641;CONS CARTAZ SUPER A3V OFERTA;A;0;0;1000180
15;A CLASSIFICAR;35920;CONS CLIPS GRANDE N8;A;0;0;0019841
15;A CLASSIFICAR;35924;CONS CLIPS PEQUENO N 2;A;0;0;0017332
15;A CLASSIFICAR;35927;CONS COLETE DE SINALIZACAO REFLETIV;A;0;0;1016472
15;A CLASSIFICAR;35929;CONS COLETE REFLET SINALIZACAO TAM;A;0;0;1016473
15;A CLASSIFICAR;35931;CONS COLETE TERMICO TAM G;A;0;0;1016485
15;A CLASSIFICAR;35933;CONS COLETE TERMICO TAM GG;A;0;0;1016486
15;A CLASSIFICAR;35935;CONS COPO ISOPOR 180ML;A;0;0;0002790
15;A CLASSIFICAR;33909;CONS COPO TANG 400ML;A;0;0;1023848
15;A CLASSIFICAR;37565;CONS CORANTE VERMELHO;A;0;0;7899637
15;A CLASSIFICAR;35937;CONS CORRETIVO LIQ;A;0;0;0048731
15;A CLASSIFICAR;30080;CONS CUBO BARBIE SAPATILHAS MAGICAS;A;0;0;3306055
15;A CLASSIFICAR;16502;CONS CUBO ENGREN FERRO;A;0;0;1019499
15;A CLASSIFICAR;37284;CONS DESINF PRO 30 48 Q AMONIO 5L;A;0;0;7899816
