DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;DATA_CADASTRO_PRODUTO
PERECIVEIS;SANDRO MARTINS VIANNA;1;13598;BOL NUTRELLA ANA MARIA 45G COB PAO MEL;Ativo;1;1;43;752;10;0;0;20/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;11637;BOLACHA FOLHADA MARQUESPAN KG;Ativo;1;1;,267;0;61,93;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;37595;BOLINHA 4 QUEIJOS SPECIATTA KG;Ativo;1;1;0;0;0;0;0;18/03/2026
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;37594;BOLINHA CALABRESA SPECIATTA KG;Ativo;1;1;0;0;0;0;0;18/03/2026
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;37593;BOLINHA CHEDDAR SPECIATTA KG;Ativo;1;1;0;0;0;0;0;18/03/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;8922;BOLO ANA MARIA 35G CHOCO;Ativo;1;1;-6;768;29;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;8924;BOLO ANA MARIA 35G GOTAS CHOCO;Ativo;1;1;4;752;33;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;8925;BOLO ANA MARIA BAUNILHA 70G;Ativo;1;1;1;90;1;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;8926;BOLO ANA MARIA CENOURA CHOCO 35G;Ativo;1;1;-8;752;4;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4471;BOLO NUTRELLA 42G ANA MARIA COB CHOCOLATE;Ativo;1;1;17;736;34;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4472;BOLO NUTRELLA 42G ANA MARIA COB NAPOLITANO;Ativo;1;1;22;752;28;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13596;BOLO NUTRELLA ANA MARIA 35G BAUNILHA;Ativo;1;1;29;752;23;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;33672;BOLO NUTRELLA ANA MARIA 70G BANOFFE;Ativo;1;1;-3;88;1;0;0;18/08/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4473;BOLO NUTRELLA ANA MARIA 70G CHOC TRAD;Ativo;1;1;7;84;3;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4474;BOLO NUTRELLA ANA MARIA 70G GOTAS CHOC;Ativo;1;1;8;83;9;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;33512;BOLO NUTRELLA ANA MARIA 70G MOR;Ativo;1;1;6;83;5;0;0;09/08/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;33610;BOLO NUTRELLA ANA MARIA 70G TRIPLO CHOC;Ativo;1;1;4;84;7;0;0;14/08/2025
