CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR;COMPRADOR;PRAZO_PAGAMENTO_CADASTRO;PRAZO_MEDIO_ENTREGA_DIAS;FORMA_PAGAMENTO;FORMA_DEVOLUCAO;CONDICAO_DEVOLUCAO
14337;BELA FLOR-IND.COM.DE FUMOS LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
5766;BELINLAR PRODUTOS DE BELEZA LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
7870;BENJA SELECIONADOS LTDA;LAURINDO BISCUBI RAMOS;40;3;Faturamento;BOLETO;30 DIAS
14468;BERTOLINI INDUSTRIA QUIMICA LTDA;JOAO BATISTA;45/60;5;Faturamento;BOLETO;30 DIAS
10844;BETTANIN INDL SA;JOAO BATISTA;35;5;Faturamento;BOLETO;30 DIAS
4751;BIGNARDI IND COM PAP ARTEF LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
16990;BIGUA ALIMENTOS IND E COMLTDA;NIDAL TUBASI;35;15;Faturamento;BOLETO;30 DIAS
9537;BLESSED PRODUTOS POPULARES LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
10115;BOAS NOVAS COSMETICOS E ALIMENTOS LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
10115;BOAS NOVAS COSMETICOS E ALIMENTOS LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
12034;BONELLA E SIQUEIRA LTDA;NICOLAS AUGUSTO P. BORGES;10;5;Faturamento;;
11433;BORGES COM.DE FRUTAS E TRANSPORTES LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
12150;BRASMART INDUSTRIA DO VESTUARIO LTDA;NJOUD HASSAN ZITAWI;30;15;Faturamento;BOLETO;30 DIAS
6031;BRAZILIAN PET FOODS S/A;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
17072;BRDECOR COM E IMP DE ARTIGOS FESTA;NJOUD HASSAN ZITAWI;30;15;Faturamento;BOLETO;30 DIAS
2996;BRF S.A;SANDRO MARTINS VIANNA;30;10;Faturamento;;
12167;BRF S.A;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
2995;BRF S.A.;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
22408;BRF S.A.;SANDRO MARTINS VIANNA;30;15;Faturamento;;
