ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_NOMINAL;VALOR_PAGO;VALOR_PROJETADO
1-TITULO_REAL;16;342362/1-1;;3638;FRIBOI LTDA.;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;105726,22;105726,22;0
1-TITULO_REAL;16;342363/1-1;;3638;FRIBOI LTDA.;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;428147,46;428147,46;0
1-TITULO_REAL;15;96534/1-1;;6158;GASPARIN CEREAIS LTDA ME;NIDAL;03/06/2026;;28;1;01/07/2026;FATURADO;73840;73840;0
1-TITULO_REAL;15;211402/1-1;;3076;GOIASMINAS INDUSTRIA DE LATICINIOS LTDA;WERTER;27/05/2026;;35;1;01/07/2026;FATURADO;64378,8;64378,8;0
1-TITULO_REAL;7;10478/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;8358;8358;0
1-TITULO_REAL;18;10482/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;20260;20260;0
1-TITULO_REAL;13;10479/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;14100;14100;0
1-TITULO_REAL;6;10477/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;9544;9544;0
1-TITULO_REAL;17;10481/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;25572;25572;0
1-TITULO_REAL;5;10476/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;5916;5916;0
1-TITULO_REAL;14;10480/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;31/05/2026;;31;1;01/07/2026;FATURADO;6656;6656;0
1-TITULO_REAL;1;10520/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;900;900;0
1-TITULO_REAL;3;10522/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;13746;13746;0
1-TITULO_REAL;11;10528/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;32428;32428;0
1-TITULO_REAL;14;10531/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;7752;7752;0
1-TITULO_REAL;7;10526/2-1;;7477;GRANJA AVICOLA PETRY LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;7272;7272;0
