DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;35168;KIT PROT SOL CENOU BRONZ 50G F30 F30;Ativo;6;6;18;0;0;6;12
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;36526;KIT PROTETOR SOLAR FPS 30 POS SOL;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;24366;KIT SH CD COTTONBABY SNOOPY 200ML GOTAS CAMOMILA;Ativo;6;6;11;0;2;6;12
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19828;KIT SH CD COTTONBABY SNOOPY 200ML TOQUE ALGODAO;Ativo;6;6;11;0;7;6;12
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;33887;KIT SH CD DOVE 350ML 175ML AMINOACIDO;Ativo;8;8;0;0;0;8;16
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;33886;KIT SH CD DOVE 350ML 175ML BOND;Ativo;8;8;16;0;16;8;16
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;33889;KIT SH CD DOVE 350ML 175ML HIALURON VIT;Ativo;8;8;0;0;0;8;16
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;33890;KIT SH CD DOVE 350ML 175ML NUTRICAO;Ativo;8;8;19;0;37;8;16
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;33888;KIT SH CD DOVE 350ML 175ML RECOSTRUCAO;Ativo;8;8;0;0;0;8;16
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;33891;KIT SH CD DOVE 350ML 175ML RITUAL REPARACA;Ativo;8;8;0;0;0;8;16
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19792;KIT SH CD NEUTROX 300ML 200ML MAR PISC;Ativo;12;12;0;0;0;10;22
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19791;KIT SH CD NEUTROX 300ML 200ML CLASSICO;Ativo;12;12;7;12;39;10;22
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;35758;KIT SH CD NIELY GOLD 275 175ML RECONSTRUCAO;Ativo;12;12;0;12;29;10;22
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19794;KIT SH CD NIELY GOLD 275 175ML SALVA F;Ativo;12;12;4;0;9;12;24
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19797;KIT SH CD NOVEX 300ML CICATRIZADOR FIOS;Ativo;12;12;99;0;24;10;22
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19799;KIT SH CD NOVEX 300ML OLEO ARGAN;Ativo;12;12;120;0;11;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19800;KIT SH CD NOVEX 300ML SUPER BABOSAO;Ativo;12;12;160;0;6;12;24
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;33651;KIT SH CD NOVEX 300ML RITUAL DORAMA;Ativo;12;12;95;0;1;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19802;KIT SH CD PANTENE 300 150ML COLAGENO;Ativo;6;6;6;0;60;24;30
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19804;KIT SH CD PANTENE 300 150ML QUERATINA;Ativo;6;6;5;30;6;12;18
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;35113;KIT SH CD PANTENE 300 150ML BOND REPAIR;Ativo;6;6;0;30;0;6;12
