DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;ESTOQUE_ATUAL
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17808;ESC DENT CONDOR MAXIL MEDIA 3258 1;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17810;ESC DENT CONDOR PLUS D.ACAO 3373-4;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17811;ESC DENT CONDOR PLUS MEDIA 3373-1;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17812;ESC DENT CONDOR PLUS SOFT 3373-0;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17813;ESC DENT CONDOR PROM L2P1 R 8030 0;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5842;ESC DENTAL ORAL-B COMPL LV2 PG1;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17829;ESC LIMPEZA PLAST C DISP 7 5X6X8 0C;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17830;ESC LIMPEZA PLASTIVO M USO;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17848;ESC P/MAMADEIRA WELLMIX C/2 WX233;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17855;ESC PROF THERMAL CERAMIC ORANGE 55MM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17856;ESC PROF THERMAL CERAMIC ORANGE 65MM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17866;ESC SANIT PLAST C/SUPORTE 33X10CM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17870;ESC SANITARIA PLAST BCA 10X35CM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;33446;ESCOVA P MAMADEIRA C SUPORTE ROSA;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;33759;ESCOVA P MAMADEIRA CABO PLASTICO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18178;ESP ANTIADER AIR FRYER C 2;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18199;ESP CONDOR LIMPEZA PESADA C 3;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;18202;ESP DUPLA FACE BAN BONITTA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18226;ESP P BAN CONDOR INF BEBE R 8305;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18225;ESP P/BAN CONDOR BASICA L3P2 R8301;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;18227;ESP P/BAN FLORENCE 583 BT;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;18233;ESP P/MAQUIAGEM 6X4X4CM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;18234;ESP P/MAQUIAGEM C/3 PC 4X3CM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;18245;ESPANADOR MICROFIBRA 50X6CM;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18246;ESPARADRAPO CRR 2 5MX4 5M;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;6021;ESPUMA BARBA BOZZANO 193G HIDRATACAO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;6022;ESPUMA BARBA BOZZANO 193G PELE SENSIVEL;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;6023;ESPUMA BARBA BOZZANO 193G REFRESC;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;35843;ESTOJO DENTAL;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18526;FIO DENTAL CONDOR MENTA ESP 25M R 3406;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;9512;FIO DENTAL CONDOR MENTA L50P25 3416;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;9511;FIO DENTAL JOHNSON EXP PLUS 50M MENTA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18566;FLANELA ALG SUE 40X50CM;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18592;FLUTUADOR MARGARIDA BEL PISCS;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;6116;FRALDA BAS SUP NOVA PAMPERS G 26UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;6117;FRALDA BAS SUP NOVA PAMPERS M 30UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;6118;FRALDA BAS SUP NOVA PAMPERS P 34UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;6119;FRALDA BAS SUP NOVA PAMPERS XG 22UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;6120;FRALDA BAS SUP NOVA PAMPERS XXG 20UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;35586;FRALDA DESC HUGGIES MEGUINHA M 36;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;35589;FRALDA DESC HUGGIES MEGUINHA P 38;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18790;FRALDA DESC T FILHOTES MEGA C 56 P;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;18800;FRALDA GERIATRICA BIGFRAL CLASS C 7 XG;A;1;1;0
