DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERECIVEIS;SANDRO MARTINS VIANNA;16;10673;BACON STA CLARA KG INT;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;12120;BIFE VAZIO RESERVA BOV KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;12121;BIFE VAZIO RESERVA BOV KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;37830;BIFE VAZIO RESERVA BOV KG MILANESA BDJ;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10740;BOLINHO BACALHAU OCEANI 300G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10742;BOLINHO TILAPIA JAPESCA 300G;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10778;BOMBOM DA ALCATRA RESERVA PORC;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10788;CABECA SUINO;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10789;CACAO OPERGEL POSTA CONG 500G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10820;CAMARAO CZA 7 BARBAS DESC 400G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10821;CAMARAO CZA JAPESCA 23 30 DESC 400G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10822;CAMARAO CZA JAPESCA 61 70 EVIS 400G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10824;CAMARAO OCEANI DESC 200G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10827;CAMARAO OCEANI INT 200G;Ativo;40;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10828;CAMARAO SEARA DESC 80 100 400G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;36956;CAMARAO VERMELHO DESC CONG 250G;Ativo;40;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10832;CAPA COXAO DENTRO FRIBOI VACUO KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10833;CAPA COXAO DENTRO FRIBOI VACUO KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;34417;CAPA FILE BOV FRIBOI 1953 RESF KG ANGUS BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10835;CAPA FILE FRIBOI BOV VACUO KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10837;CAPA FILE FRIBOI BOV VACUO KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10834;CAPA FILE FRIBOI BOV VACUO KG PORC;Ativo;1;1;0;0
PERECIVEIS;MODELO;16;10836;CAPA FILE RESERVA KG PECA;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10844;CARNE DE PANELA BOV;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10845;CARNE MOIDA CHULETAO BOV CONG 400G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10846;CARNE MOIDA CHULETAO FGO CONG 500G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;35466;CARNE MOIDA MAIS FGO CONG FGO 500G;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10851;CARNE SEARA SUINO SALG 400G;Ativo;25;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10852;CARRE SUINO CONG KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10855;CASTANHA CAJU UNIAGRO TORR SALG KG;Ativo;12;12;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10856;CASTANHA PARA UNIAGRO S CASCA;Ativo;20;20;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10869;CEREJA LA VIOLET KG;Ativo;6;6;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10872;CHARQUE BOV FRIBOI KG MANTA;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10896;CONTRA FILE FRIBOI PORC VAC KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10899;CONTRA FILE RESERVA BANANINHA KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10898;CONTRA FILE RESERVA BANANINHA KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10901;CONTRA FILE RESERVA KG BIFE;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10902;CONTRA FILE RESERVA KG BIFE LIGHT;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10877;CONTRA FILE RESERVA KG CHORIZO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10903;CONTRA FILE RESERVA KG GRILL;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10904;CONTRA FILE RESERVA KG PEDACO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10906;CONTRA FILE RESERVA KG S OSSO PAI;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10908;COPA PAMPLONA FAT 100G;Ativo;12;12;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10914;CORACAO ALCATRA FRIBOI PORC KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10915;CORACAO ALCATRA FRIBOI PORC KG BDJ;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10911;CORACAO BOV KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10912;CORACAO BOV KG BDJ;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10919;CORACAO FGO LAR CONG 700G;Ativo;24;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10918;CORACAO FGO PERDIGAO CONG 1KG;Ativo;1;1;0;0
PERECIVEIS;SANDRO MARTINS VIANNA;16;10920;CORACAO FGO RESF;Ativo;1;1;0;0
