NROEMPRESA;NUMERONF;SERIENF;TIPOTABELA;STATUSNF;NROSERIEECF;DTAEMISSAO;TIPNOTAFISCAL;VLRTOTAL;SEQPESSOA;NOMERAZAO;SEQNOTAFISCAL;NFECHAVEACESSO;INDEMISSAONF;DESCSTATUSNFE;STATUSNFE;DANFEEMITIDA;DTAIMPRESSAO;NFEAMBIENTE;NFEDTACANC;NFENROPROTCANC;NFEDTAENV;NFENROPROTENVIO;USUEMITIU;NROCARGA;INDENVIACANCELAMENTO;LINKERP;CODGERALOPER;INDLIBERADAINUTILIZACAO;APPORIGEM;INDRETORNOEVENTO;DTAVENCIMENTO;DTARECEBIMENTO;OBSERVACAOLF;TIPPEDIDOCOMPRA;NFREFERENCIANRO;NFREFERENCIASERIE;SEQNF;NUMERORPS;NUMERONFSE;NUMERONFPAINEL;MODELO;SEQPESSOATOMADORNFSE
14;194;700;N;V;;2026-03-19-00.00.00.000000;S;3644,45;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1082903;43260300610350001656557000000001941714529309;S;Autorizada;4;;2026-03-19-08.20.33.000000;P;;;2026-03-19-08.20.44.000000;243260089657764;VERIDI;;N;5941725;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 6/1077 5/2/2026;;1077;706;2795560;;;194;55;
14;195;700;N;V;;2026-03-19-00.00.00.000000;S;339,78;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1082957;43260300610350001656557000000001951315134596;S;Autorizada;4;;2026-03-19-08.23.49.000000;P;;;2026-03-19-08.23.54.000000;243260089663391;VERIDI;;N;5941777;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 6/1350 6/2/2026;;1350;706;2795613;;;195;55;
14;196;700;N;V;;2026-03-19-00.00.00.000000;S;532,48;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083018;43260300610350001656557000000001961871468190;S;Autorizada;4;;2026-03-19-08.27.57.000000;P;;;2026-03-19-08.28.03.000000;243260089671680;VERIDI;;N;5941837;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 6/1434 6/2/2026;;1434;706;2795674;;;196;55;
14;197;700;N;V;;2026-03-19-00.00.00.000000;S;1075,56;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083030;43260300610350001656557000000001971993842027;S;Autorizada;4;;2026-03-19-08.28.48.000000;P;;;2026-03-19-08.28.54.000000;243260089673211;VERIDI;;N;5941850;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 6/2213 10/2/2026;;2213;706;2795686;;;197;55;
14;198;700;N;V;;2026-03-19-00.00.00.000000;S;288,1;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083056;43260300610350001656557000000001981149096423;S;Autorizada;4;;2026-03-19-08.29.49.000000;P;;;2026-03-19-08.29.55.000000;243260089675078;VERIDI;;N;5941877;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 6/2444 11/2/2026;;2444;706;2795712;;;198;55;
14;199;700;N;V;;2026-03-19-00.00.00.000000;S;2528,96;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083083;43260300610350001656557000000001991986101569;S;Autorizada;4;;2026-03-19-08.31.39.000000;P;;;2026-03-19-08.31.45.000000;243260089679032;VERIDI;;N;5941910;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 7/3533 13/2/2026;;3533;707;2795739;;;199;55;
3;390;700;N;V;;2026-03-18-00.00.00.000000;S;231,37;14322;COOPERATIVA SANTA CLARA LTDA;1075074;43260300610350000331557000000003901950939530;S;Autorizada;4;;2026-03-18-17.14.39.000000;P;;;2026-03-18-17.14.50.000000;243260088987266;CESTRADA;;N;5934058;802;N;22;;;;;;2738016;1;2787529;;;390;55;
15;10059;700;N;V;;2026-03-19-00.00.00.000000;S;8160;6666;LACTICINIOS TIROL;1095002;43260300610350001575557000000100591970194716;S;Autorizada;4;;2026-03-19-18.00.41.000000;P;;;2026-03-19-18.00.47.000000;243260090666117;INDANIEL;;N;5953562;802;N;39;;;;;;1994154;8;2807507;;;10059;55;
3;408;700;N;V;;2026-03-20-00.00.00.000000;E;1192,8;1947;DELCIO LIMA GAVIAO;1101377;43260300610350000331557000000004081901526797;S;Rejeitada;5;;2026-03-20-07.29.15.000000;P;;;2026-04-16-08.55.38.000000;;EZEQUIEL;;N;5959596;200;N;2;;;2026-03-20-00.00.00.000000;;C;86230;233;2813918;;;408;55;
8;187;700;N;V;;2026-03-18-00.00.00.000000;S;89,7;21819;MACHADO COMERCIO DE ALIMENTOS LTDA;1073310;43260300610350000765557000000001871966502661;S;Autorizada;4;;2026-03-18-16.10.20.000000;P;;;2026-03-18-16.10.26.000000;243260088857557;ALEXANTU;;N;5932321;809;N;14;;;2026-03-18-00.00.00.000000;NFCes 2/9096 18/3/2026;;9096;702;2785807;;;187;55;
14;200;700;N;V;;2026-03-19-00.00.00.000000;S;63,87;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083103;43260300610350001656557000000002001127838168;S;Autorizada;4;;2026-03-19-08.32.32.000000;P;;;2026-03-19-08.32.37.000000;243260089680787;VERIDI;;N;5941932;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 8/4280 18/2/2026;;4280;708;2795759;;;200;55;
14;201;700;N;V;;2026-03-19-00.00.00.000000;S;1396,15;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083129;43260300610350001656557000000002011081122693;S;Autorizada;4;;2026-03-19-08.33.25.000000;P;;;2026-03-19-08.33.31.000000;243260089682324;VERIDI;;N;5941960;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 8/4854 20/2/2026;;4854;708;2795784;;;201;55;
14;202;700;N;V;;2026-03-19-00.00.00.000000;S;155,88;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083149;43260300610350001656557000000002021987946128;S;Autorizada;4;;2026-03-19-08.34.21.000000;P;;;2026-03-19-08.34.24.000000;243260089684017;VERIDI;;N;5941995;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 7/5729 21/2/2026;;5729;707;2795804;;;202;55;
14;203;700;N;V;;2026-03-19-00.00.00.000000;S;509,54;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083155;43260300610350001656557000000002031713554653;S;Autorizada;4;;2026-03-19-08.35.25.000000;P;;;2026-03-19-08.35.31.000000;243260089686095;VERIDI;;N;5942001;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 3/1831 24/2/2026;;1831;703;2795810;;;203;55;
14;204;700;N;V;;2026-03-19-00.00.00.000000;S;1359,97;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083174;43260300610350001656557000000002041639572433;S;Autorizada;4;;2026-03-19-08.36.14.000000;P;;;2026-03-19-08.36.20.000000;243260089687489;VERIDI;;N;5942019;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 5/3659 25/2/2026;;3659;705;2795829;;;204;55;
14;205;700;N;V;;2026-03-19-00.00.00.000000;S;395,23;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083193;43260300610350001656557000000002051590714539;S;Autorizada;4;;2026-03-19-08.37.16.000000;P;;;2026-03-19-08.37.23.000000;243260089689534;VERIDI;;N;5942037;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 5/3937 27/2/2026;;3937;705;2795848;;;205;55;
14;206;700;N;V;;2026-03-19-00.00.00.000000;S;1871,26;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1083216;43260300610350001656557000000002061578388349;S;Autorizada;4;;2026-03-19-08.38.01.000000;P;;;2026-03-19-08.38.04.000000;243260089690964;VERIDI;;N;5942060;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 5/4083 28/2/2026;;4083;705;2795871;;;206;55;
3;395;700;N;V;;2026-03-18-00.00.00.000000;E;23,83;3;SUPERMERCADO BAKLIZI LTDA;1077407;43260300610350000331557000000003951533108845;S;Autorizada;4;;;P;;;2026-03-18-18.28.31.000000;243260089098585;ERICSIL;;N;5936323;202;N;7;;;;Ref. NFCe 11146 715 17/03 Usr: VANESSAS Just: Impróprio para consumo;;22722;CF;2789850;;;395;55;
5;116;700;N;V;;2026-03-19-00.00.00.000000;S;6,18;9379;LACTALIS BRASIL COM IMP EXP LTDA;1086997;43260300610350000684557000000001161581167175;S;Autorizada;4;;2026-03-19-11.24.40.000000;P;;;2026-03-19-11.24.51.000000;243260090016494;JEIDER;;N;5945750;802;N;39;;;;;;4073554;1;2799612;;;116;55;
11;205;700;N;V;;2026-03-19-00.00.00.000000;S;12,06;12142;LATICINIOS BIO LTDA;1091897;43260300610350001818557000000002051602993039;S;Autorizada;4;;2026-03-19-15.56.57.000000;P;;;2026-03-19-15.57.03.000000;243260090442868;CARLAMB11;;N;5950470;802;N;22;;;;;;711234;0;2804442;;;205;55;
