SEQPRODUTO;QTDEMBALAGEM;NROSEGMENTO;NROEMPRESA;STATUSVENDA;PRECOBASENORMAL;MOTIVOPRECOBASE;PRECOGERNORMAL;PRECOGERPROMOC;MOTIVOPRECOGERADO;PRECOVALIDNORMAL;PRECOVALIDPROMOC;MOTIVOPRECOVALIDO;FAIXAGERACRFIN;FAIXAVALIDACRFIN;INDEMIETIQUETA;PROCESSOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;PRECOINDENIZACAO;SEQLISTAPRECOGER;SEQLISTAPRECOVALID;DTAGERACAOPRECO;DTAVALIDACAOPRECO;DTABASEEXPORTACAO;CODPROMPDVGER;FATPROMPDVGER;CODPROMPDVVALID;FATPROMPDVVALID;PONTOBASENORMAL;PONTOGERNORMAL;PONTOGERPROMOC;PONTOVALIDNORMAL;PONTOVALIDPROMOC;DTAALTERACAO;USUALTERACAO;PRECOMAXCONSUMIDOR;NROBASEEXPORTACAO;INDPRECOMONIT;MGMMINNORMAL;MGMMAXNORMAL;MGMMINPROMOC;MGMMAXPROMOC;PRECOMINNORMAL;PRECOMAXNORMAL;PRECOMINPROMOC;PRECOMAXPROMOC;VLRCUSTOLIQDIAPRECIF;INDBASESUGPRECO;SEQCCACORDOASSOCPRECOBASE;SEQCCACORDOASSOCPRECOGER;SEQCCACORDOASSOCPRECOVALIDO;MARGEMLUCROPRODEMPSEG;INDREVISAOPRECO;DTAGERREVISAOPRECO;USUGERREVISAOPRECO;DTAULTREVISAOPRECO;USUREVISAOPRECO;INDETIQUETARF;DTAGERACAOPRECOPROG;PRECOGERNORMALPROG;PRECOGERPROMOCPROG;PRECOEMITIDOPROMOC;USUAPROVASTATUSVDA;DTAAPROVASTATUSVDA;DTAHORALTSTATUSVDA;DTAHORIMPORTECOMMERCE;SEQCAMPANHABASE;VLRDIFCAMPANHAPRECOBASE;SEQCAMPANHAGER;VLRDIFCAMPANHAPRECOGER;SEQCAMPANHAVALID;VLRDIFCAMPANHAPRECOVALID;DTAHORCOLETAPRECO;USUVALIDAPRECO;DATAHORAALTERACAO;QTDETIQUETA;SEQPROMOCAO;INDETIQUETAMGL;NROBASEEXPORTACAOERP
10;1;1;8;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;S;;S;;;;;2026-08-17-03.03.03.000000;2026-08-17-03.03.03.000000;2026-08-17-03.03.03.000000;;;;;;;;;;2026-08-17-03.03.03.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;N;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;N;0
10;1;1;2;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;S;;S;;;;;2026-08-17-03.01.22.000000;2026-08-17-03.01.22.000000;2026-08-17-03.01.22.000000;;;;;;;;;;2026-08-17-03.01.22.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;N;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;N;0
10;1;1;5;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;S;;S;;;;;2026-08-17-03.02.10.000000;2026-08-17-03.02.10.000000;2026-08-17-03.02.10.000000;;;;;;;;;;2026-08-17-03.02.10.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;N;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;N;0
10;1;1;16;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;N;;S;;;;;2026-08-17-03.04.56.000000;2026-08-17-03.04.56.000000;2026-08-17-03.04.56.000000;;;;;;;;;;2026-08-17-03.04.56.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;;0
10;1;1;901;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;N;;S;;;;;2026-08-01-03.07.53.000000;2026-08-01-03.07.53.000000;2026-08-01-03.07.53.000000;;;;;;;;;;2026-08-01-03.07.53.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;;0
10;1;1;7;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;S;;S;;;;;2026-08-17-03.02.43.000000;2026-08-17-03.02.43.000000;2026-08-17-03.02.43.000000;;;;;;;;;;2026-08-17-03.02.43.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;N;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;N;0
10;1;1;20;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;N;;S;;;;;2026-08-01-03.07.24.000000;2026-08-01-03.07.24.000000;2026-08-01-03.07.24.000000;;;;;;;;;;2026-08-01-03.07.24.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;;0
10;1;1;902;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;N;;S;;;;;2026-08-01-03.07.56.000000;2026-08-01-03.07.56.000000;2026-08-01-03.07.56.000000;;;;;;;;;;2026-08-01-03.07.56.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;;0
10;1;1;15;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;N;;S;;;;;2026-08-17-03.04.45.000000;2026-08-17-03.04.45.000000;2026-08-17-03.04.45.000000;;;;;;;;;;2026-08-17-03.04.45.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;;0
10;1;1;10;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;N;;S;;;;;2026-08-01-03.03.45.000000;2026-08-01-03.03.45.000000;2026-08-01-03.03.45.000000;;;;;;;;;;2026-08-01-03.03.45.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;;0
