CODIGO_PRODUTO;DESCRICAO;EAN_DUN;DEPARTAMENTO;GRUPO;SUBGRUPO;NIVEL_4
4650;CHIN IPANEMA GLITTER 37/8 2648125369;7909510694989;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4651;CHIN IPANEMA GLITTER 39/0 2648125229;7909510556911;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4652;CHIN IPANEMA GLITTER 39/0 2648125369;7909510694996;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4653;CHIN HAVAIANA ATENA PR/CIN GEL 39/0;7890541759733;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4654;SAND HAVAIANAS COLOR ESSENCIAL MARINHO 39 0;37909843238424;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4654;SAND HAVAIANAS COLOR ESSENCIAL MARINHO 39 0;7909843238423;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4655;SAND HAVAIANAS COLOR ESSENCIAL MARINHO 41/2;37909843238431;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4655;SAND HAVAIANAS COLOR ESSENCIAL MARINHO 41/2;7909843238430;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4656;SAND HAVAIANAS COLOR ESSENCIAL MARINHO 43/4;37909843238448;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4656;SAND HAVAIANAS COLOR ESSENCIAL MARINHO 43/4;7909843238447;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4657;SAND HAVAIANAS COLOR ESSENCIAL PRETO 39/0;37909843237809;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
