DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_CONSINCO;descricao;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;Pedir;Estq_CD_cx
MERCEARIA;WETER SONNENFELDET;6;3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;Ativo;24;24;3;48;0;144;336;12;2
MERCEARIA;WETER SONNENFELDET;6;994;BISC MUCILON LANCHINHO 35G LAR BAN;Ativo;15;15;2;0;13;91;121;8;2
MERCEARIA;WETER SONNENFELDET;6;3374;COCO RALADO MENINA 100G UMIDO ADOCADO;Ativo;12;12;1;0;12;24;48;4;3
MERCEARIA;NIDAL TUBASI;6;2747;FARINHA TRIGO ROSESOL 5KG;Ativo;5;5;9;0;30;31;41;7;100
MERCEARIA;WETER SONNENFELDET;6;2823;MASSA C OVOS STA FELICIDADE 500G ESPAGUETE;Ativo;20;20;230;100;2242;340;480;8;263,15
PERFUMARIA E LIMPEZA;JOAO BATISTA;6;3952;AGUA SANIT Q BOA 5L;Ativo;3;3;4;6;25;12;15;2;78
PERFUMARIA E LIMPEZA;JOAO BATISTA;6;17175;DESINF GOTA LIMPA 2L LAVANDA;Ativo;6;6;-54;12;75;16;18;1;347,67
PERFUMARIA E LIMPEZA;JOAO BATISTA;6;5679;DET LIQ GOTA LIMPA 500ML LIMAO;Ativo;24;24;39;24;45;72;96;1;122,79
PERFUMARIA E LIMPEZA;JOAO BATISTA;6;17371;DET LIQ TIXAN YPE POUCH 900ML PRIMAVERA;Ativo;12;12;0;0;0;10;22;2;2
PERFUMARIA E LIMPEZA;JOAO BATISTA;6;17415;DET PO GOTA LIMPA 800G HARMONIA;Ativo;20;20;8;40;182;54;74;1;113,25
PERFUMARIA E LIMPEZA;JOAO BATISTA;6;9346;ESFR SANI ALL ACO 2UN;Ativo;72;72;12;0;59;18;42;1;24,83
PERFUMARIA E LIMPEZA;JOAO BATISTA;6;37435;LAVA ROUPA SUPREMA AZUL 3L;Ativo;6;6;0;18;0;48;60;7;5
PERFUMARIA E LIMPEZA;JOAO BATISTA;6;37438;LAVA ROUPA SUPREMA VERDE 3L;Ativo;6;6;0;18;0;48;60;7;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;6;7808;SABAO PO BRILHANTE 1 6KG LIMPEZA TOTAL;Ativo;9;9;10;9;35;21;30;1;4
BEBIDAS;NICOLAS AUGUSTO P. BORGES;7;179;CERVEJA ORIGINAL LT 473ML;Ativo;12;12;138;192;723;384;504;15;387
BEBIDAS;NICOLAS AUGUSTO P. BORGES;7;806;REFRIG FANTA LARANJA PET 2L;Ativo;8;8;-7;256;554;280;368;14;4,5
MERCEARIA;WETER SONNENFELDET;7;2913;ACHOC LIQ NESCAU 180ML ACTIC GO;Ativo;27;27;12;0;0;87;114;4;4
MERCEARIA;NIDAL TUBASI;7;2098;ARROZ BCO OESTE TP1 2KG;Ativo;15;15;12;15;83;30;45;1;50,6
MERCEARIA;WETER SONNENFELDET;7;1433;CHOC KIT KAT 41 5G FINGER BRANCO;Ativo;96;96;7;0;23;22;46;1;55,25
MERCEARIA;WETER SONNENFELDET;7;3374;COCO RALADO MENINA 100G UMIDO ADOCADO;Ativo;12;12;0;0;0;22;46;4;3
MERCEARIA;NIDAL TUBASI;7;2509;ERVA MATE PONCHE VERDE 500G MOIDA GROSSA;Ativo;20;20;114;0;532;120;160;2;23,3
MERCEARIA;NIDAL TUBASI;7;2737;FARINHA TRIGO ROSESOL 1KG;Ativo;10;10;65;0;813;100;130;7;1244
MERCEARIA;NIDAL TUBASI;7;2747;FARINHA TRIGO ROSESOL 5KG;Ativo;5;5;3;0;18;15;20;3;100
MERCEARIA;WETER SONNENFELDET;7;2668;LEITE PO ELEGE DESNATADO SH 400G;Ativo;25;25;7;0;20;19;44;2;20
MERCEARIA;WETER SONNENFELDET;7;1014;TEMP COMPLETO ODERICH 1KG S PIMENTA;Ativo;12;12;3;0;19;10;22;2;2
PERFUMARIA E LIMPEZA;JOAO BATISTA;7;37435;LAVA ROUPA SUPREMA AZUL 3L;Ativo;6;6;0;6;0;24;30;4;5
PERFUMARIA E LIMPEZA;JOAO BATISTA;7;37438;LAVA ROUPA SUPREMA VERDE 3L;Ativo;6;6;0;6;0;24;30;4;4
BEBIDAS;NICOLAS AUGUSTO P. BORGES;8;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;1478;0;4721;1714;2230;63;5280,33
MERCEARIA;NIDAL TUBASI;8;2098;ARROZ BCO OESTE TP1 2KG;Ativo;15;15;10;0;38;13;28;1;50,6
MERCEARIA;WETER SONNENFELDET;8;3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;Ativo;24;24;2;48;0;192;384;14;2
MERCEARIA;WETER SONNENFELDET;8;3374;COCO RALADO MENINA 100G UMIDO ADOCADO;Ativo;12;12;-5;0;15;32;56;5;3
MERCEARIA;WETER SONNENFELDET;8;2823;MASSA C OVOS STA FELICIDADE 500G ESPAGUETE;Ativo;20;20;151;140;1187;316;416;6;263,15
MERCEARIA;WETER SONNENFELDET;8;2826;MASSA C OVOS STA FELICIDADE 500G PENNE;Ativo;20;20;21;80;791;120;180;4;206,2
PERFUMARIA E LIMPEZA;JOAO BATISTA;8;37435;LAVA ROUPA SUPREMA AZUL 3L;Ativo;6;6;0;18;0;24;30;2;5
PERFUMARIA E LIMPEZA;JOAO BATISTA;8;37438;LAVA ROUPA SUPREMA VERDE 3L;Ativo;6;6;0;18;0;24;30;2;4
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;147;CERV ANTARCTICA PILSEN LT 473ML;Ativo;12;12;6;120;157;144;240;10;537,75
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;161;CERV CRYSTAL LT 473ML;Ativo;12;12;102;144;5;360;480;20;412,08
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;-2718;1200;19806;4332;5640;370;5280,33
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;169;CERVEJA HEINEKEN LT 473ML;Ativo;12;12;2056;12;979;2088;2976;76;873,08
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;389;ENERG MONSTER LT 473ML GREEN;Ativo;6;6;13;30;155;60;84;7;392
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;181;REFRE PO GLUP 15G ABACAXI;Ativo;60;60;30;60;582;420;600;9;571,93
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;806;REFRIG FANTA LARANJA PET 2L;Ativo;8;8;13;352;1375;728;1032;83;4,5
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;861;REFRIG PEPSI BLACK PET 600ML;Ativo;12;12;0;0;33;12;24;2;48
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;307;VH TRADICAO NIAGARA BCO 1 4L SC;Ativo;6;6;2;12;8;36;48;6;47,33
BEBIDAS;NICOLAS AUGUSTO P. BORGES;11;33723;VODKA WE MIX VD 275ML FRUTAS VERDES;Ativo;6;6;5;0;3;6;12;1;58
MERCEARIA;WETER SONNENFELDET;11;2913;ACHOC LIQ NESCAU 180ML ACTIC GO;Ativo;27;27;-243;0;498;271;379;14;4
MERCEARIA;WETER SONNENFELDET;11;2909;ACHOC LIQ SHOWKINHO 200ML;Ativo;27;27;444;0;5867;594;783;13;156,56
MERCEARIA;NIDAL TUBASI;11;2140;ARROZ BCO SANO TP1 5KG;Ativo;6;6;107;0;78;120;180;12;300,17
MERCEARIA;WETER SONNENFELDET;11;3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;Ativo;24;24;0;96;0;144;336;10;2
MERCEARIA;WETER SONNENFELDET;11;1384;BISC ISABELA 350G INTEG;Ativo;24;24;5;0;57;18;42;2;8
MERCEARIA;WETER SONNENFELDET;11;3022;CEREAL MAT NESTLE SH 120G MOCA FLAKES;Ativo;20;20;0;0;0;20;60;3;2,4
MERCEARIA;WETER SONNENFELDET;11;3374;COCO RALADO MENINA 100G UMIDO ADOCADO;Ativo;12;12;25;0;1;48;72;4;3
MERCEARIA;NIDAL TUBASI;11;2378;DUETO FUGINI SH 170G ERVILHA MILHO;Ativo;36;36;27;252;2544;324;432;4;145,97
MERCEARIA;NIDAL TUBASI;11;2737;FARINHA TRIGO ROSESOL 1KG;Ativo;10;10;-97;0;1717;200;300;30;1244
MERCEARIA;NIDAL TUBASI;11;2747;FARINHA TRIGO ROSESOL 5KG;Ativo;5;5;0;5;20;51;71;13;100
MERCEARIA;NIDAL TUBASI;11;2325;FEIJAO PRETO ARBAZA PREMIUM 500G;Ativo;12;12;177;0;99;184;244;6;4,5
MERCEARIA;WETER SONNENFELDET;11;2668;LEITE PO ELEGE DESNATADO SH 400G;Ativo;25;25;0;0;29;19;44;2;20
MERCEARIA;WETER SONNENFELDET;11;20316;MACARRAO INST GERMANI 63G CARNE;Ativo;50;50;185;0;882;350;500;6;450,92
MERCEARIA;WETER SONNENFELDET;11;20611;MASSA SEMOLA GERMANI 1KG ESPAG;Ativo;10;10;17;20;13;40;50;1;3,3
MERCEARIA;WETER SONNENFELDET;11;20665;MASSA SEMOLA GERMANI 500G PARAF;Ativo;20;20;15;0;39;16;36;1;48,7
MERCEARIA;WETER SONNENFELDET;11;3682;MIST LACTEA COND TRIANGULO TP 395G;Ativo;27;27;565;0;2273;567;810;9;165,15
MERCEARIA;NIDAL TUBASI;11;21125;MOL TOM TRAD VAL SH 300G;Ativo;36;36;375;0;4410;504;720;10;27,06
MERCEARIA;WETER SONNENFELDET;11;3862;SAL MOIDO PREMIUM 1KG;Ativo;30;30;43;60;453;120;150;2;252,27
MERCEARIA;NIDAL TUBASI;11;2468;SARDINHA COQUEIRO 125G OLEO;Ativo;54;54;8;54;1021;108;162;2;4
PERECIVEIS;SANDRO MARTINS VIANNA;11;9751;LEITE SANTA CLARA UHT INT 1L;Ativo;12;12;2003;1020;7359;3060;4080;88;316,67
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;12181;ABS MILI MULHER CONFORTO TOT C ABAS C 16UN;Ativo;24;24;14;0;10;24;36;1;14
PERFUMARIA E LIMPEZA;JOAO BATISTA;11;3951;AGUA SANIT Q BOA 2L;Ativo;6;6;0;24;18;30;42;3;67,83
