CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;Status;QUANTIDADE_DISPONIVEL
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;17;6;10;90;0,18;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;12
4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;18;6;10;90;0,4;0;0;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;Ativo;31
4363;BEB LACT ELEGE 510G MORANGO;12;1;10;22;90;2,11;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;32
4363;BEB LACT ELEGE 510G MORANGO;12;2;60;84;90;14,52;0;0;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;Ativo;41
4363;BEB LACT ELEGE 510G MORANGO;12;3;58;82;90;14,49;0;0;VENDA_4_DIAS;ALTO_VOLUME_35;Ativo;-109
4363;BEB LACT ELEGE 510G MORANGO;12;4;24;36;90;5,97;0;0;VENDA_4_DIAS;UMA_CAIXA_ACIMA;Ativo;-33
4363;BEB LACT ELEGE 510G MORANGO;12;5;28;40;90;6,68;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;6
4363;BEB LACT ELEGE 510G MORANGO;12;6;50;74;90;12,04;0;0;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;Ativo;26
4363;BEB LACT ELEGE 510G MORANGO;12;7;30;42;90;7,09;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;28
4363;BEB LACT ELEGE 510G MORANGO;12;8;8;20;90;1,57;0;0;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;Ativo;63
4363;BEB LACT ELEGE 510G MORANGO;12;11;34;46;90;8,01;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;19
4363;BEB LACT ELEGE 510G MORANGO;12;12;34;46;90;8,24;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;18
4363;BEB LACT ELEGE 510G MORANGO;12;13;24;36;90;5,63;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;102
4363;BEB LACT ELEGE 510G MORANGO;12;14;12;24;90;2,79;0;0;VENDA_4_DIAS;UMA_CAIXA_ACIMA;Ativo;-43
4363;BEB LACT ELEGE 510G MORANGO;12;17;10;22;90;2,27;0;0;VENDA_4_DIAS;UMA_CAIXA_ACIMA;Ativo;5
4363;BEB LACT ELEGE 510G MORANGO;12;18;26;38;90;6,18;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;-7
4364;BEB LACT ELEGE 510G MORANGO COCO;12;1;8;20;90;0,47;0;0;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;Ativo;290
4364;BEB LACT ELEGE 510G MORANGO COCO;12;2;36;48;90;8,74;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;-11
4364;BEB LACT ELEGE 510G MORANGO COCO;12;3;28;40;90;6,59;0;0;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;Ativo;-22
