CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA
3874;BOMBOM AMOR CARIOCA 200G;30;7;50;80;VENDA_4_DIAS;UMA_CAIXA_ACIMA;22;52;60;12,28
3875;BOMBOM AMOR CARIOCA 200G BRANCO;30;7;30;59;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;22;52;60;7,15
3876;BOMBOM AMOR CARIOCA 200G DUO;30;7;46;75;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;24;54;60;11,22
13699;BOMBOM BEL SORT 180G;30;7;40;69;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;30;60;60;9,68
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;7;66;96;VENDA_4_DIAS;UMA_CAIXA_ACIMA;54;84;60;16,3
37967;CHA BARAO 13G BOLDO;30;7;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;10;40;60;0
37957;CHA BARAO 13G PTO;30;7;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;10;45;60;0
20391;MAIONESE LIZA CASEIRA 450G;12;7;110;157;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;60;96;60;27,22
36813;ARROZ BCO BOM DE PANELA TP1 5KG;6;8;44;62;VENDA_4_DIAS;ALTO_VOLUME_35;30;48;60;10,92
37222;BOMBOM GAROTO FINOS 220G SORTIDOS;30;8;36;66;VENDA_4_DIAS;UMA_CAIXA_ACIMA;30;60;60;8,95
37957;CHA BARAO 13G PTO;30;8;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;10;45;60;0
36813;ARROZ BCO BOM DE PANELA TP1 5KG;6;11;146;200;VENDA_4_DIAS;ALTO_VOLUME_35;90;180;60;36,4
1962;BIS LACTA 100 8G BRANCO;65;11;125;190;VENDA_4_DIAS;UMA_CAIXA_ACIMA;65;130;60;31,15
3874;BOMBOM AMOR CARIOCA 200G;30;11;132;192;VENDA_4_DIAS;ALTO_VOLUME_35;22;52;60;32,77
3875;BOMBOM AMOR CARIOCA 200G BRANCO;30;11;80;110;VENDA_4_DIAS;UMA_CAIXA_ACIMA;22;52;60;19,97
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;11;196;286;VENDA_4_DIAS;ALTO_VOLUME_35;60;90;60;48,77
1296;CHOC BARRA NESTLE 80G GALAK GALAK;64;11;48;112;VENDA_4_DIAS;UMA_CAIXA_ACIMA;40;103;60;11,97
20391;MAIONESE LIZA CASEIRA 450G;12;11;192;263;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;120;144;60;47,57
20596;MAS CASEIRA MOSMANN MULT PARAF 400G;20;11;12;32;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;6;26;60;0
