DEPARTAMENTO;SECAO;GRUPO;SUBGRUPO;NIVEL5;NIVEL6;COMPRADOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS;MARGEM_OBJETIVA;VENDA_VALOR;VENDA_PROMOCAO
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;866,57;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;911,47;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;55,74;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;92,9;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;148,64;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;195,09;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;252,64;66,84
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;269,41;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;332,15;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;380,89;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;455,21;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;473,79;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;891,84;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;1254,15;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;2457,91;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20;2610,49;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;0;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;202,54;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;296,02;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;565,11;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;615,41;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;685,52;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;1020,49;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;1129,55;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;1293,14;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;1433,36;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;1651,48;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;2235,73;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;2344,79;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20;2812,19;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;0;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;208,44;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;827,97;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20;839,55;0
