ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_PROJETADO
1-TITULO_REAL;15;153149/1-1;;15498;IND.DE POLPAS E CONSERVAS VAL LTDA;NIDAL;29/05/2026;;35;1;03/07/2026;FATURADO;18345,6
1-TITULO_REAL;15;153153/1-1;;15498;IND.DE POLPAS E CONSERVAS VAL LTDA;NIDAL;29/05/2026;;35;1;03/07/2026;FATURADO;2049,3
1-TITULO_REAL;15;153151/1-1;;15498;IND.DE POLPAS E CONSERVAS VAL LTDA;WERTER;29/05/2026;;35;1;03/07/2026;FATURADO;7898,4
1-TITULO_REAL;11;476346/1-1;;16948;ITALIANY ALIMENTOS LTDA.;WERTER;04/05/2026;;60;1;03/07/2026;FATURADO;224
1-TITULO_REAL;17;476341/1-1;;16948;ITALIANY ALIMENTOS LTDA.;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;750,5
1-TITULO_REAL;5;476334/1-1;;16948;ITALIANY ALIMENTOS LTDA.;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;237,5
1-TITULO_REAL;18;476342/1-1;;16948;ITALIANY ALIMENTOS LTDA.;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;997,5
1-TITULO_REAL;8;476337/1-1;;16948;ITALIANY ALIMENTOS LTDA.;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;639,8
1-TITULO_REAL;3;476332/1-1;;16948;ITALIANY ALIMENTOS LTDA.;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;701,2
1-TITULO_REAL;7;476336/1-1;;16948;ITALIANY ALIMENTOS LTDA.;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;1310,7
1-TITULO_REAL;2;476343/1-1;;16948;ITALIANY ALIMENTOS LTDA.;WERTER;04/05/2026;;60;1;03/07/2026;FATURADO;136
1-TITULO_REAL;6;476345/1-1;;16948;ITALIANY ALIMENTOS LTDA.;WERTER;04/05/2026;;60;1;03/07/2026;FATURADO;169,2
1-TITULO_REAL;3;476344/1-1;;16948;ITALIANY ALIMENTOS LTDA.;WERTER;04/05/2026;;60;1;03/07/2026;FATURADO;190
1-TITULO_REAL;14;476340/1-1;;16948;ITALIANY ALIMENTOS LTDA.;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;1036,9
