CODIGO_PRODUTO;EAN;DESCRICAO_PRODUTO;CODIGO_EMPRESA;EMBALAGEM_VENDA;COMPRADOR;PRECO_NORMAL;PRECO_PROMOCIONAL;PRECO_PRATICADO_DIA
12016;;TAMARA UNIAGRO KG;12;1;2 - SANDRO;74,99;0;74,99
12025;;TENDER PAMPLONA;12;1;2 - SANDRO;57,29;0;57,29
12080;;TRIPA GORDA BRISTOT BOV CONG;12;1;2 - SANDRO;28,99;0;28,99
12082;7898941720018;TRIPA SECA JD BOV 9M;12;1;2 - SANDRO;20,45;0;20,45
12086;7893000488953;TULIPA FGO SADIA IQF 1KG;12;1;2 - SANDRO;31,49;0;31,49
12087;7894904014293;TULIPA FGO SEARA 1KG;12;1;2 - SANDRO;17,29;0;17,29
12739;7896504302046;BAC STA CLARA CUBOS S PELE 200G R72060;12;1;2 - SANDRO;17,99;0;17,99
13053;7894904008018;BANHA SEARA REF 1KG;12;1;2 - SANDRO;16,99;0;16,99
13124;7896419730705;BATATA PRE FRITA LAR 1 5KG;12;1;2 - SANDRO;19,99;19,99;19,99
13125;7891164135379;BATATA PRE FRITA NOBRE 2KG;12;1;2 - SANDRO;27,59;0;27,59
13126;7896807416891;BATATA PRE FRITA OK FRIES 1 5KG;12;1;2 - SANDRO;18,9;0;18,9
13127;7891515546335;BATATA P FRITA SADIA PALITO 1 05KG;12;1;2 - SANDRO;23,99;0;23,99
13163;7897903111031;BEB LACT BIOLAT 130G;12;1;2 - SANDRO;2,19;0;2,19
13164;7897903111185;BEB LACT BIOLAT 540G MOR;12;1;2 - SANDRO;5,99;0;5,99
13165;7897903111260;BEB LACT BIOLAT SC 900ML AMEIXA;12;1;2 - SANDRO;5,79;0;5,79
13166;7897903111055;BEB LACT BIOLAT SC 900ML COCO;12;1;2 - SANDRO;5,79;0;5,79
13167;7897903111161;BEB LACT BIOLAT SC 900ML MOR;12;1;2 - SANDRO;5,79;0;5,79
13168;7897903111222;BEB LACT BIOLAT SC 900ML PESSEGO;12;1;2 - SANDRO;5,79;0;5,79
13169;7897903111291;BEB LACT BIOLAT SC 900ML SAL FRU;12;1;2 - SANDRO;5,79;0;5,79
13170;7896691104706;BEB LACT CAROLINA 1250G ACAI C MOR;12;1;2 - SANDRO;13,69;0;13,69
13171;7896691104690;BEB LACT CAROLINA 1250G ACAI BANANA;12;1;2 - SANDRO;13,69;0;13,69
13172;7896691104713;BEB LACT CAROLINA 1250G FRU VERM;12;1;2 - SANDRO;13,69;0;13,69
13173;7896691104331;BEB LACT CAROLINA 1250G MOR;12;1;2 - SANDRO;13,69;0;13,69
