CODIGO_PRODUTO;DESCRICAO_PRODUTO;CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR
3255;SALG ELMA CHIPS 45G CEBOLITOS;10124;PEPSICO DO BRASIL LTDA
3256;GELATINA ROYAL ZERO 12G MORANGO;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
3257;SALG TAKIS 49G HOT CHILLI;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
3261;SALG YOKITOS 108G ANEIS CEBOLA;3528;FABIANO ZAFFALON E CIA.
3262;SALG ELMA CHIPS 91G CEBOLITOS;10124;PEPSICO DO BRASIL LTDA
3272;SALG OBBA 100G PICANHA;16857;FITOS ALIMENTOS LTDA
3274;SALG BATATA OND YOKI 45G CHURRASCO;3528;FABIANO ZAFFALON E CIA.
3275;SALG KLAIN CROCANTE 100G CHURRASCO;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
3276;SALG KEVYTOS 13G C 50 CHURRASCO;2977;DELAVY ALIMENTOS LTDA
3280;SALG ELMA CHIPS 190G CEBOLITOS;10124;PEPSICO DO BRASIL LTDA
3289;SALG OBBA 100G PRESUNTO;16857;FITOS ALIMENTOS LTDA
3290;SALG YOKITOS CONCHINHA 54G PRESUNTO;3528;FABIANO ZAFFALON E CIA.
3291;SALG FANDANGOS 35G PRESUNTO;10124;PEPSICO DO BRASIL LTDA
3292;SALG FANDANGOS 160G PRESUNTO;10124;PEPSICO DO BRASIL LTDA
3293;SALG FANDANGOS 270G PRESUNTO;10124;PEPSICO DO BRASIL LTDA
3299;SALG REDINHA YOKITOS 45G QUEIJO;3528;FABIANO ZAFFALON E CIA.
3301;SALG TUBINHO YOKITOS 45G QUEIJO;3528;FABIANO ZAFFALON E CIA.
3302;SALG BOLINHA YOKITOS 45G QUEIJO;3528;FABIANO ZAFFALON E CIA.
3303;SALG CONCHINHA YOKITOS 54G QUEIJO;3528;FABIANO ZAFFALON E CIA.
3305;PATE ODERICH LT 100G GALINHA;15520;CONSERVAS ODERICH SA
3306;SALG SNACK CHEEZ IT 65G CHEDDAR;12257;PARATI IND.COM.DE ALIMENTOS LTDA
3308;SALG FANDANGOS 35G QUEIJO;10124;PEPSICO DO BRASIL LTDA
3309;SALG CHEETOS 36G MIX DE QUEIJO;10124;PEPSICO DO BRASIL LTDA
3310;SALG BOLA CHEETOS 33G QUEIJO SUICO;10124;PEPSICO DO BRASIL LTDA
3311;SALG ONDA CHEETOS 40G REQUEIJAO;10124;PEPSICO DO BRASIL LTDA
3312;SALG LUA CHEETOS 35G PARMESAO;10124;PEPSICO DO BRASIL LTDA
3315;SALG DORITOS DINAMITA 60G FLAMIN HOT;10124;PEPSICO DO BRASIL LTDA
3316;SALG DORITOS DINAMITA 60G PIM MEXICANA;10124;PEPSICO DO BRASIL LTDA
3319;SALG DORITOS 32G SWEET CHILI;10124;PEPSICO DO BRASIL LTDA
