CODIGO_PRODUTO;DESCRICAO_PRODUTO;CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR
6232;GEL DENTAL CLOSE UP 90G EUCALIPT FREEZE;17017;ZAFFALON E CIA LTDA
6233;GEL DENTAL CLOSE UP 90G MENTHOL PARADIS;17017;ZAFFALON E CIA LTDA
6234;GEL DENTAL CLOSE UP 90G ORIG RED HOT;17017;ZAFFALON E CIA LTDA
6243;GEL VINI LADY 220G FIXADOR AZUL;6857;SGM INDUSTRIA DE COSMETICOS LTDA
6246;GELO PIRADRINK 180G P/DRINK AGUA DE COCO;10779;ICE INDUSTRIA DE GELADOS LTDA
6247;GELO PIRADRINK 180G P/DRINK LARANJA;10779;ICE INDUSTRIA DE GELADOS LTDA
6248;GELO PIRADRINK 180G P/DRINK LIMAO;10779;ICE INDUSTRIA DE GELADOS LTDA
6249;GELO PIRADRINK 180G P/DRINK MACA VERDE;10779;ICE INDUSTRIA DE GELADOS LTDA
6250;GELO PIRADRINK 180G P/DRINK MARACUJA;10779;ICE INDUSTRIA DE GELADOS LTDA
6251;GELO PIRADRINK 180G P/DRINK MELANCIA;10779;ICE INDUSTRIA DE GELADOS LTDA
6252;GELO PIRADRINK 180G P/DRINK MORANGO;10779;ICE INDUSTRIA DE GELADOS LTDA
6253;GELO TUBO GELO 2.5KG BOLSA;10779;ICE INDUSTRIA DE GELADOS LTDA
6257;GFA TERM TERMOLAR CHIMARRITA 1L BEGE;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
6265;GFA TERM TERMOLAR MAGIC PUMP 1L PTA;15927;TERMOLAR SA
6269;GFA TERM TERMOLAR MAGIC PUMP 1 8L PRETA;15927;TERMOLAR SA
6281;GIZ DE CERA ACRILEX FINO 12UN;4458;ACRILEX TINTAS ESPECIAIS S.A
6289;GRANULADO HIGIENICO ECO CATCATY 2KG;8423;DZ PETS LTDA
6302;HAMBURGUER PERDIGAO 56G BOVINO 605794;12167;BRF S.A
6304;HAMBURGUER EMPANADO LAR 100G FGO;10674;COOP AGROINDUSTRIAL LAR
6306;HAMBURGUER FRIBOI 56G BOVINO;16488;JBS S A
6307;HAMBURGUER PERDIGAO 56G FRANGO HFG;12167;BRF S.A
6308;HAMBURGUER PERDIGAO 90G SUAV 651058;12167;BRF S.A
6309;HAMBURGUER PERDIGAO 672G BOVINO HBE;12167;BRF S.A
6310;HAMBURGUER SADIA HBPE 672G BOVINO;12167;BRF S.A
6317;HOT POCKET SADIA 145G X BACON;12167;BRF S.A
6318;HOT POCKET SADIA 145G X FRANGO POSF FRANGO POSF;12167;BRF S.A
6319;HOT POCKET SADIA 145G X BARBECUE;12167;BRF S.A
6320;HOT POCKET SADIA 145G X BURGUE MAIONESE;12167;BRF S.A
6321;HOT POCKET SADIA 145G X BURGUER;12167;BRF S.A
6322;HOT POCKET SADIA 145G X PICANHA POSP;12167;BRF S.A
6331;INSET AE SBP LV PG 450ML AEDES AEGY;15318;PODAL IND E COM DE ALIMENTOS LTDA
6335;INSET AERO BAYGON 360ML ACAO TOTAL;6644;ONIZ DISTRIBUID LTDA SCJ
6337;INSET AERO BAYGON 360ML ULTRA;6644;ONIZ DISTRIBUID LTDA SCJ
6340;INSET AERO RAID 420ML BASE AGUA;6644;ONIZ DISTRIBUID LTDA SCJ
6342;INSET AERO RAID 420ML EUCALIPTO;6644;ONIZ DISTRIBUID LTDA SCJ
6343;INSET AERO RAID 420ML MULTI INS ACQUA;6644;ONIZ DISTRIBUID LTDA SCJ
6346;INSET AERO SBP 360ML ULTRA BARREIRA;15318;PODAL IND E COM DE ALIMENTOS LTDA
6349;INSET AERO SBP 380ML MULTI INSETICIDA;15318;PODAL IND E COM DE ALIMENTOS LTDA
6351;INSET AERO SBP LV M PG M 450ML EUCALIPTO;15318;PODAL IND E COM DE ALIMENTOS LTDA
6354;INSET ISCA RAID 6UN MATA BARATAS;6644;ONIZ DISTRIBUID LTDA SCJ
6362;INSET SBP RF ELE 45NOI APAR GTS;15318;PODAL IND E COM DE ALIMENTOS LTDA
6364;INSET SBP RF ELETRICO 45 NOITES REGULAR;15318;PODAL IND E COM DE ALIMENTOS LTDA
6371;IOG DANONE ACTIVIA 800G AMEIXA;14112;DANONE LTDA
6372;IOG DANONE ACTIVIA 800G AVEIA;14112;DANONE LTDA
6373;IOG DANONE ACTIVIA 800G MORANGO;14112;DANONE LTDA
6383;IOG BATAVO 170G MORANGO;9379;LACTALIS BRASIL COM IMP EXP LTDA
6389;IOG CHAMBINHO 510G POLPA MORANGO;3542;DALLA SUL REPR LTDA
6390;IOG CHAMYTO GO 100G MOR;3542;DALLA SUL REPR LTDA
6399;IOG DANONE 160G NAT INT LAR CEN MEL;14112;DANONE LTDA
6400;IOG DANONE 160G NAT INT MEL;14112;DANONE LTDA
6401;IOG DANONE 160G NATURAL INTEGRAL;14112;DANONE LTDA
6402;IOG DANONE 160G NATURAL DESNATADO;14112;DANONE LTDA
6403;IOG DANONE 170G FRUTAS;12366;AZANELLA REPRESENTACAO LTDA
6404;IOG DANONE 170G MORANGO;12366;AZANELLA REPRESENTACAO LTDA
6405;IOG DANONE 510G POLPA KIDS MORANGO;14112;DANONE LTDA
6412;IOG DANONINHO DANONE 100G MORANGO;14112;DANONE LTDA
6413;IOG ELEGE POLPA 510G MOR VIT;9379;LACTALIS BRASIL COM IMP EXP LTDA
6435;IOG GREGO NESTLE 540G TRAD MOR;3542;DALLA SUL REPR LTDA
6436;IOG NESTLE GREGO 90G CALDA COCO;3542;DALLA SUL REPR LTDA
6464;IOG MOLICO NESTLE 170G BAUNILHA;3542;DALLA SUL REPR LTDA
6476;IOG NESTLE 1250G MORANGO;3542;DALLA SUL REPR LTDA
6477;IOG NESTLE BI CAMADA 150G MORANGO;3542;DALLA SUL REPR LTDA
6479;IOG NESTLE 160G NATURAL DESNATADO;3542;DALLA SUL REPR LTDA
6480;IOG NESTLE 170G INTEGRAL MEL;3542;DALLA SUL REPR LTDA
6482;IOG NESTLE 170G NATURAL TRAD;3542;DALLA SUL REPR LTDA
6483;IOG NESTLE 170G NATURAL CEN/LAR/MEL;3542;DALLA SUL REPR LTDA
6484;IOG NESTLE 510G POLPA 2 SABORES;3542;DALLA SUL REPR LTDA
6485;IOG NESTLE 510G POLPA MORANGO;3542;DALLA SUL REPR LTDA
6486;IOG NESTLE 900G MORANGO;3542;DALLA SUL REPR LTDA
6488;IOG NINHO FRUTI NESTLE 250G MORANGO;3542;DALLA SUL REPR LTDA
6489;IOG NINHO POUCH 100G MACA BAN;3542;DALLA SUL REPR LTDA
6491;IOG NINHO NESTLE 850G MACA BANANA;3542;DALLA SUL REPR LTDA
6492;IOG NINHO NESTLE 240G MACA BANANA;3542;DALLA SUL REPR LTDA
6581;JARRA SANREMO 2L SR788 5;13254;SANREMO S E A
6598;KIMELEKA ACRILEX C/GLITTE SORT 180G;4458;ACRILEX TINTAS ESPECIAIS S.A
6615;KIT SH SEDA SH 300 COND 190ML CERAMIDAS;17017;ZAFFALON E CIA LTDA
6616;KIT SH SEDA SH 300 COND 190ML COLAGENO VITAMI;17017;ZAFFALON E CIA LTDA
6617;KIT SH SEDA SH 300 COND 190ML LISO PERFEITO;17017;ZAFFALON E CIA LTDA
6630;LAVA LOUCA YPE 450G PO;4435;QUIMICA AMPARO LTDA
6631;LAMP ELGIN BULBO 9W 6500K 220V;9442;ELGIN DISTRIBUIDORA LTDA
6633;LAMP KIAN HALOGENA 70W 220V;3626;KIAN IMPORTACAO LTDA
6662;LASANHA PERDIGAO 600G BOLONHESA;12167;BRF S.A
6663;LASANHA PERDIGAO 600G CALABRESA;12167;BRF S.A
6664;LASANHA PERDIGAO 600G FGO BACON;12167;BRF S.A
6678;LAVA R BRILHANTE 500ML LI TOT P/DIL;17017;ZAFFALON E CIA LTDA
6679;LAVA R BRILHANTE 500ML CON P/DILUIR;17017;ZAFFALON E CIA LTDA
6681;LAVA ROUPA AQUAFAST 2L GLICERINA;3947;AQUAFAST PROD LIMPEZA/HIGIENE LTDA
6682;LAVA ROUPA AQUAFAST 2L MULTIACAO;3947;AQUAFAST PROD LIMPEZA/HIGIENE LTDA
6683;LAVA ROUPA AQUAFAST 3L MULTIACAO;3947;AQUAFAST PROD LIMPEZA/HIGIENE LTDA
6686;LAVA ROUPA ARIEL 1 2L CONCENTRADO DOWNY;6644;ONIZ DISTRIBUID LTDA SCJ
6687;LAVA ROUPA ARIEL 1 5L CLASSIC SACHE BRANCAS E COLO;6644;ONIZ DISTRIBUID LTDA SCJ
6688;LAVA ROUPA ARIEL 3L CLASSICO;6644;ONIZ DISTRIBUID LTDA SCJ
6689;LAVA ROUPA ARIEL 700ML CLASSIC REF;6644;ONIZ DISTRIBUID LTDA SCJ
6692;LAVA ROUPA BRILHANTE 3L LIMPEZA TOTAL;17017;ZAFFALON E CIA LTDA
6694;LAVA ROUPA BRILHANTE 3L HIGIENE TOTAL;17017;ZAFFALON E CIA LTDA
6697;LAVA ROUPA BRILHANTE 900ML HIGIENE TOTAL;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
6698;LAVA ROUPA BRILHANTE 900ML LIMPEZA TOTAL;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
6712;LAVA ROUPA OMO 3L PURO CUIDADO;17017;ZAFFALON E CIA LTDA
6713;LAVA ROUPA OMO 3L LAVAGEM PERFEIT;17017;ZAFFALON E CIA LTDA
6716;LAVA ROUPA OMO 450ML DELIC COCO;17017;ZAFFALON E CIA LTDA
6719;LAVA ROUPA OMO 500ML CONC P/DILUIR;17017;ZAFFALON E CIA LTDA
6725;LAVA ROUPA OMO 7L LAVAGEM PERFEITA;17017;ZAFFALON E CIA LTDA
6726;LAVA ROUPA OMO 900ML PURO CUI DOY;17017;ZAFFALON E CIA LTDA
6731;LAVA ROUPA OMO 900ML LAV PERF DOYP;17017;ZAFFALON E CIA LTDA
6732;LAVA ROUPA OMO500ML CONC P DIL GF3L LAVAGEM PERFEI;17017;ZAFFALON E CIA LTDA
6735;LAVA ROUPA SURF 3L CUIDADO COCO;17017;ZAFFALON E CIA LTDA
6736;LAVA ROUPA SURF 3L LAVANDA;17017;ZAFFALON E CIA LTDA
6738;LAVA ROUPA SURF 900ML 5 EM 1 LAVANDA;17017;ZAFFALON E CIA LTDA
6739;LAVA ROUPA TIXAN 3L PRIMAVERA;4434;QUIMICA AMPARO LTDA.
6740;DET LIQ TIXAN YPE LV3L PG2 7L;4434;QUIMICA AMPARO LTDA.
6741;LAVA ROUPA UAU 3L ACTIVE;3266;NILO TOZZO DISTRIBUIDORA LTDA
6753;IOG DANONE ACTIVIA ZERO 510G AMEIXA;14112;DANONE LTDA
6754;IOG DANONE ACTIVIA 340G AMEIXA;14112;DANONE LTDA
6756;IOG DANONE ACTIVIA 170G AMEIXA;14112;DANONE LTDA
6757;LEITE FERM ACTIVIA DANONE 400G AMEIXA;14112;DANONE LTDA
6760;IOG DANONE ACTIVIA 340G AVEIA;14112;DANONE LTDA
6762;IOG DANONE ACTIVIA POLPA 510G MAMAO/CEREAL;14112;DANONE LTDA
6765;IOG DANONE ACTIVIA POLPA 510G MORANGO;14112;DANONE LTDA
6767;IOG DANONE ACTIVIA 170G MORANGO;14112;DANONE LTDA
6768;IOG DANONE ACTIVIA ZERO 510G MORANGO;14112;DANONE LTDA
6775;LEITE FERM CHAMYTO NESTLE 450G TRAD;3542;DALLA SUL REPR LTDA
6780;LEITE NINHO UHT TP LEVINHO 1L SEMI DESNATADO;16169;LATICINIOS BELA VISTA LTDA
6781;LEITE LV EDGE ELEGE 1L INTEGRAL;9379;LACTALIS BRASIL COM IMP EXP LTDA
6782;LEITE UHT TIROL C TAMPA 1L DESN;15208;LATICINIOS TIROL LTDA.
6783;LEITE UHT TIROL C TAMPA 1L INTEGRAL;15208;LATICINIOS TIROL LTDA.
6784;LEITE UHT TIROL C TAMP 1L SEMI DESN;15208;LATICINIOS TIROL LTDA.
6785;LEITE LV EDGE ELEGE 1L DESNATADO;9379;LACTALIS BRASIL COM IMP EXP LTDA
6786;LEITE LV EDGE ELEGE 1L SEMI DESNATADO;9379;LACTALIS BRASIL COM IMP EXP LTDA
6787;LEITE LV ELEGE 1L ZERO LAC SEMI DES;9379;LACTALIS BRASIL COM IMP EXP LTDA
6790;LEITE UHT NINHO 1L ZERO LACTOSE;16169;LATICINIOS BELA VISTA LTDA
6791;LEITE UHT PET ELEGE 1L DESNATADO;9379;LACTALIS BRASIL COM IMP EXP LTDA
6792;LEITE UHT PET ELEGE 1L INTEGRAL;9379;LACTALIS BRASIL COM IMP EXP LTDA
6793;LEITE UHT PET ELEGE 1L SEMI DESNATADO;9379;LACTALIS BRASIL COM IMP EXP LTDA
6795;LEITE UHT TIROL 1L ZERO LAC;15208;LATICINIOS TIROL LTDA.
6796;LEITE UHT MOLICO 1L ZERO LACTOSE;16169;LATICINIOS BELA VISTA LTDA
6797;LEITE UHT PIRACANJUBA 1L SEMI DES ZR LAC;16169;LATICINIOS BELA VISTA LTDA
6798;LEITE SANTA CLARA 1L SENIOR 50;14212;COOP SANTA CLARA LTDA FRIGORIFICO
6799;LEITE SANTA CLARA 1L ZERO LACTOSE;10421;COOP SANTA CLARA LTDA IND DE LATICINIOS
6800;LEITE UHT MOLICO TP 1L DESNAT;16169;LATICINIOS BELA VISTA LTDA
6801;LEITE UHT TP NINHO 1L INTEGRAL;16169;LATICINIOS BELA VISTA LTDA
6823;IOG DANONE ACTIVIA CAFE MANHA 170G AMARANTO MAMAO;14112;DANONE LTDA
6824;IOG DANONE ACTIVIA CAFE MANHA 170G LINHACA MOR BAN;14112;DANONE LTDA
6825;IOG DANONE ACTIVIA CAFE MANHA 170G QUINOA E FR VRM;14112;DANONE LTDA
6839;LIMP MULTI USO AJAX BQ FLORES 500ML FLORES CAMPO;15318;PODAL IND E COM DE ALIMENTOS LTDA
6849;LIMP BANH MR MUSC 20 500ML SQUEEZ;6644;ONIZ DISTRIBUID LTDA SCJ
6853;LIMP BRAVO 500ML RF LAVANDA;6644;ONIZ DISTRIBUID LTDA SCJ
6860;LIMP DESTAC 20PCT GTS 750ML LAMINADO;15318;PODAL IND E COM DE ALIMENTOS LTDA
6861;LIMP DESTAC 750ML CERAMICA;15318;PODAL IND E COM DE ALIMENTOS LTDA
6865;LIMP M USO VEJA 10DESC500ML OR AZUL;15318;PODAL IND E COM DE ALIMENTOS LTDA
6867;LIMP M USO VEJA 500ML JOJO MARCA ENVOLV;15318;PODAL IND E COM DE ALIMENTOS LTDA
6868;LIMP M USO VEJA 500ML JOJO MODER PODEROSA;15318;PODAL IND E COM DE ALIMENTOS LTDA
6870;LIMP M USO VEJA 500ML POWER FUSION LARANJA;15318;PODAL IND E COM DE ALIMENTOS LTDA
6874;LIMP M USO YPE 500ML CLASSICO;4434;QUIMICA AMPARO LTDA.
6875;LIMP M USO YPE 500ML NAT C ODOR;4434;QUIMICA AMPARO LTDA.
6877;LIMP M USO YPE 500ML TIRA MANCHAS;4434;QUIMICA AMPARO LTDA.
6878;LIMP MULTIUSO VEJA 10PCT DESC 500ML CAMPEST;15318;PODAL IND E COM DE ALIMENTOS LTDA
6879;LIMP MULTIUSO VEJA 10PCT DESC 500ML FLORAL;15318;PODAL IND E COM DE ALIMENTOS LTDA
6880;LIMP MULTIUSO VEJA 10PCT DESC 500ML LAVANDA;15318;PODAL IND E COM DE ALIMENTOS LTDA
6882;LIMP MULT CIF GTS 15 500ML ANTIBAC;17017;ZAFFALON E CIA LTDA
6884;LIMP MULT Q BOA 500ML LAVANDA;9499;INDUSTRIAS ANHEMBI LTDA.
6885;LIMP MULT Q BOA 500ML USO;9499;INDUSTRIAS ANHEMBI LTDA.
6894;LIMP MULTI UAU 500ML ROSAS E SEDUCAO;3266;NILO TOZZO DISTRIBUIDORA LTDA
6896;LIMP PERF CIF 450ML HARMONIZANTE;17017;ZAFFALON E CIA LTDA
6897;LIMP PERF CIF 450ML PURIFICANTE;17017;ZAFFALON E CIA LTDA
6899;LIMP PERF CIF 900ML HARMONIZANTE;17017;ZAFFALON E CIA LTDA
6902;LIMP PERF UAU L2 P1600 ML FLORES VERMELHA;3266;NILO TOZZO DISTRIBUIDORA LTDA
6905;LIMP PERF YPE 1L AZ TROPICAL;4434;QUIMICA AMPARO LTDA.
6914;LIMP PES VEJA 20PCTO DESC 1L ORIGINAL;15318;PODAL IND E COM DE ALIMENTOS LTDA
6915;LIMP PES VEJA LV500PG400ML CLORO 2EM1;15318;PODAL IND E COM DE ALIMENTOS LTDA
6917;LIMP PESADA VEJA 500ML CLORO;15318;PODAL IND E COM DE ALIMENTOS LTDA
6919;LIMP PESADA YPE 1L ORIGINAL;4434;QUIMICA AMPARO LTDA.
6924;LIMP SANIT PATO L750 P500ML LAVANDA;6644;ONIZ DISTRIBUID LTDA SCJ
6925;LIMP TIRA LIM CIF 500ML CLORO SPRAY;17017;ZAFFALON E CIA LTDA
6942;LIMPA CARPETE VANISH 500ML R2000;15318;PODAL IND E COM DE ALIMENTOS LTDA
6944;LIMPA FORNO E FOGAO EASY OFF 275G;15318;PODAL IND E COM DE ALIMENTOS LTDA
6948;LIMPA VIDRO ULT RAP CIF 450ML DOYP;17017;ZAFFALON E CIA LTDA
6951;LIMPA VDO VIDREX 20PCT DESC 500ML C ALCOOL;15318;PODAL IND E COM DE ALIMENTOS LTDA
6958;LIQUIDO NUGGET 60ML PRETO;15318;PODAL IND E COM DE ALIMENTOS LTDA
6986;LIXEIRA PLASVALE C/PED 13L REF182 COR 8300;10171;IND.DE PLASTICOS DO VALE DO ITAJAI LTDA
6990;LIXEIRA SANREMO BASCULANTE GD 280;13254;SANREMO S E A
7019;LUSTRA MOVEIS KING 200ML PEROBA F CAMPO;13123;MANUFATURA PRODUTOS KING LTDA
7022;LUSTRA MOVEIS YPE 200ML JASMIM;4435;QUIMICA AMPARO LTDA
7033;MACN CHEESE SADIA 300G BACON;12167;BRF S.A
7048;MANTEIGA AVIACAO 200G C/SAL LATA;15601;GONCALVES SALLES S E A
7051;MANTEIGA ELEGE 200G COM SAL;9379;LACTALIS BRASIL COM IMP EXP LTDA
7052;MANTEIGA ELEGE 200G SEM SAL;9379;LACTALIS BRASIL COM IMP EXP LTDA
7054;MANTEIGA GALBANI 200G C/SAL;3542;DALLA SUL REPR LTDA
7063;MARG MANTEIGA BECEL 500G C/SAL;12167;BRF S.A
7064;MARGAR QUALY 500G LIGHT Z LAC C/SAL;12167;BRF S.A
7065;MARGARINA BECEL 500G COM SAL;12167;BRF S.A
7066;MARGARINA BECEL 500G SEM SAL;12167;BRF S.A
7067;MARGARINA CLAYBOM 500G COM SAL;12167;BRF S.A
7068;MARGARINA CLAYBOM 500G SEM SAL;12167;BRF S.A
7070;MARGARINA CREMOSY 500G COM SAL;3528;FABIANO ZAFFALON E CIA.
7071;MARG DELICIA TABLETE 100G C SAL;3527;FABIANO ZAFFALON E CIA LTDA
7072;MARGARINA DELICIA 500G COM SAL;3528;FABIANO ZAFFALON E CIA.
7073;MARGARINA DELICIA 500G SEM SAL;3528;FABIANO ZAFFALON E CIA.
7075;MARGARINA DORIANA 500G COM SAL;16351;SEARA ALIMENTOS LTDA
7076;MARGARINA DORIANA 500G SEM SAL;16351;SEARA ALIMENTOS LTDA
7077;MARGARINA DUALIS 500G C SAL;11522;COAMO AGROINDUSTRIAL COOPERATIVA
7080;MARGARINA QUALY 1KG COM SAL;12167;BRF S.A
7081;MARGARINA QUALY 250G COM SAL;12167;BRF S.A
7083;MARGARINA QUALY 250G SEM SAL;12167;BRF S.A
7084;MARGARINA QUALY 500G AERADA;12167;BRF S.A
7085;MARGARINA QUALY 500G COM SAL;12167;BRF S.A
7086;MARGARINA QUALY 500G SEM SAL;12167;BRF S.A
7112;MASCARA SALON OPUS 400G VIOLET;3266;NILO TOZZO DISTRIBUIDORA LTDA
7154;CORRETIVO MAXI FRAMA 18ML;13115;FRAMA INDUSTRIA GRAFICA LTDA
7161;MINI CHICKEN PERDIGAO 275G TRAD;12167;BRF S.A
7169;RACAO PAPAGAIO AGUIA 390G;2881;TOZZO ALIMENTOS LTDA
7193;MORTADELA PERDIGAO 200G TRAD;12167;BRF S.A
7194;MORTADELA PERDIGAO 400G FRANGO;12167;BRF S.A
7195;MORTADELA PERDIGAO 400G C TOUCINHO;12167;BRF S.A
7196;MORTADELA PERDIGAO 400G S TOUCINHO;12167;BRF S.A
7197;MORTADELA SADIA 1KG C GORD MFGY;12167;BRF S.A
7201;ALVEJ MULTI USO VANISH 1 5L SEM CLORO;15318;PODAL IND E COM DE ALIMENTOS LTDA
7202;ALVEJ MULTI USO VANISH 1 5L WHITE;15318;PODAL IND E COM DE ALIMENTOS LTDA
7211;NATA TIROL 300G;15208;LATICINIOS TIROL LTDA.
7213;ALIM CAO NHOCK SUPRA 10 1KG;11810;ALISUL ALIMENTOS S.A.
7216;NUGGETS FGO SADIA 300G CROCANTE NGTCT;12167;BRF S.A
7217;NUGGETS FGO SADIA 300G QUEIJO NGECS;12167;BRF S.A
7218;NUGGETS FGO SADIA 300G TRADICION NGTMT;12167;BRF S.A
7229;OLEO BRON VINI LADY 150ML COC/UR F6;11250;DARTORA & IRMAO LTDA
7256;PALITO DENTAL GABOARDI 80UN PREMIUM;7076;S.A.FOSFOROS GABOARDI
7274;PANO DURAMAX SCOTT 58UN;3527;FABIANO ZAFFALON E CIA LTDA
7288;PAO BAUDUCCO 390G GRAOS CLASSICOS;15497;PANDURATA ALIMENTOS LTDA
7289;PAO BAUDUCCO 390G INTEGRAL;15497;PANDURATA ALIMENTOS LTDA
7290;PAO BAUDUCCO 390G TRADICIONAL;15497;PANDURATA ALIMENTOS LTDA
7296;PAO ALHO SANTA MASSA 400G TRAD;10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA
7297;PAO ALHO SANTA MASSA 240G PICANTE;10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA
7300;PAO FORMA PULLMAN 480G;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7301;PAO FORMA PULLMAN 500G ARTESANO;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7302;PAO FORMA PULLMAN 500G INTEG ARTES;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7303;PAO FORMA TCHE PAO 450G;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7304;PAO FORMA TCHE PAO INT. E ZERO 500G INTEGRAL;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7307;PAO NUTRELLA 350G CAST PARA /QUIN;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7308;PAO NUTRELLA 350G CRAN QUIN/HIBIS;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7309;PAO NUTRELLA 450G 14 GRAOS VITTA;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7311;PAO NUTRELLA 450G GRAOS CASTANHAS;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7312;PAO NUTRELLA 550G SUPREME;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7313;PAO NUTRELLA 550G SUPREME FTAS GRAOS CAST;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7315;PAO PULLMAN 350G ZERO 12 GRAOS;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7317;PAO PULLMAN 420G HAMBURGUER C GERGE;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7319;PAO PULLMAN 450G 12 GRAOS;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7320;PAO PULLMAN 450G INT 7 GRAOS;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7321;PAO PULLMAN 450G INT GRAOS/CAST;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7323;PAO PULLMAN 480G INTEGRAL;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7324;PAO PULLMAN 500G NA CHAPA ARTESANO;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7325;PAO PULLMAN 520G HAMBURGUER;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
7327;PAO QUEIJO EXCELSIOR 400G;7344;EXCELSIOR ALIMENTOS S.A.
7328;PAO TCHE PAO 220G HAMBURGUER;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7329;PAO TCHE PAO 300G HOT DOG PAO TCHE PAO 30;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7330;PAO TCHE PAO 450G 15 GRAOS;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7331;PAO CASEIRO 500G PAO TCHE PAO 50;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7332;PAO TCHE PAO 500G ATELIE;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7333;PAO TCHE PAO 500G LEITE;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7335;PAO TCHE PAO 400G TORTA FRIA S/CASC;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7336;PAO TCHE PAO 400G INT LEVE CENTEIO;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7337;PAO TCHE PAO 400G INT LEVE INTEGRAL;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7338;PAO TCHE PAO 400G INT LEVE MULTICEREAIS;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7341;PAO TCHE PAO 350G INTEGRAL PRETO;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7342;PAO VISCONTI 400G INTEGRAL;15497;PANDURATA ALIMENTOS LTDA
7343;PAO VISCONTI 400G TRADICIONAL;15497;PANDURATA ALIMENTOS LTDA
7344;PAO TCHE PAO 500G XIS;16654;NOP IND E COM DE ALIMENTOS LTDA EPP
7345;PAPEL ALUMINIO ROYAL PACK 45CMX4 0M;8430;WAC IMPORTACAO E EXPORTACAO LTDA
7346;PAPEL ALUMINIO ROYAL PACK 30CMX4M;8430;WAC IMPORTACAO E EXPORTACAO LTDA
7348;PAPEL ALUMINIO ROYAL PACK 45CMX7 5M;8430;WAC IMPORTACAO E EXPORTACAO LTDA
7353;PAPEL HIG ATUALLE 20M FLA DP 32UN NEUTRO COMPACTO;10190;MILI S/A
7354;PAPEL HIG DUETTO FD 12 UN DE 30M NEUTRO;12839;SEPAC-SERRADOS E PASTA DE CELULOSE LTDA.
7355;PAPEL HIG DUETTO 4 UN DE 30M NEUTRO;12839;SEPAC-SERRADOS E PASTA DE CELULOSE LTDA.
7358;PAPEL HIG MILI NEUTRO FHA DPL 30M 12UN;10190;MILI S/A
7366;PAPEL HIG STYLUS 12 UN DE20M NEUTRO;12839;SEPAC-SERRADOS E PASTA DE CELULOSE LTDA.
7376;PAPEL TOALHA MAXIM STYLUS 2RL 50UN;12839;SEPAC-SERRADOS E PASTA DE CELULOSE LTDA.
7377;PAPEL TOALHA MILI 3UN;10190;MILI S/A
7415;PEDRA PATO 25G 25% DESC MARINE;6644;ONIZ DISTRIBUID LTDA SCJ
7421;PEDRA SANIT HARPIC 20G 40 GTS 40PCT PINHO CAMP;15318;PODAL IND E COM DE ALIMENTOS LTDA
7422;PEDRA SANIT HARPIC AIR PLUS 25G PLUS CITRUS;15318;PODAL IND E COM DE ALIMENTOS LTDA
7425;PEDRA SANITARIA SANI SOL 20G JASMIN;5866;ADESUL IND E COM LTDA
7446;PILHA PANASONIC ULTRA HYPER PAL 4UN;10142;KASADOCE DISTRIBUIDORA DE ALIMENTOS LTDA
7463;PIZZA SADIA 440G MUSSARELA;12167;BRF S.A
7464;PIZZA SADIA 460G CALABRESA;12167;BRF S.A
7465;PIZZA SADIA 460G FGO REQUEI MUSS;12167;BRF S.A
