NROPEDIDOSUPRIM;NROEMPRESA;CENTRALLOJA;SEQCOMPRADOR;SEQFORNECEDOR;TIPPEDIDOSUPRIM;SITUACAOPED;DTAEMISSAO;DTARECEBTO;DTALIMITERECEBTO;PZOPAGAMENTO;DTAVENCTOFIXA;CONDICAOFRETE;TXVENDOR;NROPEDFORNECEDOR;ADVRECEBIMENTO;ADVEXPEDICAO;OBSERVACAO;USUINCLUSAO;DTAHORINCLUSAO;USUAPROVACAO;DTAAPROVACAO;USUIMPRESSAO;DTAIMPRESSAO;USUALTERACAO;DTAALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;SEQADMESTQLOTE;SEQFINALIDBONIF;NROEMPRESAFAT;NROEMPRESALOGADA;NROPEDIDOBONIF;QTDTOTSOLICITADA;QTDTOTRECEBIDA;QTDTOTCANCELADA;SITUACAOQTDE;QTDTOTTRANSITO;SEQGERCOMPRA;CODORIGEM;VLRTOTPEDIDO;VLRTOTCANCELADO;VLRTOTRECEBIDO;NROPEDSUPRIMORIG;NROEMPRESAORIG;CENTRALLOJAORIG;SEQATACCOTACAO;CODGERALOPER;VLRFRETERETIRA;USUGEREDI;DTAHORGEREDI;USUALTERACAOEDI;DTAHORREENVEDI;USUREENVEDI;PERDESCDF;SEQTRANSPORTADOR;NROPEDSUPRIMORIGEDI;CATEGORIAABASTECAUTO;TXCOMPROR;PRAZOPAGTOCOMPROR;SEQFORNECEDI;NROPEDFORNECEDORNUM;SEQNROPEDIDOSUPRIM;NROACORDO;NROEMPRESAACORDO;INDUTILCSSEMACORDO;INDUTILCONTRSALDACORD;SEQCCACORDOASSOC;SEQCCACORDOPROMOC;NROREQUISICAO;INDESTTROCA;NROPEDIDOORIGEMMACX;SEQCONDCONDPRAZOPAGTO;INDUSAREGIAOCOMPRA;ENVIAEMAIL;INDTIPOEMBALAGEM;VLRTOTNAOPARTLIMCOMPRA;DTARECEBTOORIGINAL;TIPOPEDVENDA;INDIMPDIRETABONIF;INDTRANSFEMPSEC;NEGOCIACAO;NEGOCIACAOANT;USUMARCNEGOCIACAO;DTAHORMARCNEGOCIACAO;USUDESMARCNEGOCIACAO;DTAHORDESMARCNEGOCIACAO;CODIGOPENDENCIA;MOTIVOPENDENCIA;JUSTIFICATIVAAPROVACAO;DTAEMISSAOORIGINAL;SEQCONTRATO;SEQEXPFLUXOCAIXA;INDPEDBONIFACORDOPROMOC;INDPEDANALISADOALTPRECO;DTAHORAULTEMAIL;DIASPRORROGACAO;USUAPROVDESVINCULONFE;JUSTDESVINCULONFE;QTDTOTAPROVADA;INDUTILAPROVWEB;INDUTILLIMCOMPRWEB;IDPEDIDOEXTERNO;APPORIGEM
22951;14;C;9;15;T;P;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;22950;;;;AUTOMATICO;2026-02-19-04.20.29.000000;;;;;;2026-02-19-04.20.31.000000;S;;;;;15;;1914;1470;444;T;0;20521;;5523,4;1297,88;4225,52;;;;;;;;;;;;;;;;;;;22950;22780;;;;;;;;;;;;;;0;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;12737;;;;;;;1914;N;N;;
22952;15;C;9;15;X;A;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-19-04.20.29.000000;AUTOMATICO;2026-02-19-00.00.00.000000;;;AUTOMATICO;2026-02-19-00.00.00.000000;S;;;;;15;;;;;T;;20521;;;;;;;;;;;;;;;;;;;;;;;;22781;;;;;;;;;;;;;;;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;6843;;;;;;;;N;N;;
22953;17;C;9;15;T;C;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;22952;;;;AUTOMATICO;2026-02-19-04.20.29.000000;;;;;;2026-02-19-04.20.31.000000;S;;;;;15;;1704;0;1704;T;0;20521;;4983,41;4983,41;;;;;;;;;;;;;;;;;;;;22952;22782;;;;;;;;;;;;;;0;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;9272;;;;;;;1704;N;N;;
22954;15;C;9;15;X;A;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-19-04.20.29.000000;AUTOMATICO;2026-02-19-00.00.00.000000;;;AUTOMATICO;2026-02-19-00.00.00.000000;S;;;;;15;;;;;T;;20521;;;;;;;;;;;;;;;;;;;;;;;;22783;;;;;;;;;;;;;;;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;6843;;;;;;;;N;N;;
22955;18;C;9;15;T;P;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;22954;;;;AUTOMATICO;2026-02-19-04.20.29.000000;;;;;;2026-02-19-04.20.31.000000;S;;;;;15;;576;228;348;T;0;20521;;1640,5;1035,16;605,34;;;;;;;;;;;;;;;;;;;22954;22784;;;;;;;;;;;;;;0;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;9840;;;;;;;576;N;N;;
22956;15;C;9;15;X;E;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-19-04.20.46.000000;ALSOARES;2026-03-12-10.08.03.000000;;;JOBAUTOM;2026-03-12-15.25.27.000000;S;;;;;15;;;;;T;;20523;;;;;;;;;;;;;;;;;;;;;;;;22785;;;;;;;;;;;;;;;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;6843;;;;;;;;N;N;;
22957;3;C;9;15;T;P;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;22956;;;;AUTOMATICO;2026-02-19-04.20.46.000000;;;;;;2026-02-19-04.20.47.000000;S;;;;;15;;36994;7472;29522;T;0;20523;;172836,45;147655,26;0;;;;;;;;;;;;;;;;;;;22956;22786;;;;;;;;;;;;;;0;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;21267;;;;;;;36994;N;N;;
22958;16;L;9;16;X;A;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-19-04.21.50.000000;AUTOMATICO;2026-02-19-00.00.00.000000;;;AUTOMATICO;2026-02-19-00.00.00.000000;S;;;;;16;;;;;T;;20524;;;;;;;;;;;;;;;;;;;;;;;;22787;;;;;;;;;;;;;;;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;6843;;;;;;;;N;N;;
22959;1;L;9;16;T;P;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;22958;;;;AUTOMATICO;2026-02-19-04.21.50.000000;;;;;;2026-02-19-04.21.50.000000;S;;;;;16;;166;1;165;T;0;20524;;739,99;719,22;20,77;;;;;;;;;;;;;;;;;;;22958;22788;;;;;;;;;;;;;;0;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;14247;;;;;;;166;N;N;;
22960;16;L;9;16;X;A;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-19-04.21.50.000000;AUTOMATICO;2026-02-19-00.00.00.000000;;;AUTOMATICO;2026-02-19-00.00.00.000000;S;;;;;16;;;;;T;;20524;;;;;;;;;;;;;;;;;;;;;;;;22789;;;;;;;;;;;;;;;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;6843;;;;;;;;N;N;;
