codigo;descricao consinco;embalagem
35415;BAND B4 AMARELA;1
12345026;BAND B2 PRETA;1
35449;BAND B3 PRETA;1
35453;BAND B4 PRETA;1
35952;POTE G32 NESTLE;1
37604;CONS FRANGO ASSADO DOMO;200
36140;EMBALAGEM FRANGO BASE;200
35357;POTE G10;200
36123;POTE G8;1
35953;POTE G50;1
35954;POTE NESTLE G50;1
36104;POTE G742;200
36105;POTE G771;200
36073;FILME  PALETIZAÇÃO;1
36138;FILME P/ALIMENTO 1000M;1
35472;BAND RETANG FRIOS ;1
35378;ARMADILHA LUMINOSA;1
35506;REFIL P/ ARMADILHA LUMINOSA;1
34738;FARINHA P/ PÃO PANFACIL 25 KG;1
35366;AMARELINHO;1
35406;SENHA DO AÇOUGUE;1
3613;EMBALAGEM FRANGO TAMPA;1
12345027;GRAMPO ARQUEAR PET 13MM;1
36094;PROMOCIONAL;1
36641;CARTAZ SUPER A3V OFERTA 48X32;500
35858;CARTAZ  A3 AMARELO 48X32CM;500
35911;CARTAZ SUPER A3V APROVEITE 42X30CM;500
35849;CARTAZ  A6H OFERTA;500
35842;CARTAZ  A6H APROVEITE;500
35810;CARTAZ  A3V OFERTA 42X30CM;500
35835;CARTAZ  A5H OFERTA;500
35840;CARTAZ  A5V OFERTA;500
35825;CARTAZ  A5H APROVEITE;500
35814;CARTAZ  A4V OFERTA;500
35838;CARTAZ  A5V APROVEITE;500
35852;CARTAZ  A6V OFERTA ;500
35802;CARTAZ A3H APROVEITE 30X42CM;500
35812;CARTAZ  A4V APROVEITE;500
35828;CARTAZ  A5H LANCAMENTO;500
35898;CARTAZ  A6H  LANCAMENTO;500
35805;CARTAZ  A3V APROVEITE 42X30;500
35888;CARTAZ A5 CLUBE MAIS;500
35882;CARTAZ A3 SUPER AMARELO;500
36099;FOLHETOS DIA DO REAL;500
35612;EMBAL SUCO LARANJA 1 LITRO;140
35619;EMBAL SUCO LARANJA 500 ML;250
35478;ROTULO SUCO 500ML ALEGRETE;1
35483;ROTULO SUCO 1L ALEGRETE;1
36132;ROTULO SUCO 500ML URUGUAIANA;1
36130;ROTULO SUCO 1L URUGUAIANA;1
36064;ETIQ COUCHE 100X60 VERDE;1
36057;ETIQ COUCHE 100X60 BRANCA;1
36066;ETIQUETA AUT COUCHE 90 MTS;1
36061;ETIQ COUCHE 100X60 SALMAO;1
36056;ETIQ COUCHE 100X60 AZUL;1
36065;ETIQ COUCHE 100X60 VERMELHA;1
36055;ETIQ COUCHE 100X60 AMARELA;1
36058;ETIQ COUCHE 100X60 LARANJA;1
36010;ETIQ COUCHE FLUOR;1
36060;ETIQ COUCHE ROXO;1
36007;ETIQ COUCHE PURPLE;1
36001;ETIQ COUCHE CYAN;1
36009;ETIQ COUCHE LARANJA ;1
36003;ETIQ COUCHE ORANGE ;1
35779;ORGANIZADOR PLAST ;1
35540;PULVERIZADOR DE PRESSÃO ;1
36145;KIT BEBE CONFORTO;1
35935;COPO ISOPOR ;1
36152;LAMPADA BULHO 9W;1
35738;LAMPADA ELGIN 65W;1
37388;LAMP TUBP LED 18W;1
36153;LAMP TUBP LED T8 20W;1
35739;LAMP TUBO LED T8 4000K;1
36154;LAMP ULTRAVIOLETA T8 15W;1
35376;TAMPA COPO ISOPOR ;1
