OWNER;TABLE_NAME;TABLESPACE_NAME;CLUSTER_NAME;IOT_NAME;STATUS;PCT_FREE;PCT_USED;INI_TRANS;MAX_TRANS;INITIAL_EXTENT;NEXT_EXTENT;MIN_EXTENTS;MAX_EXTENTS;PCT_INCREASE;FREELISTS;FREELIST_GROUPS;LOGGING;BACKED_UP;NUM_ROWS;BLOCKS;EMPTY_BLOCKS;AVG_SPACE;CHAIN_CNT;AVG_ROW_LEN;AVG_SPACE_FREELIST_BLOCKS;NUM_FREELIST_BLOCKS;DEGREE;INSTANCES;CACHE;TABLE_LOCK;SAMPLE_SIZE;LAST_ANALYZED;PARTITIONED;IOT_TYPE;TEMPORARY;SECONDARY;NESTED;BUFFER_POOL;FLASH_CACHE;CELL_FLASH_CACHE;ROW_MOVEMENT;GLOBAL_STATS;USER_STATS;DURATION;SKIP_CORRUPT;MONITORING;CLUSTER_OWNER;DEPENDENCIES;COMPRESSION;COMPRESS_FOR;DROPPED;READ_ONLY;SEGMENT_CREATED;RESULT_CACHE;CLUSTERING;ACTIVITY_TRACKING;DML_TIMESTAMP;HAS_IDENTITY;CONTAINER_DATA;INMEMORY;INMEMORY_PRIORITY;INMEMORY_DISTRIBUTE;INMEMORY_COMPRESSION;INMEMORY_DUPLICATE;DEFAULT_COLLATION;DUPLICATED;SHARDED;EXTERNAL;HYBRID;CELLMEMORY;CONTAINERS_DEFAULT;CONTAINER_MAP;EXTENDED_DATA_LINK;EXTENDED_DATA_LINK_MAP;INMEMORY_SERVICE;INMEMORY_SERVICE_NAME;CONTAINER_MAP_OBJECT;MEMOPTIMIZE_READ;MEMOPTIMIZE_WRITE;HAS_SENSITIVE_COLUMN;ADMIT_NULL;DATA_LINK_DML_ENABLED;LOGICAL_REPLICATION
CONSINCO;RF_SUBITEMOCORRENCIAS_IMPOSTOS;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.50.37.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MSUX_PSITEMEXPEDIRCONTROLESI;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;15;5;0;0;0;58;0;0;1;1;N;ENABLED;15;2026-04-26-22.49.19.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;TMP_AUXNFITEM_SELINV;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-05-17-22.50.47.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;TEMP_CTMS_ITEM_NOTAFISCAL;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.50.37.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MACX_IMPITEMLOTECOMPRA;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-05-17-22.49.46.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MRL_NFEITEMPEDIDO;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;81244;370;0;0;0;41;0;0;1;1;N;ENABLED;81244;2026-05-22-02.01.19.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;RF_FIS00260CODSUBITEM;TSD_CONSINCO;;;VALID;10;;1;255;;;;;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.51.09.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;NO;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;RF_FIS00260CODSUBITEMLOG;TSD_CONSINCO;;;VALID;10;;1;255;;;;;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.51.08.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;NO;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MFT_NFSERVITEM;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.50.37.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MSU_PSITEMEXPEDIRLOTE;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-05-17-22.49.57.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCODW;DIM_LISTAITEM;TSD_CONSINCODW;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;15301;28;0;0;0;9;0;0;1;1;N;ENABLED;15301;2026-04-24-02.01.15.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;FIX_COMPTITEMP;;;;VALID;10;40;1;255;;;;;;1;1;NO;N;;;;;;;;;1;1;N;ENABLED;;;NO;;Y;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;NO;NO;SYS$SESSION;DISABLED;NO;;DISABLED;DISABLED;;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
