TABLE_NAME;COLUMN_NAME;DATA_TYPE
MLO_CARGAEXPPRODLOTE;DTAFABRICACAO;DATE
MLO_CARGAEXPPRODLOTE;DTAVALIDADE;DATE
MLO_CARGARECARMAZSEPAR;DTAFABRICACAO;DATE
MLO_CARGARECARMAZSEPAR;DTAVALIDADE;DATE
MLO_CARGARECCONFAUX;DTAVALIDADE;DATE
MLO_CARGARECPRODLOTE;DTAVALIDADE;DATE
MLO_CARGARECPRODPALETE;DTAFABRICACAO;DATE
MLO_CARGARECPRODPALETE;DTAVALIDADE;DATE
MLO_CARGARECPRODPALETE;INDPALETECONFERIDO;VARCHAR2
MLO_CARGARECPRODQTDE;DTAFABRICACAO;DATE
MLO_CARGARECPRODQTDE;DTAHORLIBERACAO;DATE
MLO_CARGARECPRODQTDE;DTAVALIDADE;DATE
MLO_CARGARECPRODQTDE;INDRECONFPRODPALETE;VARCHAR2
MLO_CARGARECPRODQTDE;ORDEMCONFERENCIA;NUMBER
MLO_CARGARECPRODQTDE;USULIBERACAO;VARCHAR2
MLO_CARGARECPRODQTDE;USUPERMARMAZPRAZORESTR;VARCHAR2
MLO_CARGARECPRODQTDELOGCONFER;DTAHORLIBERACAO;DATE
MLO_CARGARECPRODQTDELOGCONFER;DTAVALIDADE;DATE
MLO_CARGARECPRODQTDELOGCONFER;ORDEMCONFERENCIA;NUMBER
MLO_CARGARECPRODQTDELOGCONFER;QTDCONFERIDA;NUMBER
MLO_CARGARECPRODQTDELOGCONFER;SEQCARGARECPRODQTDELOGCONFER;NUMBER
MLO_CARGARECPRODQTDELOGCONFER;USULIBERACAO;VARCHAR2
MLO_CARGARECPRODQTDELOGCONFER;USUPERMARMAZPRAZORESTR;VARCHAR2
MLO_CARGARECPRODQTDERECONF;DTAVALIDADE;DATE
MLO_CARGARECPRODQTDERECONF;ORDEMCONFERENCIA;NUMBER
MLO_CARGARECPRODQTDERECONF;QTDRECONFERIDA;NUMBER
MLO_CARGARECPRODQTDERECONF;USUPERMARMAZPRAZORESTR;VARCHAR2
MLO_CARGARECPRODQTDESORTER;DTAVALIDADE;DATE
MLO_CARGARECPRODQTDESORTER;QTDCONFERIDA;NUMBER
MLO_CARGARETORNOWMSPROD;DTAGERACAO;DATE
MLO_CARGARETORNOWMSPROD;DTAHORGERACAO;DATE
MLO_CARGARETORNOWMSPROD;TIPOCONFERENCIA;VARCHAR2
MLO_CARGARETORNOWMSPROD;USUGERACAO;VARCHAR2
MLO_CONFERPALETE;QTDCONFERIDA;NUMBER
MLO_CONFERPALETE;QTDULTCONFERENCIA;NUMBER
MLO_CONFERPALETE;SEQCONFPALETE;NUMBER
MLO_CONFERPALETE;STATUSCONF;VARCHAR2
MLO_CONFERPALETE;STATUSRECONF;VARCHAR2
MLO_LOGCARGAEXPBLOQDTAVALID;DTAFABRICACAO;DATE
MLO_LOGCARGAEXPBLOQDTAVALID;DTAHORLIBBLOQDTAVAL;DATE
MLO_LOGCARGAEXPBLOQDTAVALID;DTARECEBIMENTO;DATE
MLO_LOGCARGAEXPBLOQDTAVALID;DTAVALIDADE;DATE
MLO_LOGCARGAEXPBLOQDTAVALID;USULIBBLOQDTAVAL;VARCHAR2
MLO_LOGCONFER;DTAHORASSINATURA;DATE
MLO_LOGCONFER;SEQLOGCONFER;NUMBER
MLO_LOGCONFER;USUASSINATURA;VARCHAR2
MLO_XCARGARECARMAZSEPAR;DTAFABRICACAO;DATE
MLO_XCARGARECARMAZSEPAR;DTAVALIDADE;DATE
MLO_XCARGARECPRODLOTE;DTAVALIDADE;DATE
MLO_XCARGARECPRODPALETE;DTAFABRICACAO;DATE
MLO_XCARGARECPRODPALETE;DTAVALIDADE;DATE
MLO_XCARGARECPRODQTDE;DTAVALIDADE;DATE
MLO_XLOGCONFER;CODCONFERENTE;NUMBER
MOB_INTCARGAEXPEDWMS;DATAGRAFICO;DATE
MOB_INTCARGAEXPEDWMS;DTACARGAEXPED;DATE
MOB_INTCARGAEXPEDWMS;DTAHORINTEGRACAO;DATE
MOB_INTCARGAEXPEDWMS;INDOPERACAO;VARCHAR2
