NOME_TABELA;DESCRICAO_TABELA;QTD_LINHAS_ESTIMADA;TABLESPACE_NAME;DATA_ULTIMA_ANALISE
ABA_CAMPODINAMICOECFDADOS;;0;TSD_CONSINCO;2026-08-09-22.50.46.000000
ABA_CAMPODINAMICOECFOPCOES;;5135;TSD_CONSINCO;2026-08-09-22.51.29.000000
ABA_CAMPODINAMICOVERSAOECF;;902;TSD_CONSINCO;2026-08-09-22.51.28.000000
ABA_CENTRORESULTADO;;21;TSD_CONSINCO;2026-07-26-22.49.20.000000
ABA_CENTRORESULTADOCONF;;1;TSD_CONSINCO;2026-08-09-22.51.14.000000
ABA_CENTRORESULTADOCONFEMPRESA;;3;TSD_CONSINCO;2026-08-09-22.51.11.000000
ABA_CENTRORESULTADOCONFNIVEIS;;3;TSD_CONSINCO;2026-08-09-22.51.11.000000
ABA_CENTRORESULTADOEMPRESA;Relação entre a empresa e o centro de custo;508;TSD_CONSINCO;2026-08-16-22.49.38.000000
ABA_CENTRORESULTADOIMPORTACAO;;0;TSD_CONSINCO;2026-08-09-22.50.07.000000
ABA_CLASSIFICACAO;;7;TSD_CONSINCO;2026-08-16-22.49.37.000000
ABA_CLASSIFICACAOCONTAREF;;6;TSD_CONSINCO;2026-08-09-22.49.55.000000
ABA_COEFICIENTEANALISE;;8;TSD_CONSINCO;2026-08-23-22.49.37.000000
ABA_COEFICIENTEELEMENTO;;21;TSD_CONSINCO;2026-08-23-22.49.35.000000
ABA_COEFICIENTERESULT;;19;TSD_CONSINCO;2026-08-02-22.49.17.000000
ABA_CONCILIACAO;;1;TSD_CONSINCO;2026-08-16-22.49.44.000000
ABA_CONCILIACAOCONTA;;2;TSD_CONSINCO;2026-08-16-22.49.44.000000
ABA_CONFDMPLCONTA;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_CONFDMPLGRUPO;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_CONFEMPRESA;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_CONFIGURACAO;;1;TSD_CONSINCO;2026-07-26-22.49.37.000000
ABA_CONFIGURACAOLOG;;0;TSD_CONSINCO;2026-08-09-22.51.10.000000
ABA_CONFLIVRO;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_CONFSIGNATARIO;;0;TSD_CONSINCO;2026-08-09-22.50.56.000000
ABA_CONTAPARAM;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_CONTAPARAMDETALHE;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_CONTROLE;;15;TSD_CONSINCO;2026-07-25-02.57.32.000000
ABA_CONTROLEDEMONSTRATIVO;;90;TSD_CONSINCO;2026-08-23-22.49.13.000000
ABA_DEMONSTRATIVO;;6;TSD_CONSINCO;2026-08-23-22.49.36.000000
ABA_ECDBALANCONOTAEXPL;;0;TSD_CONSINCO;2026-08-09-22.49.59.000000
ABA_ECDCONFPERIODOSJ005;;0;TSD_CONSINCO;2026-08-09-22.50.59.000000
ABA_ECDDEMONSTRACAOCONTABIL;;4;TSD_CONSINCO;2026-08-09-22.50.59.000000
ABA_ECDDMPLNOTAEXPL;;0;TSD_CONSINCO;2026-08-09-22.49.59.000000
ABA_ECDDRENOTAEXPL;;0;TSD_CONSINCO;2026-08-09-22.49.59.000000
ABA_ECDJ210TIPO;;0;TSD_CONSINCO;2026-08-09-22.50.59.000000
ABA_ECDMOTIVOSUBSTJ801;;6;TSD_CONSINCO;2026-08-09-22.50.17.000000
ABA_ECDPERIODODEMONSTRACAO;;0;TSD_CONSINCO;2026-08-09-22.50.59.000000
ABA_ECDPERIODOOUTRAINFJ800;;0;TSD_CONSINCO;2026-08-09-22.50.42.000000
ABA_ECDPERIODOSUBSTJ801;;0;TSD_CONSINCO;2026-08-09-22.50.44.000000
ABA_ECDTRANSFERESALDOI157;;0;TSD_CONSINCO;2026-08-09-22.49.50.000000
ABA_ECFDIVERGENCIASALDO;;0;TSD_CONSINCO;2026-08-09-22.50.16.000000
ABA_ECFREGISTROL200;Configuraçoes do Registro da ECF L200;0;TSD_CONSINCO;2026-08-09-22.51.01.000000
ABA_ECFREGISTROL200LOG;;0;TSD_CONSINCO;2026-07-26-22.49.40.000000
ABA_ECFREGISTROL210;;0;TSD_CONSINCO;2026-08-09-22.51.01.000000
ABA_ECFREGISTROL210CONTA;;0;TSD_CONSINCO;2026-08-09-22.51.00.000000
ABA_ECFREGISTROL210LOG;;0;TSD_CONSINCO;2026-07-26-22.49.41.000000
ABA_ECFREGISTROY800;;0;TSD_CONSINCO;2026-08-09-22.50.44.000000
ABA_ELEMENTO;;14;TSD_CONSINCO;2026-08-02-22.49.17.000000
ABA_ELEMENTOCONF;;0;TSD_CONSINCO;2026-08-09-22.50.24.000000
ABA_ELEMENTOCONFREF;;14;TSD_CONSINCO;2026-08-23-22.49.35.000000
ABA_ENCERRAMENTO;;0;TSD_CONSINCO;2026-07-26-22.50.04.000000
ABA_EVENTODMPL;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_EXEATUALIZASALDO;;11;TSD_CONSINCO;2026-08-26-02.01.14.000000
ABA_EXEMARCOCONTABIL;;1;TSD_CONSINCO;2026-08-23-22.49.37.000000
ABA_FILTRORELATORIO;Salvar filtros dos relatorios;11;TSD_CONSINCO;2026-08-14-03.03.32.000000
ABA_FILTRORELATORIOATRIBUTO;;268;TSD_CONSINCO;2026-08-13-02.01.23.000000
ABA_FINANCEIROCONFEMPRESA;;6275;TSD_CONSINCO;2026-07-26-22.50.32.000000
ABA_FORMULARIODINAMICOECF;;48;TSD_CONSINCO;2026-08-09-22.51.29.000000
ABA_GRUPOEMPRESARIAL;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_GRUPOEMPRESARIALITEM;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_GRUPOEMPRESARIALNIVEL;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_HISTORICO;;3;TSD_CONSINCO;2026-08-16-22.49.14.000000
ABA_HISTORICOCONTA;;6;TSD_CONSINCO;2026-08-16-22.49.41.000000
ABA_HISTORICOCONTAPARAM;;0;TSD_CONSINCO;2026-08-23-22.49.56.000000
ABA_HISTORICOEMPRESA;;46;TSD_CONSINCO;2026-08-16-22.49.41.000000
ABA_HISTORICOMODULOUTILIZACAO;;15;TSD_CONSINCO;2026-08-16-22.49.41.000000
ABA_HISTORICOPADRAO;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_HISTORICOPADRAOVARIAVEIS;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_INTEGRACAOLANCTOLOG;Registra os lançamentos que sairam do contábil web para o contábil desktop;0;TSD_CONSINCO;2026-08-09-22.51.09.000000
ABA_INTEGRIDADE;;0;TSD_CONSINCO;2026-08-23-22.54.10.000000
ABA_LALURAPURACAO;;0;TSD_CONSINCO;2026-07-26-22.50.04.000000
ABA_LALURAPURACAODADOS;;0;TSD_CONSINCO;2026-07-26-22.50.03.000000
ABA_LALURAPURACAODADOSCONTA;;0;TSD_CONSINCO;2026-07-26-22.49.50.000000
ABA_LALURAPURACAODETALHELAIR;;0;TSD_CONSINCO;2026-07-26-22.50.12.000000
ABA_LALURBASECALCULO;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_LALURBASECALCULOCONTA;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_LALURCALCMAJORACAO;;0;TSD_CONSINCO;2026-07-26-22.50.31.000000
ABA_LALURCONFGERAL;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_LALURCONFGERALLOG;;0;TSD_CONSINCO;2026-07-26-22.50.31.000000
ABA_LALURCONTA;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_LALURCONTABILIZACAO;;0;TSD_CONSINCO;2026-08-09-22.50.14.000000
ABA_LALURCONTABILIZACAOCONTA;;0;TSD_CONSINCO;2026-08-09-22.50.12.000000
ABA_LALURCONTABILIZACONTAPARAM;;0;TSD_CONSINCO;2026-08-09-22.50.14.000000
ABA_LALURCONTAPARTEB;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_LALURCONTAPARTEBEMPRESA;;0;TSD_CONSINCO;2026-08-09-22.50.55.000000
ABA_LALURCONTASPADRAO;;1989;TSD_CONSINCO;2026-08-09-22.51.29.000000
ABA_LALURDEDUCAO;;0;TSD_CONSINCO;2026-07-26-22.50.03.000000
ABA_LALURDESCCONTA;;0;TSD_CONSINCO;2026-08-09-22.50.49.000000
ABA_LALUREMPRESA;;0;TSD_CONSINCO;2026-08-09-22.50.54.000000
ABA_LALURLANCTOPARTEA;;0;TSD_CONSINCO;2026-07-26-22.50.03.000000
