CATEGORIA;NIVELHIERARQUIA
ACHOCOLATADO PT;5
ACHOCOLOTADO LT;5
ACUCAR;5
ACUCAR BAUNILHA;5
ACUCAR CONFEITEIRO;5
ACUCAR CRISTAL 1 KG;5
ACUCAR CRISTAL 2 KG;5
ACUCAR CRISTAL 5 KG;5
ACUCAR REFINADO;5
ACUCAR-ACUCAR MASCAVO;5
ACUCAREIROS;5
ADESIVO PATINHAS;5
ADITIVOS-CARRO;5
ADOCANTE;5
ADORNOS COPA E COZINHA;5
AGENDAS E IND.TELEFONICOS;5
AGRIAO COMUM;5
AGRIAO HIDROPONICO;5
AGUA 1,5 L;5
AGUA 2 LITROS;5
AGUA 5 LITROS;5
AGUA 500 ML;5
AGUA MINERAL (OUTRAS);5
AGUA OXIGENADA P CABELO;5
AGUA SANITARIA 2L;5
AGUA SANITARIA 5L;5
AGUA SANTIARIA 1L;5
AGUA TONICA;5
AGUARDENTE COMPOSTA;5
AGUARDENTE COMUM;5
AIPIM - AIPO;5
AIR FRYER;5
ALCACHORRA;5
ALCAPARRA;5
ALCAPARRAS;5
ALCOOL;5
ALCOOL GEL;5
ALFACE COMUM;5
ALFACE HIDROPONICA;5
ALFINETES E PERCEVEJOS;5
ALGODAO;5
ALHO;5
ALHOS;5
ALICATE CUTICULA;5
ALMEIRAO - RADICHE HIDROP;5
ALMOFADAS;5
ALMONDEGA;5
ALVEJANTE;5
AMACIANTE;5
AMACIANTE 1 L;5
AMACIANTE 500 ML;5
AMACIANTE 5L;5
AMACIANTE CARNE;5
AMACIANTE CONCENTRADO;5
AMEIXA;5
AMEIXA CALDA;5
AMENDOIM;5
AMENDOIM GRANEL;5
AMENDOIN;5
AMIDO DE MILHO;5
AMORA;5
ANIL;5
ANTI MOVO E ANTI TRACAS;5
ANTI PULGAS-CARRAPATO;5
ANTI-EMBASSANTE;5
ANZOIS;5
APARELHO BARBA;5
APARELHO BARBEAR E LAMINA;5
APARELHO ELETRICO;5
APERITIVO;5
APONTADORES;5
APRESUNTADO PRESUNTADA;5
APRESUNTADO-PRESUNTADA;5
AREIA PARA GATO;5
ARGILA;5
AROMATIZANTE AMB CONC;5
AROMATIZANTE P. CARRO;5
AROMATIZANTE SPRAY;5
ARROS PARBO 1 K;5
ARROS PARBO 2 K;5
ARROS PARBO 5 K;5
ARROZ A GREGA;5
ARROZ ARBOREO-CORES;5
ARROZ BRANCO;5
ARROZ BRANCO 1 KG;5
ARROZ BRANCO 2 KG;5
ARROZ BRANCO 5 KG;5
ARROZ INTEGRAL;5
ARROZ PARA CAO;5
ARROZ SABORES;5
ARTIGOS PARA FESTAS;5
ASA PES AVES RESFRIADAS;5
ASAS PES AVES CONGELADOS;5
ASPARGOS;5
ASSADEIRAS;5
ASSENTO SANITARIO;5
ATACADO CEREAIS A GRANEL;5
ATACADO EMBALAGEM DESCART;5
ATACADO ERVAS E TEMPEROS;5
ATACADO FRUTAS;5
ATACADO LEGUMES;5
ATACADO MERCEARIA;5
ATACADO MERCEARIA BAG;5
ATACADO MERCEARIA BD;5
ATACADO MERCEARIA GALAO;5
ATACADO MERCEARIA GARRAFA;5
ATACADO MERCEARIA LT;5
ATACADO MERCEARIA SH;5
ATACADO MERCEARIA VD;5
ATACADO VERDURAS;5
ATADADO MERCEARIA PT;5
ATADADO OVOS;5
ATADURA E GAZE;5
ATILIO;5
ATUM;5
AVEIA FLOCOS;5
AVEIA INTEGRAL;5
AVES COMIDAS PRONTAS;5
AVES CONGELADAS;5
AVES CONGELADOS;5
AVES NATALINAS;5
AVES RESFRIADAS;5
AZEITE DE OLIVA;5
AZEITE DENDE;5
AZEITE MISTO-COMPOSTO;5
AZEITEIRO;5
AZEITONA;5
AZEITONAS;5
BACALHAU - OUTROS;5
BACALHAU - PEDAÇOS;5
BACIAS;5
BACON;5
BALANCAS;5
BALAO;5
BALAS;5
BALDE;5
BALDE GELO TERMICO;5
BALDE P PIPOCA;5
BALSAMO POS BARBA;5
BANANA;5
BANDEIRAS;5
BANDEJAS;5
BANHA;5
BANHAS-GORD VEGETAL;5
BANHEIRA INFLAVEL;5
BANHEIRAS;5
BANHEIRAS INFANTIL;5
BANQUETA;5
BARQUETES E CANUDOS;5
BARRACA;5
BARRIGA SUINA;5
BASE E PO;5
BATA PALHA;5
BATATA FRITA E PALHA;5
BATATA INGLESA E DOCE;5
BATATA PALHA;5
BATIDAS;5
BATOM;5
BEBEDOUROS;5
BEBIDA LACTEA;5
BEBIDA WHEY PRONTA;5
BEBIDAS A BASE DE SOJA;5
BEBIDAS CAFETERIA;5
BEBIDAS ICE;5
BEBIDAS NESFIT;5
BEBIDAS, CHAS E XAROPES;5
BERINJELA;5
BETERRABA;5
BICHOS;5
BIFINHO;5
BIJUTERIAS E JOIAS;5
BISCOITO AGUA E SAL;5
BISCOITO ALIMENTO INFANTI;5
BISCOITO AMANTEIGADO;5
BISCOITO CHAMPAGNE;5
BISCOITO CHOCOLATE;5
BISCOITO COCO;5
BISCOITO COLONIAL CASEIRO;5
BISCOITO COOKIE;5
BISCOITO CREAM CRACKER;5
BISCOITO DOCE;5
BISCOITO FINO ESPECIAL;5
BISCOITO INTEGRAL;5
BISCOITO LEITE;5
BISCOITO MAIZENA;5
BISCOITO MARIA;5
BISCOITO RECHEADO;5
BISCOITO SALGADO;5
BISCOITO SORTIDO;5
BISCOITOS;5
BISCOITOS-ROSCAS;5
BISCOITOS-ROSCAS-BROAS;5
BISNAGAS;5
BITTER;5
BLOCOS E CADERNETAS;5
BLOQUEADOR ODORES;5
BLUSAS TERMICAS;5
BLUSH;5
BOIA PESCA;5
BOIAS;5
BOLOS;5
BOLOS VO ANA;5
BOLSAS;5
BOLSAS TERMICAS;5
BOMBA GALAO AGUA;5
BOMBA P CHIMARRAO;5
BOMBA PULVERIZADORES;5
BOMBOM ATACADO;5
BOMBONIERE;5
BOMBONIERES;5
BOMBONS;5
BORRACHA;5
BOTE;5
BOTIJAO DE GAS;5
BOTIJAO INOX TERMICO;5
BOTIJAO TERMICO;5
BRINQUEDOS;5
BRINQUEDOS - MORDEDOR PET;5
BRINQUEDOS DIVERSOS PET;5
BRINQUEDOS HALOWEEN;5
BROTO;5
BROTOS;5
BULE;5
CABIDES;5
CABO USB;5
CACAROLAS;5
CACAU CASCA;5
CACAU EM PO;5
CADEIRA BISTRO;5
CADEIRAS PRAIA;5
CADERNOS;5
CADERNOS 1 MATERIA;5
CADERNOS 10 MATERIAS;5
CADERNOS 15 MATERIAS;5
CADERNOS 20 MATERIAS;5
CADERNOS CALIGRAFIA;5
CADERNOS CARTOGRAFIA;5
CADERNOS PEQUENOS;5
CAFE CAPUCCINO;5
CAFE COM LEITE;5
CAFE DESCAFEINADO;5
CAFE MOIDO;5
CAFE MOIDO VACUO;5
CAFE SOLUVEL;5
CAFE SOLUVEL POTE;5
CAFE SOLUVEL SACHE;5
CAFE SOLUVEL VIDRO;5
CAFE TORRADO GRAOS;5
CAFES EM CAPSULAS;5
CAFES ESPECIAIS;5
CAFETEIRA;5
CAIXA ORGANIZADORA;5
CAIXA TERMICA 12L;5
CAIXA TERMICA 20L;5
CAIXA TERMICA 26L;5
CAIXA TERMICA 32L;5
CAIXA TERMICA 34L;5
CAIXA TERMICA 42L;5
CAIXA TERMICA 5L;5
CAIXAS ISOPOR;5
CAJU;5
CALCULADORAS;5
CALDO CARNE;5
CALDO GALINHA;5
CALDOS DIVERSOS;5
CALENDARIOS E MAPAS;5
CAMA - MANTA PET;5
CAMA PET;5
CAMARAO;5
CANECAS PLASTICAS;5
CANECAS VIDRO;5
CANELONE PRONTO;5
CANETA DELINEADORA;5
CANETAS;5
CANETAS E HIDROCORES;5
CANJICA MILHO;5
CANUDINHO;5
CANUDINHOS E BARQUETES;5
CANUDO;5
CAPA DE CHUVA;5
CAPA DE CORTE;5
CAPA P NOTEBOOK;5
CAPELETI;5
CAPSULAS DIVERSAS;5
CAQUI;5
CARA;5
CARAMBOLA;5
CARGA APARELHO BARBEAR;5
CARMES SOJA-VEGETAL;5
CARN DE AVES PRONTAS;5
CARNE BOVINA;5
CARNE BOVINA E SUINCA;5
CARNE BOVINA PECA INTEIRA;5
CARNE BOVINA PRIMEIRA;5
CARNE BOVINA PRONTA;5
CARNE BOVINA SEGUNDA;5
CARNE CHURRASCO;5
CARNE DE AVES;5
CARNE MOIDA FRANGO;5
CARNE OVINA CAPRINABUBAL;5
CARNE OVINA CAPRNA BUFALI;5
CARNE PEIXE;5
CARNE PEIXES;5
CARNE SALG-DEF SUINA;5
CARNE SIRI;5
CARNE SUINA;5
CARNES APARAS;5
CARNES CHURRASCO;5
CARNES SUINA;5
CARRE SUINO;5
CARREGADOR USB;5
CARTOES E ADESIVOS;5
CARTOLINAS;5
CASA PET;5
CASTANHA-NOZES;5
CASTICAIS;5
CATCHUP;5
CCONDIMENTOS;5
CEBOLA;5
CEBOLINHA;5
CENOURA;5
CERA LIQ AUTO BRILHO;5
CERA LIQUIDA;5
CERA PASTA;5
CERAS;5
CEREAIS EM BARRA;5
CEREAIS EM BARRAS;5
CEREAIS FARINACEOS;5
CEREAL MATINAL;5
